sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 1/27/2021 8:06:29 PM, Cylinder, -1.354965, -4.742503, 12.28084, 0.9999977, 0, 0.002179445, 0, -3.222209, -6.436833, 12.08092, -0.7071052, -0.0015411, -0.0015411, -0.7071052, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0113374, -0.8842399, -4.630607, 9.972735, 0.6430182, -0.3118926, 0.4996028, -0.4895383, -1.366663, -4.742171, 12.2811, 0.9999979, 0, 0.002041324, 0, 0, 0, 0, 0, 0, 0
0.0222919, -0.8847946, -4.646848, 9.970323, 0.6441594, -0.3119159, 0.4991164, -0.4885183, -1.366779, -4.614267, 12.28137, 0.999998, 6.236364E-08, 0.00202167, 4.058261E-09, 0, 0, 0, 0, 0, 0
0.0333166, -0.8845785, -4.656303, 9.968627, 0.6443836, -0.3121192, 0.498737, -0.48848, -1.366947, -4.661446, 12.27915, 0.9999968, 0.001602543, 0.00199464, -9.688433E-06, 0, 0, 0, 0, 0, 114.6178
0.0444592, -0.8847244, -4.655564, 9.968799, 0.6436439, -0.312573, 0.4983585, -0.4895504, -1.367048, -4.669952, 12.28261, 0.9999973, -0.001150195, 0.002027214, 5.70601E-06, 0, 0, 0, 0, 0, 193.2914
0.055511, -0.8850417, -4.654895, 9.972352, 0.64263, -0.3129247, 0.4984899, -0.4905229, -1.366275, -4.672847, 12.28129, 0.9999978, 0.0007460631, 0.00201115, -4.170841E-06, 0, 0, 0, 0, 0, 178.8412
0.0668399, -0.8828273, -4.654252, 9.973517, 0.6417032, -0.3132905, 0.4987478, -0.4912401, -1.364662, -4.671519, 12.28279, 0.9999964, -0.001848321, 0.001966834, 6.228744E-06, 0, 0, 0, 0, 0, 150.9993
0.0804269, -0.8744141, -4.651089, 9.978656, 0.6396661, -0.3139182, 0.5005084, -0.4917051, -1.364531, -4.671881, 12.28086, 0.9999981, 0.0002292464, 0.001941472, 2.144373E-05, 0, 0, 0, 0, 0, 137.6068
0.0888277, -0.8664915, -4.651506, 9.981575, 0.6382772, -0.3145855, 0.501613, -0.4919579, -1.362824, -4.669099, 12.28128, 0.9999954, -0.002323079, 0.001998961, 1.725729E-05, 0, 0, 0, 0, 0, 95.78688
0.0998578, -0.8616899, -4.650344, 9.983328, 0.6369352, -0.3150833, 0.5024641, -0.4925098, -1.362762, -4.668973, 12.27895, 0.999998, -0.000114492, 0.002026647, 3.049896E-06, 0, 0, 0, 0, 0, 103.6208
0.111079, -0.8619875, -4.650236, 9.98125, 0.6364154, -0.3151512, 0.5022735, -0.4933319, -1.362178, -4.669113, 12.27806, 0.9999966, 0.001660742, 0.002034098, 6.426998E-06, 0, 0, 0, 0, 0, 79.52869
0.1221081, -0.8649529, -4.652847, 9.979294, 0.6361287, -0.3150434, 0.5020005, -0.494048, -1.36211, -4.668413, 12.28123, 0.9999974, -0.001002463, 0.002076089, 1.05481E-05, 0, 0, 0, 0, 0, 67.20576
0.1331159, -0.8674364, -4.65755, 9.975039, 0.6367529, -0.3152143, 0.5009614, -0.4941898, -1.363068, -4.671086, 12.28121, 0.9999976, 0.0009992199, 0.001997203, 1.941953E-05, 0, 0, 0, 0, 0, 77.7676
0.1443007, -0.8752784, -4.667911, 9.974123, 0.6379049, -0.3149899, 0.4998267, -0.493996, -1.365193, -4.672757, 12.28533, 0.9999969, -0.001603891, 0.001931995, 1.535413E-05, 0, 0, 0, 0, 0, 94.92802
0.1554621, -0.8794479, -4.68061, 9.976244, 0.638576, -0.314495, 0.499571, -0.493703, -1.365227, -4.67315, 12.28339, 0.999998, 0.0005571007, 0.001945704, 1.941138E-06, 0, 0, 0, 0, 0, 166.4321
0.1665464, -0.8823464, -4.692163, 9.979125, 0.6387174, -0.3140168, 0.4997897, -0.4936029, -1.367024, -4.675513, 12.28692, 0.9999961, -0.002005428, 0.001978338, 7.803785E-06, 0, 0, 0, 0, 0, 279.8928
0.1777788, -0.8810394, -4.706278, 9.983053, 0.6386164, -0.3134673, 0.5008634, -0.492994, -1.367233, -4.675894, 12.28469, 0.999998, 0.000264513, 0.001988977, -2.537956E-06, 0, 0, 0, 0, 0, 372.1558
0.1886769, -0.8746419, -4.713356, 9.984676, 0.6382122, -0.3135349, 0.5017755, -0.4925469, -1.369649, -4.679766, 12.28852, 0.9999954, -0.002270926, 0.002058954, 6.877527E-06, 0, 0, 0, 0, 0, 510.7155
0.1998859, -0.8699783, -4.716867, 9.988056, 0.6380514, -0.3148215, 0.5013785, -0.4923387, -1.369889, -4.680052, 12.28612, 0.999998, 7.488521E-05, 0.002025157, -3.252575E-06, 0, 0, 0, 0, 0, 0
0.2109656, -0.8582301, -4.710409, 9.98855, 0.6370246, -0.3167062, 0.5016995, -0.4921327, -1.367443, -4.674306, 12.28662, 0.9999948, -0.002442623, 0.002147615, 7.198018E-06, 0, 0, 0, 0, 0, 0
0.2223666, -0.8535527, -4.708061, 9.991177, 0.6361478, -0.3178968, 0.5020762, -0.4921152, -1.367149, -4.672659, 12.28457, 0.9999977, -4.388267E-05, 0.002142817, -3.505612E-06, 0, 0, 0, 0, 0, 0
0.2355991, -0.8500308, -4.699398, 9.994264, 0.6349645, -0.3184479, 0.5023046, -0.493053, -1.367392, -4.673018, 12.28288, 0.999996, 0.001872847, 0.002140284, 6.079907E-06, 0, 0, 0, 0, 0, 0
0.2442621, -0.8468843, -4.68842, 9.992888, 0.6339134, -0.3180764, 0.5029012, -0.4940361, -1.367663, -4.672218, 12.28616, 0.9999974, -0.0007884777, 0.002171427, 1.095803E-05, 0, 0, 0, 0, 0, 0
0.2554497, -0.8514135, -4.679227, 9.989046, 0.6329356, -0.3167265, 0.503873, -0.4951655, -1.367728, -4.672379, 12.28406, 0.999997, 0.001317663, 0.00208959, 2.179345E-05, 0, 0, 0, 0, 0, 308.5324
0.266442, -0.8572139, -4.672331, 9.98675, 0.6318447, -0.3152704, 0.5048027, -0.4965393, -1.367567, -4.672599, 12.28705, 0.9999967, -0.001292737, 0.002235383, 1.736291E-05, 0, 0, 0, 0, 0, 224.8241
0.2776411, -0.8627647, -4.65405, 9.981337, 0.630492, -0.3141385, 0.5051706, -0.4985977, -1.367639, -4.672914, 12.28484, 0.9999973, 0.0009471278, 0.00213027, 1.886306E-06, 0, 0, 0, 0, 0, 155.8022
0.2890175, -0.8650917, -4.634767, 9.976761, 0.6296434, -0.3143684, 0.5044128, -0.5002893, -1.366625, -4.673476, 12.28741, 0.9999963, -0.00162945, 0.002195507, 8.421484E-06, 0, 0, 0, 0, 0, 0
0.2998443, -0.8654304, -4.613615, 9.973026, 0.6288878, -0.315671, 0.5033869, -0.5014515, -1.366702, -4.673716, 12.28502, 0.9999973, 0.0007010836, 0.002246112, -3.55838E-06, 0, 0, 0, 0, 0, 0
0.3109041, -0.8656529, -4.597425, 9.969692, 0.6287566, -0.3170318, 0.5023825, -0.5017647, -1.36633, -4.671087, 12.28747, 0.9999956, -0.001852783, 0.00230673, 7.302734E-06, 0, 0, 0, 0, 0, 0
0.3221329, -0.8635655, -4.583005, 9.967065, 0.6286107, -0.318549, 0.5017878, -0.5015818, -1.36634, -4.670976, 12.28502, 0.9999973, 0.0005412648, 0.002264917, -4.332003E-06, 0, 0, 0, 0, 0, 0
0.33318, -0.8569314, -4.570382, 9.965825, 0.6288702, -0.3202071, 0.501549, -0.5004382, -1.365231, -4.67313, 12.28865, 0.9999955, -0.00199729, 0.002280802, 7.035908E-06, 0, 0, 0, 0, 0, 0
0.3443457, -0.8553396, -4.559772, 9.964666, 0.6291732, -0.3222498, 0.5008739, -0.4994213, -1.364224, -4.668278, 12.28499, 0.9999975, 0.0004406864, 0.002202064, -4.278801E-06, 0, 0, 0, 0, 0, 0
0.3554845, -0.8539244, -4.544541, 9.963451, 0.6296251, -0.323764, 0.5002114, -0.4985358, -1.364109, -4.66788, 12.28802, 0.9999955, -0.002088102, 0.00221017, 6.776188E-06, 0, 0, 0, 0, 0, 0
0.3663851, -0.8551269, -4.529042, 9.95902, 0.6302243, -0.324932, 0.4993031, -0.4979289, -1.363165, -4.666613, 12.28419, 0.9999974, 0.0003808674, 0.002258152, -4.519592E-06, 0, 0, 0, 0, 0, 0
0.3779059, -0.8609525, -4.513221, 9.954911, 0.6316884, -0.3260092, 0.4974442, -0.4972294, -1.362991, -4.66618, 12.2872, 0.9999954, -0.002141296, 0.002225161, 6.778921E-06, 0, 0, 0, 0, 0, 0
0.3913941, -0.8684664, -4.492092, 9.95071, 0.6323552, -0.3266564, 0.4959311, -0.4974684, -1.361709, -4.664233, 12.28251, 0.9999974, 0.0003497836, 0.002274066, -4.581503E-06, 0, 0, 0, 0, 0, 0
0.3997017, -0.8716291, -4.464763, 9.949165, 0.6319425, -0.3274994, 0.4949845, -0.4983807, -1.360125, -4.661861, 12.28236, 0.9999949, -0.002168705, 0.002359867, 7.462688E-06, 0, 0, 0, 0, 0, 0
0.4109997, -0.8735169, -4.43285, 9.944732, 0.6311601, -0.3285005, 0.4939393, -0.4997482, -1.359983, -4.661461, 12.27925, 0.9999971, 0.000337443, 0.002355217, -4.574838E-06, 0, 0, 0, 0, 0, 0
0.4219918, -0.8762879, -4.400772, 9.945372, 0.630157, -0.3291577, 0.4933077, -0.5012036, -1.359551, -4.661715, 12.28163, 0.9999949, -0.002178657, 0.002354533, 7.438241E-06, 0, 0, 0, 0, 0, 0
0.4329711, -0.8760822, -4.369595, 9.945442, 0.6295818, -0.3302045, 0.4925963, -0.5019369, -1.359284, -4.661533, 12.27846, 0.9999973, 0.0003383524, 0.002312332, -4.454515E-06, 0, 0, 0, 0, 0, 0
0.4442378, -0.8745576, -4.33782, 9.947801, 0.6291013, -0.3315607, 0.4916704, -0.5025527, -1.360271, -4.662299, 12.28334, 0.9999951, -0.002176894, 0.002286643, 7.119496E-06, 0, 0, 0, 0, 0, 0
0.4553572, -0.875411, -4.308578, 9.949909, 0.6291264, -0.3335616, 0.4899664, -0.5028616, -1.360047, -4.662205, 12.2803, 0.9999973, 0.0003483998, 0.002322495, -4.580317E-06, 0, 0, 0, 0, 0, 0
0.4664819, -0.8823813, -4.280869, 9.953442, 0.6291816, -0.3355218, 0.4882272, -0.5031798, -1.359066, -4.662115, 12.28185, 0.999995, -0.002166693, 0.002324819, 7.235038E-06, 0, 0, 0, 0, 0, 0
0.4774916, -0.8852814, -4.258224, 9.953661, 0.6295793, -0.3371207, 0.486755, -0.50304, -1.358843, -4.661961, 12.27873, 0.9999973, 0.0003642713, 0.002322822, -4.565968E-06, 0, 0, 0, 0, 0, 0
0.4887614, -0.8879967, -4.240026, 9.952964, 0.6305054, -0.3389296, 0.4851641, -0.5022005, -1.358335, -4.663434, 12.28313, 0.999995, -0.002150829, 0.002335995, 7.277239E-06, 0, 0, 0, 0, 0, 0
