sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 1/27/2021 8:09:11 PM, Tripod, 2.799672, 0.3482001, 12.01722, 0.5088869, 0.4939379, 0.502775, 0.494244, -3.814212, -2.570613, 12.48643, 0.7071002, 0.003081931, 0.003081931, 0.7071002, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0133367, -1.017362, -4.503116, 9.861349, 0.6684056, -0.3108824, 0.5424868, -0.4028573, 2.762053, 0.352218, 12.0201, 0.5094402, 0.4933933, 0.5022142, 0.4947874, 0, 0, 0, 0, 0, 0
0.0219962, -1.01522, -4.499488, 9.863138, 0.6662952, -0.3108874, 0.5439332, -0.4043964, 2.761731, 0.3521236, 12.02006, 0.5094367, 0.4933968, 0.5022178, 0.494784, 0, 0, 0, 0, 0, 0
0.0331067, -1.009432, -4.493259, 9.863484, 0.6642955, -0.3115306, 0.544625, -0.4062557, 2.764481, 0.3628922, 12.03246, 0.5276284, 0.4674237, 0.5341815, 0.4666622, 0, 0, 0, 0, 0, 0
0.0443169, -1.003969, -4.488678, 9.865901, 0.6621942, -0.3119679, 0.5458431, -0.4077134, 2.770549, 0.376668, 12.03761, 0.5631864, 0.424977, 0.567911, 0.4239019, 0, 0, 0, 0, 0, 0
0.0553405, -0.9913343, -4.480618, 9.868609, 0.659325, -0.3124473, 0.5477176, -0.4094786, 2.770517, 0.3768182, 12.03761, 0.5631959, 0.4249699, 0.5679015, 0.4239091, 0, 0, 0, 0, 0, 0
0.0664361, -0.9812558, -4.4766, 9.872622, 0.6565765, -0.3126191, 0.550056, -0.4106274, 2.772298, 0.3792547, 12.04587, 0.581311, 0.404309, 0.5814956, 0.4005929, 0, 0, 0, 0, 0, 0
0.0775678, -0.9715069, -4.470115, 9.877674, 0.6538411, -0.312554, 0.5522613, -0.4120792, 2.774453, 0.38132, 12.04816, 0.5909503, 0.3894016, 0.5906416, 0.3876684, 0, 0, 0, 0, 0, 0
0.0885321, -0.9695441, -4.464727, 9.881745, 0.652323, -0.3126469, 0.5531083, -0.413277, 2.776829, 0.3824959, 12.04928, 0.5953658, 0.3808083, 0.5962487, 0.3808046, 0, 0, 0, 0, 0, 0
0.0999615, -0.968945, -4.456428, 9.884417, 0.6519269, -0.3130567, 0.552529, -0.4143653, 2.777741, 0.3807825, 12.049, 0.6020485, 0.367178, 0.6051593, 0.3694595, 0, 0, 0, 0, 0, 0
0.1108719, -0.974915, -4.452602, 9.887468, 0.6528878, -0.3138816, 0.5508491, -0.4144648, 2.777731, 0.3818543, 12.04626, 0.6019637, 0.3672297, 0.6052436, 0.3694081, 0, 0, 0, 0, 0, 0
