sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 1/27/2021 8:12:32 PM, Cylinder, -2.796717, 0.9186974, 12.04071, -0.7070816, -0.005975673, -0.005975673, -0.7070816, -0.927112, -4.816472, 12.21719, 0.9999644, 0, 0.008450879, 0, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0110743, -0.2298342, -4.097274, 9.556252, 0.6440856, -0.3177961, 0.5782701, -0.3869923, -2.314751, 1.367112, 11.5539, -0.7068272, -0.019884, -0.019884, -0.7068272, 0, 0, 0, 0, 0, 0
0.0224676, -0.2272411, -4.125241, 9.551519, 0.6447092, -0.3160025, 0.5798945, -0.3849868, -2.314734, 1.375286, 11.55475, -0.7068166, -0.01963571, -0.02003326, -0.7068405, 0, 0, 0, 0, 0, 0
0.0356628, -0.2297016, -4.152688, 9.543133, 0.6461316, -0.3142183, 0.5805826, -0.3830203, -2.31373, 1.383168, 11.55365, -0.7068042, -0.01945266, -0.02024747, -0.706852, 0, 0, 0, 0, 0, 318.3805
0.0442839, -0.2363577, -4.174362, 9.53945, 0.647743, -0.3139195, 0.5799061, -0.381566, -2.313789, 1.38891, 11.55413, -0.706794, -0.01918905, -0.02038093, -0.7068655, 0, 0, 0, 0, 0, 622.1577
0.0554575, -0.2358495, -4.184032, 9.53762, 0.6489322, -0.3149287, 0.5785645, -0.3807496, -2.313801, 1.393316, 11.55463, -0.7067835, -0.01892881, -0.02051762, -0.706879, 0, 0, 0, 0, 0, 882.0991
0.06661581, -0.2319655, -4.186466, 9.540565, 0.6487681, -0.3168333, 0.5777065, -0.3807517, -2.314208, 1.399734, 11.5533, -0.7067723, -0.01869331, -0.02067879, -0.7068917, 0, 0, 0, 0, 0, 0
0.0776007, -0.2250076, -4.185425, 9.545738, 0.6484281, -0.3184027, 0.5772732, -0.380679, -2.312697, 1.403818, 11.55315, -0.7067636, -0.01837121, -0.02075307, -0.7069067, 0, 0, 0, 0, 0, 0.2186369
0.0888466, -0.2224997, -4.191258, 9.551636, 0.6485792, -0.3191193, 0.5772377, -0.3798743, -2.312743, 1.404955, 11.55376, -0.7067529, -0.01811716, -0.02089532, -0.7069199, 0, 0, 0, 0, 0, 9.996794
0.100025, -0.2159816, -4.199604, 9.55666, 0.6487477, -0.3194297, 0.5776958, -0.3786275, -2.313441, 1.402735, 11.55592, -0.7067422, -0.01785739, -0.02103156, -0.7069331, 0, 0, 0, 0, 0, 83.54839
0.1109924, -0.2086946, -4.20917, 9.560464, 0.6488544, -0.3192666, 0.5786259, -0.3771589, -2.313379, 1.40126, 11.55654, -0.7067314, -0.01759788, -0.02116783, -0.7069463, 0, 0, 0, 0, 0, 0
0.1220658, -0.206441, -4.219633, 9.563771, 0.6497142, -0.3196313, 0.5784529, -0.3756323, -2.313344, 1.398839, 11.55733, -0.7067211, -0.01732524, -0.02129081, -0.7069596, 0, 0, 0, 0, 0, 0
