sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 1/27/2021 8:13:56 PM, Card, -0.9391584, -0.02370751, 11.98548, 0.9999613, 0, 0.008813857, 0, -1.765789, 0.7587165, 11.82542, 0.7070794, 0.006232338, 0.006232338, 0.7070794, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0112089, -0.7387877, -4.548001, 10.04065, -0.6744363, 0.3130481, -0.5399199, 0.394491, -0.9413388, -0.02952361, 11.98797, 0.9999625, 0, 0.008658606, 0, 0, 0, 0, 0, 0, 0
0.0224563, -0.7438024, -4.575194, 10.0343, -0.6757675, 0.3101898, -0.541044, 0.3929275, -0.9413137, -0.02182782, 11.98796, 0.9999629, 4.601173E-08, 0.008621442, 8.236891E-10, 0, 0, 0, 0, 0, 0
0.0332873, -0.7442164, -4.596412, 10.0294, -0.6773186, 0.3088555, -0.5408103, 0.3916272, -0.9417266, -0.01964879, 11.98738, 0.999962, 7.236451E-06, 0.00864298, 0.001250194, 0, 0, 0, 0, 0, 230.6422
0.0445042, -0.7478054, -4.617793, 10.02764, -0.6788434, 0.3081564, -0.5404807, 0.3899895, -0.9419302, -0.01887202, 11.98726, 0.9999592, 1.659472E-05, 0.008680267, 0.002554863, 0, 0, 0, 0, 0, 449.7386
0.0556658, -0.7539194, -4.640324, 10.03647, -0.6805131, 0.3094096, -0.5390836, 0.388016, -0.9421362, -0.02070558, 11.98895, 0.9999599, 1.06364E-05, 0.008594476, 0.002488974, 0, 0, 0, 0, 0, 676.6562
0.06660961, -0.7543874, -4.654815, 10.04275, -0.6817791, 0.310811, -0.5377015, 0.3865886, -0.9420596, -0.02175379, 11.98901, 0.9999629, -6.275643E-06, 0.00858712, 0.0007691378, 0, 0, 0, 0, 0, 0.5920383
0.07787351, -0.7498521, -4.669264, 10.04981, -0.6820984, 0.3120505, -0.5374323, 0.3853995, -0.9394677, -0.02014446, 11.98873, 0.999963, -5.487497E-06, 0.008601369, 0.0001552986, 0, 0, 0, 0, 0, 0
0.08885141, -0.7476965, -4.682689, 10.05607, -0.6818022, 0.3122272, -0.5382732, 0.3846062, -0.9408097, -0.01954257, 11.98931, 0.9999629, -2.803584E-06, 0.008611129, 3.169102E-05, 0, 0, 0, 0, 60.54231, 56.94561
0.100181, -0.7503189, -4.689467, 10.06311, -0.6810306, 0.3120411, -0.5388963, 0.385251, -0.9408311, -0.01954901, 11.98942, 0.9999627, -4.262165E-07, 0.008639276, 6.288369E-06, 0, 0, 0, 0, 186.6274, 0
0.1135111, -0.7628093, -4.666476, 10.07874, -0.6781929, 0.3121776, -0.5393877, 0.3894361, -0.9402044, -0.01811671, 11.98683, 0.999963, 3.948976E-08, 0.00860566, 2.460127E-07, 0, 0, 0, 0, 237.9748, 0.2955198
0.1222968, -0.7653726, -4.666125, 10.08076, -0.6759768, 0.3115436, -0.5410777, 0.3914474, -0.9401426, -0.01802337, 11.98672, 0.9999628, 3.949351E-08, 0.008620931, 2.46012E-07, 0, 0, 0, 0, 22.83147, 0
