sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 1/27/2021 8:15:31 PM, Cylinder, -2.800367, -2.804816, 12.04675, -0.7070813, -0.006018306, -0.006018306, -0.7070813, -0.930741, -4.825235, 12.223, 0.9999639, 0, 0.00851117, 0, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0110273, -0.7346402, -4.556436, 10.0497, -0.6568725, 0.3235476, -0.5561057, 0.3931693, -2.798908, -2.801563, 12.04543, -0.7070817, -0.005958955, -0.005958955, -0.7070817, 0, 0, 0, 0, 0, 0
0.0222133, -0.7417977, -4.575504, 10.04639, -0.6588008, 0.3231931, -0.55471, 0.3922048, -2.798776, -2.802759, 12.04623, -0.7070907, -0.007039472, -0.004879951, -0.7070711, 0, 0, 0, 0, 0, 0
0.0332705, -0.7477142, -4.587784, 10.04587, -0.6599078, 0.3229893, -0.553546, 0.3921561, -2.797856, -2.805126, 12.04696, -0.7070986, -0.008443043, -0.003432512, -0.7070563, 0, 0, 0, 0, 0, 164.799
0.0444878, -0.7517088, -4.600156, 10.04566, -0.6604127, 0.3220335, -0.5535839, 0.3920386, -2.80257, -2.810994, 12.04993, -0.7071043, -0.009994775, -0.001941666, -0.7070361, 0, 0, 0, 0, 0, 277.791
0.0553308, -0.7565709, -4.611819, 10.04584, -0.6606739, 0.3208567, -0.5539006, 0.3921163, -2.802744, -2.815295, 12.051, -0.7071065, -0.01199287, 2.919044E-05, -0.7070054, 0, 0, 0, 0, 0, 377.6917
0.0669073, -0.7580497, -4.618715, 10.04662, -0.6599096, 0.3198742, -0.5552395, 0.3923124, -2.802363, -2.821097, 12.04945, -0.7071018, -0.01451084, 0.002318545, -0.7069592, 0, 0, 0, 0, 0, 495.6817
0.0800285, -0.7564174, -4.619136, 10.04861, -0.6585424, 0.3195153, -0.5567309, 0.392788, -2.802357, -2.827753, 12.05002, -0.7070867, -0.01720602, 0.005064742, -0.7068995, 0, 0, 0, 0, 0, 570.7534
0.0886645, -0.7545058, -4.613724, 10.05101, -0.6568902, 0.3199501, -0.5579212, 0.3935117, -2.804243, -2.836129, 12.05192, -0.7070593, -0.02020404, 0.007894514, -0.7068214, 0, 0, 0, 0, 0, 0
0.099874, -0.7531233, -4.605523, 10.05254, -0.6553968, 0.3203202, -0.5586916, 0.3946057, -2.80446, -2.844985, 12.05281, -0.7070181, -0.02320418, 0.0109041, -0.7067306, 0, 0, 0, 0, 0, 0
0.1110996, -0.7519009, -4.59726, 10.05375, -0.6543068, 0.3209913, -0.5588065, 0.3957051, -2.802135, -2.845037, 12.05334, -0.7069913, -0.02521672, 0.01298489, -0.7066534, 0, 0, 0, 0, 0, 416.9433
0.1221193, -0.7504196, -4.591915, 10.05486, -0.6535878, 0.3213335, -0.5589618, 0.3963954, -2.802391, -2.845589, 12.05678, -0.706946, -0.02741209, 0.01515411, -0.7065738, 0, 0, 0, 0, 0, 339.8044
0.1332254, -0.7420011, -4.587303, 10.05411, -0.6531804, 0.3215546, -0.5590374, 0.3967813, -2.802152, -2.847314, 12.0591, -0.7068922, -0.02965319, 0.01744561, -0.7064842, 0, 0, 0, 0, 0, 280.0829
0.1444534, -0.7359677, -4.584971, 10.05611, -0.6521509, 0.3218707, -0.5599223, 0.3969705, -2.801954, -2.844591, 12.05865, -0.7068327, -0.0320779, 0.01970722, -0.7063783, 0, 0, 0, 0, 0, 218.1428
0.1553774, -0.7273951, -4.583519, 10.05621, -0.6514444, 0.3221676, -0.5608454, 0.3965864, -2.802058, -2.844799, 12.06051, -0.7067611, -0.03450552, 0.02212773, -0.7062638, 0, 0, 0, 0, 0, 212.4407
0.1665121, -0.7220726, -4.58959, 10.05385, -0.6515861, 0.3216435, -0.5615971, 0.3957142, -2.803155, -2.846361, 12.06261, -0.7066787, -0.03703613, 0.02462044, -0.7061355, 0, 0, 0, 0, 0, 198.6415
0.1784717, -0.7241717, -4.598523, 10.05192, -0.65242, 0.3206646, -0.5616534, 0.3950542, -2.803301, -2.846695, 12.0646, -0.7065833, -0.0396427, 0.02722737, -0.7059939, 0, 0, 0, 0, 0, 246.8448
0.1896476, -0.7266977, -4.6037, 10.04235, -0.6541808, 0.3199219, -0.5607082, 0.3940862, -2.802238, -2.844211, 12.06608, -0.7064738, -0.04235156, 0.02993756, -0.7058363, 0, 0, 0, 0, 0, 333.919
0.1998838, -0.7310319, -4.610986, 10.03954, -0.6556817, 0.319688, -0.5595257, 0.3934621, -2.802375, -2.84449, 12.0681, -0.706348, -0.04515081, 0.03277917, -0.7056625, 0, 0, 0, 0, 0, 426.7891
0.2111843, -0.7299375, -4.61743, 10.03968, -0.6565846, 0.3200312, -0.55884, 0.3926506, -2.801615, -2.842845, 12.06886, -0.7062078, -0.04813477, 0.03567445, -0.7054651, 0, 0, 0, 0, 0, 509.3312
0.2225044, -0.7308655, -4.618592, 10.03801, -0.6566006, 0.320287, -0.5589338, 0.3922818, -2.801748, -2.843091, 12.07113, -0.7060468, -0.05120831, 0.03873588, -0.7052483, 0, 0, 0, 0, 0, 596.4668
0.2359861, -0.7298732, -4.613, 10.03569, -0.6561145, 0.320076, -0.5588924, 0.393325, -2.799021, -2.839899, 12.07169, -0.7058601, -0.05434673, 0.042006, -0.7050131, 0, 0, 0, 0, 0, 0
0.2444645, -0.7386308, -4.60046, 10.03478, -0.6560477, 0.3205203, -0.5579072, 0.3944716, -2.798417, -2.840358, 12.07524, -0.7056487, -0.05763151, 0.04542176, -0.7047521, 0, 0, 0, 0, 0, 0
0.2554497, -0.7453954, -4.589019, 10.03315, -0.6562376, 0.321638, -0.5562541, 0.3955787, -2.79831, -2.840443, 12.07765, -0.7054258, -0.06086893, 0.04874597, -0.7044809, 0, 0, 0, 0, 0, 0
0.2665435, -0.7474211, -4.578767, 10.03218, -0.6562895, 0.3228034, -0.5553028, 0.3958804, -2.798401, -2.840097, 12.08021, -0.7052163, -0.0639189, 0.05172776, -0.7042078, 0, 0, 0, 0, 0, 0
0.2776248, -0.7444277, -4.567877, 10.02973, -0.655623, 0.3236867, -0.5553653, 0.3961754, -2.798369, -2.839463, 12.08248, -0.705002, -0.06675499, 0.05456131, -0.7039455, 0, 0, 0, 0, 0, 0
