sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 1/28/2021 11:51:14 AM, Stick, -4.245638, -6.234122, 10.72318, 0.7070964, 0.003835818, 0.003835818, 0.7070964, 2.295243, -1.859562, 10.13243, 0.9999854, 0, 0.005424666, 0, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0111532, 1.927679, -4.373499, 12.08525, 0.6892086, -0.2469639, 0.5921031, -0.3367702, -0.8685788, -6.296733, 14.45261, -0.7071037, 0.002092779, 0.002092779, -0.7071037, 0, 0, 0, 0, 0, 0
0.0223386, 1.929843, -4.379663, 12.08344, 0.6900842, -0.2473069, 0.5916617, -0.335499, -0.8681927, -6.269814, 14.45065, -0.7071044, 0.002007813, 0.002285036, -0.7071028, 0, 0, 0, 0, 0, 0
0.0334857, 1.930664, -4.374865, 12.07852, 0.689782, -0.2473042, 0.5920787, -0.3353868, -0.8685734, -6.264883, 14.45061, -0.7070047, 0.002043254, 0.002234522, -0.7072025, 0, 0, 0, 0, 0, 0
0.044514, 1.925767, -4.361202, 12.08212, 0.6886492, -0.2476418, 0.5922183, -0.3372142, -0.8684844, -6.266479, 14.45287, -0.7068274, 0.001983073, 0.00208162, -0.7073802, 0, 0, 0, 0, 0, 0
0.0556453, 1.925722, -4.347523, 12.0797, 0.6877902, -0.248272, 0.5923016, -0.3383558, -0.8686785, -6.266363, 14.45284, -0.7067358, 0.002008026, 0.002000211, -0.707472, 0, 0, 0, 0, 0, 0
0.06666701, 1.926927, -4.327428, 12.08249, 0.6862417, -0.2494149, 0.5927651, -0.3398443, -0.8673111, -6.263926, 14.45281, -0.7067707, 0.001938708, 0.001825332, -0.7074378, 0, 0, 0, 0, 0, 0
0.07782201, 1.930365, -4.311962, 12.07874, 0.6850743, -0.2500588, 0.5933136, -0.3407677, -0.8671322, -6.263755, 14.45255, -0.7068814, 0.002008275, 0.001818097, -0.7073269, 0, 0, 0, 0, 0, 0
0.08906651, 1.931375, -4.298747, 12.07821, 0.6836126, -0.2502457, 0.5943376, -0.3417803, -0.8675514, -6.263881, 14.45158, -0.7070097, 0.001998644, 0.001778275, -0.7071988, 0, 0, 0, 0, 0, 0
0.1001239, 1.936275, -4.281787, 12.07331, 0.6823006, -0.2507223, 0.5951297, -0.3426733, -0.868055, -6.265059, 14.4524, -0.7071134, 0.001968054, 0.001766382, -0.7070953, 0, 0, 0, 0, 0, 0
0.1110981, 1.938735, -4.261739, 12.07509, 0.6806723, -0.2517592, 0.595726, -0.3441122, -0.8681401, -6.265062, 14.45241, -0.7071735, 0.001956237, 0.001811521, -0.7070352, 0, 0, 0, 0, 0, 0
0.1225659, 1.936755, -4.246766, 12.07638, 0.6794185, -0.2524531, 0.5961609, -0.3453262, -0.8689715, -6.266997, 14.45349, -0.7071901, 0.00196738, 0.00190032, -0.7070182, 0, 0, 0, 0, 0, 0
0.1333502, 1.938755, -4.22629, 12.07072, 0.6786405, -0.2534336, 0.5960926, -0.3462548, -0.8692102, -6.26701, 14.45377, -0.7071738, 0.001906551, 0.001918043, -0.7070346, 0, 0, 0, 0, 0, 0
0.1447827, 1.935557, -4.209351, 12.07012, 0.6782223, -0.2543378, 0.5956146, -0.3472322, -0.86935, -6.266655, 14.45297, -0.7071416, 0.001934716, 0.002009719, -0.7070667, 0, 0, 0, 0, 0, 0
0.1557589, 1.933792, -4.188701, 12.06338, 0.6786232, -0.2557188, 0.5942559, -0.347762, -0.8695817, -6.266737, 14.45296, -0.7071095, 0.001920477, 0.002034277, -0.7070985, 0, 0, 0, 0, 0, 0
0.1666205, 1.931179, -4.173146, 12.0597, 0.679505, -0.2573516, 0.5925616, -0.3477269, -0.8687991, -6.266692, 14.45308, -0.7070875, 0.001928, 0.002053326, -0.7071205, 0, 0, 0, 0, 0, 0
0.177836, 1.932493, -4.155991, 12.05358, 0.6802555, -0.2588633, 0.5911822, -0.347485, -0.868826, -6.266627, 14.45297, -0.7070789, 0.001947701, 0.002060617, -0.7071291, 0, 0, 0, 0, 0, 0
0.1888369, 1.932569, -4.144359, 12.05558, 0.6808355, -0.260058, 0.5902866, -0.3469791, -0.8681216, -6.265345, 14.45079, -0.707081, 0.001902963, 0.001987009, -0.7071274, 0, 0, 0, 0, 0, 0
0.2000496, 1.936475, -4.131444, 12.0583, 0.6808869, -0.261641, 0.5896981, -0.3466889, -0.8683105, -6.26464, 14.45195, -0.7070889, 0.001814066, 0.001861336, -0.7071199, 0, 0, 0, 0, 0, 0
0.2112223, 1.943983, -4.109013, 12.05791, 0.6800106, -0.263611, 0.5894508, -0.3473364, -0.8682969, -6.264533, 14.45173, -0.7070978, 0.001850642, 0.001861347, -0.7071109, 0, 0, 0, 0, 0, 0
0.2222016, 1.942154, -4.086915, 12.06535, 0.6789374, -0.2652015, 0.5892871, -0.3485008, -0.8679661, -6.26215, 14.45209, -0.7071055, 0.001762807, 0.001743771, -0.7071038, 0, 0, 0, 0, 0, 0
0.2333683, 1.945479, -4.059385, 12.06499, 0.6771579, -0.2667055, 0.589545, -0.3503744, -0.8680285, -6.261871, 14.45235, -0.7071097, 0.001743496, 0.001704872, -0.7070996, 0, 0, 0, 0, 0, 0
0.2444399, 1.945077, -4.035616, 12.0666, 0.6761203, -0.2681229, 0.5893317, -0.3516527, -0.8687372, -6.265615, 14.45632, -0.7071108, 0.001765054, 0.001717847, -0.7070985, 0, 0, 0, 0, 0, 0
0.2555704, 1.948967, -4.007413, 12.06553, 0.6746016, -0.2702874, 0.5891719, -0.3531768, -0.8685939, -6.265576, 14.45651, -0.7071097, 0.001776086, 0.001730256, -0.7070996, 0, 0, 0, 0, 0, 0
0.2664848, 1.946985, -3.98632, 12.06422, 0.6738615, -0.2717386, 0.5888539, -0.3540055, -0.8684456, -6.268815, 14.45676, -0.7071074, 0.001881096, 0.001844195, -0.7071014, 0, 0, 0, 0, 0, 0
0.278061, 1.946932, -3.967963, 12.06149, 0.6734644, -0.2733974, 0.5883536, -0.3543159, -0.8687708, -6.267168, 14.45514, -0.7071053, 0.001805677, 0.001782198, -0.7071038, 0, 0, 0, 0, 0, 0
0.2888245, 1.947875, -3.949587, 12.05246, 0.6734611, -0.2749225, 0.5876861, -0.3542498, -0.8687248, -6.267287, 14.45504, -0.7071037, 0.001811141, 0.001802285, -0.7071053, 0, 0, 0, 0, 0, 0
0.2999714, 1.943494, -3.93034, 12.05073, 0.6730189, -0.2760846, 0.5871426, -0.3550865, -0.868494, -6.265776, 14.45353, -0.7071027, 0.001842569, 0.001846504, -0.7071063, 0, 0, 0, 0, 0, 0
