sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 1/28/2021 11:52:26 AM, Cylinder, 0.8272142, -4.74345, 11.52227, 0.9999999, 0, 0.0007333189, 0, -1.039444, -6.43778, 11.31696, -0.7071066, -0.0005185347, -0.0005185347, -0.7071066, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0109796, 4.278056, -4.268049, 12.13822, 0.6500346, -0.2887558, 0.6363176, -0.2986223, 4.280324, -4.683688, 14.17145, 0.9999968, 0, 0.002538279, 0, 0, 0, 0, 0, 0, 0
0.0221881, 4.285064, -4.281202, 12.13348, 0.6505907, -0.2885827, 0.6365216, -0.2971395, 4.280568, -4.555581, 14.17133, 0.9999968, 5.69411E-08, 0.002547115, 1.167003E-09, 0, 0, 0, 0, 0, 0
0.0332317, 4.290913, -4.270801, 12.14317, 0.6490945, -0.2902819, 0.63666, -0.2984574, 4.280005, -4.601162, 14.17039, 0.9999954, 0.001602314, 0.002581239, -1.18317E-05, 0, 0, 0, 0, 0, 79.372
0.0443596, 4.292074, -4.271632, 12.14846, 0.648311, -0.2902463, 0.637202, -0.2990378, 4.278469, -4.613595, 14.17575, 0.9999957, -0.001150415, 0.002711922, 7.990544E-06, 0, 0, 0, 0, 0, 5.316096
0.0554517, 4.290849, -4.2647, 12.15087, 0.6473894, -0.2900336, 0.6376969, -0.3001839, 4.278614, -4.615745, 14.17415, 0.9999961, 0.0007461542, 0.002707511, -5.53645E-06, 0, 0, 0, 0, 0, 0
0.066523, 4.287061, -4.260495, 12.15593, 0.6471899, -0.2895189, 0.6378776, -0.3007263, 4.280396, -4.61411, 14.17575, 0.9999946, -0.001848237, 0.002749592, 9.530866E-06, 0, 0, 0, 0, 0, 0
0.0776157, 4.285927, -4.252572, 12.159, 0.6468961, -0.2894845, 0.6379465, -0.3012447, 4.280728, -4.613991, 14.17371, 0.9999963, 0.0002296899, 0.002715468, 2.040861E-05, 0, 0, 0, 0, 0, 0
0.0888904, 4.281887, -4.24508, 12.16928, 0.6462827, -0.2895605, 0.6382428, -0.3018602, 4.279471, -4.61425, 14.17831, 0.9999936, -0.00232273, 0.002784342, 2.094032E-05, 0, 0, 0, 0, 0, 0
0.09997261, 4.281836, -4.235812, 12.17376, 0.6458417, -0.2897369, 0.6383487, -0.3024105, 4.279542, -4.613936, 14.17635, 0.999996, -0.0001141917, 0.002841025, 2.170065E-06, 0, 0, 0, 0, 0, 0
0.1110461, 4.285869, -4.226234, 12.17873, 0.6456853, -0.2911701, 0.6378434, -0.3024341, 4.278337, -4.619699, 14.17633, 0.9999949, 0.001661014, 0.002757221, 2.952234E-06, 0, 0, 0, 0, 0, 0
0.1221817, 4.291143, -4.213976, 12.18297, 0.645627, -0.2926133, 0.6373312, -0.3022453, 4.27716, -4.623125, 14.18232, 0.9999956, -0.00100223, 0.002770096, 1.239456E-05, 0, 0, 0, 0, 0, 0
0.1335029, 4.297765, -4.196497, 12.18754, 0.6450496, -0.2945233, 0.6369861, -0.3023505, 4.277236, -4.623567, 14.1808, 0.9999958, 0.0009994594, 0.002735823, 1.757321E-05, 0, 0, 0, 0, 0, 0
0.1443207, 4.303141, -4.178441, 12.18964, 0.6444975, -0.2961613, 0.6365555, -0.3028343, 4.280941, -4.601558, 14.16601, 0.999993, -0.001603749, 0.003410608, 2.140925E-05, 0, 0, 0, 0, 0, 0
0.1555111, 4.312693, -4.154565, 12.19206, 0.6435309, -0.2986914, 0.6360762, -0.3034117, 4.280971, -4.601373, 14.16374, 0.9999942, 0.0005571535, 0.003390402, -3.272145E-07, 0, 0, 0, 0, 0, 0
0.1664542, 4.324121, -4.129704, 12.19387, 0.6425104, -0.3010063, 0.6356515, -0.3041754, 4.281191, -4.599759, 14.16697, 0.9999919, -0.002005339, 0.003513634, 1.447659E-05, 0, 0, 0, 0, 0, 0
0.1776695, 4.334678, -4.105998, 12.19755, 0.6413519, -0.3033194, 0.6353711, -0.3049074, 4.281139, -4.599484, 14.16469, 0.9999937, 0.0002645746, 0.003565282, -4.853275E-06, 0, 0, 0, 0, 0, 0
0.1887092, 4.346883, -4.078068, 12.20019, 0.6400052, -0.3056571, 0.635112, -0.3059411, 4.281382, -4.600122, 14.16852, 0.9999915, -0.002271064, 0.003455967, 1.312996E-05, 0, 0, 0, 0, 0, 0
0.1998094, 4.358779, -4.05202, 12.20373, 0.6387743, -0.3080812, 0.6348051, -0.3067179, 4.281422, -4.599709, 14.16613, 0.9999941, 7.505681E-05, 0.003435999, -5.115598E-06, 0, 0, 0, 0, 0, 0
0.210951, 4.372856, -4.020947, 12.2047, 0.6375432, -0.3108249, 0.6343645, -0.3074221, 4.281242, -4.602374, 14.17101, 0.999991, -0.002442479, 0.003476888, 1.335627E-05, 0, 0, 0, 0, 0, 0
0.222098, 4.38391, -3.991081, 12.20806, 0.6360366, -0.3133192, 0.6341511, -0.3084492, 4.281619, -4.60121, 14.16774, 0.9999941, -4.350628E-05, 0.003449887, -5.089616E-06, 0, 0, 0, 0, 0, 0
0.2331031, 4.391046, -3.953788, 12.20732, 0.6336539, -0.3149781, 0.634674, -0.310581, 4.28189, -4.601208, 14.16625, 0.9999925, 0.001873621, 0.003413379, -2.796878E-07, 0, 0, 0, 0, 0, 0
0.2442948, 4.399263, -3.919716, 12.20871, 0.6317867, -0.3170216, 0.6347708, -0.3121039, 4.280701, -4.604277, 14.1702, 0.9999941, -0.0007874796, 0.003366798, 1.386396E-05, 0, 0, 0, 0, 0, 0
0.2554486, 4.408555, -3.88782, 12.21086, 0.6302719, -0.3195847, 0.6344804, -0.3131415, 4.280781, -4.604557, 14.16816, 0.9999937, 0.001318987, 0.003304422, 1.843795E-05, 0, 0, 0, 0, 0, 0
0.2664388, 4.42039, -3.861006, 12.21288, 0.6293649, -0.3221944, 0.6339711, -0.3133231, 4.281442, -4.604003, 14.17122, 0.9999942, -0.001291873, 0.003174812, 2.052617E-05, 0, 0, 0, 0, 0, 0
0.277563, 4.4281, -3.834772, 12.21302, 0.6287949, -0.3246371, 0.6331919, -0.3135215, 4.281385, -4.604066, 14.16892, 0.9999943, 0.0009478103, 0.003269374, -7.881024E-07, 0, 0, 0, 0, 0, 0
0.2888046, 4.433158, -3.807149, 12.21229, 0.6283895, -0.3269951, 0.6321843, -0.3139168, 4.280306, -4.606635, 14.17372, 0.9999933, -0.001628844, 0.003269046, 1.255033E-05, 0, 0, 0, 0, 0, 0
0.2996904, 4.439085, -3.781307, 12.21155, 0.6280491, -0.3294443, 0.6311715, -0.3140755, 4.280231, -4.606692, 14.17133, 0.9999943, 0.000702031, 0.003315896, -5.503491E-06, 0, 0, 0, 0, 0, 0
