sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 1/28/2021 11:53:18 AM, Tripod, 3.818769, -1.776781, 15.18257, -0.5140949, -0.4887644, -0.4974484, -0.4993607, -2.803452, -4.695594, 15.51395, -0.7070939, 0.004281527, 0.004281527, -0.7070939, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0111495, 1.028987, -4.493901, 9.490164, 0.5935733, -0.3093331, 0.6192007, -0.410578, 4.90518, 0.3536782, 11.27416, 0.5107062, 0.4921428, 0.5009268, 0.4960313, 0, 0, 0, 0, 0, 0
0.0222689, 1.020419, -4.526307, 9.489228, 0.5942091, -0.3077277, 0.6196603, -0.4101711, 4.905636, 0.3619169, 11.28841, 0.5307337, 0.4679271, 0.532052, 0.4650663, 0, 0, 0, 0, 0, 0
0.0334398, 1.004751, -4.555567, 9.495559, 0.5940885, -0.3057865, 0.6207398, -0.4101654, 4.905773, 0.3678156, 11.29219, 0.550688, 0.4443022, 0.5518426, 0.4413708, 0, 0, 0, 0, 0, 291.5493
0.0443366, 0.9878058, -4.580233, 9.500434, 0.5937505, -0.3043157, 0.6214534, -0.4106678, 4.906441, 0.3735062, 11.2968, 0.5667081, 0.4244764, 0.5690228, 0.4181805, 0, 0, 0, 0, 0, 571.3861
0.0559161, 0.967316, -4.597627, 9.510595, 0.5927089, -0.3030458, 0.6217518, -0.4126549, 4.907152, 0.3779694, 11.3016, 0.5811155, 0.4045015, 0.5855743, 0.3946975, 0, 0, 0, 0, 0, 802.7119
0.0668308, 0.9494639, -4.605448, 9.520496, 0.5912623, -0.3023516, 0.6220613, -0.414768, 4.908353, 0.3809499, 11.30538, 0.5942619, 0.3870133, 0.5969059, 0.3752026, 0, 0, 0, 0, 0, 0.7778567
0.0778427, 0.9561374, -4.59718, 9.49376, 0.5898913, -0.3017764, 0.6260542, -0.411115, 4.908817, 0.3818521, 11.30587, 0.5987092, 0.3795737, 0.5999979, 0.3707747, 0, 0, 0, 0, 0, 0
0.0888717, 0.9368555, -4.605361, 9.498816, 0.5894876, -0.3011732, 0.6263078, -0.4117493, 4.908839, 0.3816108, 11.30566, 0.6015447, 0.3744774, 0.6026145, 0.3671055, 0, 0, 0, 0, 0, 0
0.09998909, 0.9605036, -4.632136, 9.514179, 0.5895342, -0.2997834, 0.6258356, -0.4134118, 4.908838, 0.3806301, 11.30506, 0.6049898, 0.3688278, 0.6060009, 0.3615476, 0, 0, 0, 0, 0, 0
0.1110889, 0.9447874, -4.641012, 9.521724, 0.5890572, -0.2993578, 0.6258682, -0.4143495, 4.908836, 0.3791431, 11.30417, 0.609945, 0.3605773, 0.6108781, 0.3532411, 0, 0, 0, 0, 40.25103, 0.1059214
0.1221114, 0.9490634, -4.643882, 9.526264, 0.5898412, -0.2998407, 0.6245863, -0.414819, 4.908822, 0.3778481, 11.30326, 0.6131666, 0.3563164, 0.6134305, 0.3475176, 0, 0, 0, 0, 91.93655, 0.4902068
0.1333546, 0.9415466, -4.649793, 9.530757, 0.5906853, -0.3012127, 0.6231655, -0.4147609, 4.908848, 0.3775188, 11.3029, 0.6129238, 0.3572936, 0.61322, 0.3473141, 0, 0, 0, 0, 95.88218, 0.3561792
0.1446349, 0.9483353, -4.658671, 9.534392, 0.5911907, -0.3034037, 0.6230873, -0.4125555, 4.908835, 0.3768665, 11.30277, 0.6119693, 0.3594294, 0.6126097, 0.3478702, 0, 0, 0, 0, 111.8886, 0.02921563
0.1554378, 0.945471, -4.658516, 9.53905, 0.5902492, -0.3055176, 0.6231627, -0.4122294, 4.908858, 0.3767613, 11.30274, 0.6116083, 0.3601224, 0.6124015, 0.3481548, 0, 0, 0, 0, 181.3401, 0.3987275
0.1666572, 0.9549298, -4.650425, 9.543936, 0.587886, -0.3073241, 0.6246269, -0.4120474, 4.908851, 0.376757, 11.30276, 0.6115689, 0.3601171, 0.6124377, 0.348166, 0, 0, 0, 0, 164.6212, 0
