sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 2/3/2021 3:20:56 PM, Cylinder, 1.349545, -4.560054, 15.56802, 0.9999292, 0, 0.01190894, 0, -0.5212353, -6.254384, 15.40448, -0.7070567, -0.008420894, -0.008420894, -0.7070567, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0106918, 0.3935379, -4.926561, 13.87819, 0.2037746, -0.7439857, 0.5834047, -0.2541665, 1.33049, -4.451213, 15.82673, 0.9999821, 0, 0.00599107, 0, 0, 0, 0, 0, 0, 0
0.0224339, 0.4057572, -4.976013, 13.88719, 0.2086384, -0.7365621, 0.5922942, -0.2512646, 1.330468, -4.323471, 15.8268, 0.9999821, 8.838469E-08, 0.005978584, -6.646966E-09, 0, 0, 0, 0, 0, 0
0.0335415, 0.4015293, -4.989315, 13.87701, 0.2114953, -0.7304662, 0.5994839, -0.2496159, 1.330839, -4.371014, 15.82806, 0.9999917, 0.0005988188, 0.003946275, 0.0008679118, 0, 0, 0, 0, 0, 0
0.0441841, 0.3887845, -4.998364, 13.85286, 0.2047752, -0.7135829, 0.622408, -0.2479416, 1.328331, -4.378616, 15.82962, 0.9999684, -0.003083562, 0.007254541, -0.001065989, 0, 0, 0, 0, 0, 0
0.0558169, 0.3977952, -4.993492, 13.83751, 0.2058431, -0.6954551, 0.6445937, -0.2418059, 1.327239, -4.383346, 15.82519, 0.9999776, 0.0009171776, 0.00659296, -0.0008356426, 0, 0, 0, 0, 0, 0
0.0669103, 0.4004648, -4.983484, 13.84253, 0.2425772, -0.6778425, 0.6544195, -0.2311302, 1.328523, -4.380869, 15.82661, 0.9999797, -0.001836309, 0.006025672, 0.0009386103, 0, 0, 0, 0, 0, 0
0.0774624, 0.4325666, -4.982073, 13.818, 0.2296362, -0.6328762, 0.6996814, -0.2391252, 1.330072, -4.382154, 15.82519, 0.9999802, 0.0005248858, 0.006138145, 0.001352637, 0, 0, 0, 0, 0, 87.93647
0.0892693, 0.4507393, -4.986525, 13.87587, 0.2725272, -0.599903, 0.7232857, -0.2066472, 1.327193, -4.380433, 15.82577, 0.999948, -0.002139371, 0.009929597, -0.0008869595, 0, 0, 0, 0, 0, 288.4943
0.1003326, 0.4686235, -5.002677, 13.91192, 0.2745162, -0.5752714, 0.7465179, -0.1908269, 1.324898, -4.381639, 15.82405, 0.9999464, 0.000346324, 0.01023716, -0.001527374, 0, 0, 0, 0, 0, 951.8481
0.110983, 0.4957516, -4.881793, 13.94378, 0.2569111, -0.5916846, 0.7354758, -0.2073188, 1.328901, -4.381536, 15.82357, 0.9999764, -0.002040575, 0.006537557, 0.0007536989, 0, 0, 0, 0, 0, 1062.638
