sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 2/3/2021 4:11:08 PM, Stick, -1.642454, -2.166738, 17.75395, -0.706767, 0.02191903, 0.02191903, -0.706767, 4.924077, 2.207822, 17.64088, -0.9995196, 0, 0.03099819, 0, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0104046, -0.6344247, -1.466908, 13.01794, 0.5848577, -0.6393911, -0.3723172, -0.3324162, -1.68863, -2.136591, 17.96916, -0.7067704, 0.02181135, 0.02181135, -0.7067704, 0, 0, 0, 0, 0, 0
0.0218378, -0.6321353, -1.481024, 13.02727, 0.5874457, -0.6374851, -0.3682855, -0.3359853, -1.68877, -2.112495, 17.96877, -0.7067658, 0.02170852, 0.02198589, -0.7067726, 0, 0, 0, 0, 0, 0
0.0332356, -0.6286789, -1.493352, 13.03395, 0.5894747, -0.6368814, -0.3627431, -0.3395868, -1.687742, -2.106916, 17.96938, -0.7066734, 0.02156107, 0.02175444, -0.7068766, 0, 0, 0, 0, 0, 0
0.043799, -0.6254985, -1.505957, 13.03869, 0.5901111, -0.6358121, -0.3609473, -0.3423872, -1.687991, -2.105847, 17.96908, -0.7064976, 0.0215883, 0.02169017, -0.7070535, 0, 0, 0, 0, 0, 0
0.0550211, -0.6218379, -1.518676, 13.04229, 0.5906749, -0.6347175, -0.3602226, -0.3442043, -1.688755, -2.102094, 17.96006, -0.7064025, 0.02178749, 0.02178762, -0.7071396, 0, 0, 0, 0, 0, 105.9394
0.066321, -0.6199265, -1.528946, 13.04548, 0.5908101, -0.6338314, -0.3616406, -0.3441182, -1.688917, -2.101901, 17.95971, -0.7064389, 0.02181738, 0.02171766, -0.7071042, 0, 0, 0, 0, 45.86419, 45.86419
0.0772745, -0.6181909, -1.539602, 13.04988, 0.5904447, -0.6335019, -0.3635277, -0.3433628, -1.688633, -2.101101, 17.95646, -0.7065472, 0.02197146, 0.02179844, -0.7069888, 0, 0, 0, 0, 0, 0
0.0881847, -0.6153941, -1.547773, 13.05188, 0.5901433, -0.6340601, -0.363902, -0.3424529, -1.688815, -2.100832, 17.95615, -0.7066771, 0.02195399, 0.02175028, -0.706861, 0, 0, 0, 0, 0, 0
0.0998034, -0.6102141, -1.556854, 13.05221, 0.5897765, -0.6350695, -0.3628434, -0.3423378, -1.688891, -2.100641, 17.95549, -0.7067801, 0.02197124, 0.02178163, -0.7067565, 0, 0, 0, 0, 0, 0
0.1104155, -0.604822, -1.560263, 13.05165, 0.5886616, -0.6370223, -0.3620546, -0.3414625, -1.687978, -2.096741, 17.95291, -0.7068476, 0.02168515, 0.02154535, -0.706705, 0, 0, 0, 0, 0, 0
