sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 2/3/2021 4:37:50 PM, Stick, -1.787624, -7.160429, 13.97021, 0.7071062, 0.0009455091, 0.0009455091, 0.7071062, 4.757869, -2.785869, 13.43295, 0.9999992, 0, 0.001337152, 0, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0114678, -1.904624, -6.02885, 10.08832, 0.6590166, -0.6955122, -0.1760825, -0.2257317, -1.800109, -7.146816, 13.99413, 0.7071066, 0.0006200554, 0.0006200554, 0.7071066, 0, 0, 0, 0, 0, 0
0.0228669, -1.896241, -6.058467, 10.09645, 0.6654108, -0.6896601, -0.1714112, -0.2285072, -1.799883, -7.122343, 13.99501, 0.7071078, 0.0007974083, 0.000520249, 0.7071051, 0, 0, 0, 0, 0, 0
0.0370407, -1.893861, -6.088634, 10.10442, 0.6734805, -0.6822173, -0.1714771, -0.2271548, -1.799876, -7.117316, 13.99503, 0.707008, 0.0007479229, 0.0005570491, 0.7072049, 0, 0, 0, 0, 0, 0
0.0457928, -1.892134, -6.111732, 10.10746, 0.6784434, -0.6774853, -0.1730424, -0.2253544, -1.800809, -7.117931, 13.99394, 0.7068304, 0.0007588606, 0.0006607772, 0.7073825, 0, 0, 0, 0, 0, 0
0.055541, -1.889949, -6.131395, 10.1073, 0.6798605, -0.6755741, -0.1801427, -0.2212189, -1.800823, -7.117436, 13.99408, 0.7067384, 0.0007511672, 0.0007599432, 0.7074744, 0, 0, 0, 0, 0, 0
0.0665272, -1.887786, -6.148277, 10.106, 0.6800221, -0.6753157, -0.1829281, -0.2192166, -1.800908, -7.118308, 13.99355, 0.7067726, 0.0007273934, 0.0008424522, 0.70744, 0, 0, 0, 0, 0, 0.3490919
0.0779841, -1.881295, -6.154235, 10.1057, 0.6762048, -0.6780222, -0.1831922, -0.2224265, -1.800808, -7.118007, 13.9936, 0.7068831, 0.0007074825, 0.0008997142, 0.7073295, 0, 0, 0, 0, 0, 0
0.0888017, -1.877471, -6.156619, 10.1042, 0.6750835, -0.6789987, -0.1796065, -0.2257532, -1.800719, -7.115179, 13.99539, 0.7070114, 0.0007272793, 0.000949637, 0.7072011, 0, 0, 0, 0, 0, 0
0.09986851, -1.875952, -6.152111, 10.09968, 0.6730289, -0.6805392, -0.1771491, -0.2291652, -1.800538, -7.117157, 13.99509, 0.7071153, 0.0007781518, 0.0009812566, 0.7070973, 0, 0, 0, 0, 0, 0
0.1113784, -1.875988, -6.134037, 10.09294, 0.6706361, -0.6821509, -0.1806438, -0.2286598, -1.800474, -7.116859, 13.99512, 0.7071756, 0.0007639051, 0.000909148, 0.7070371, 0, 0, 0, 0, 0, 0
0.1221291, -1.877203, -6.105455, 10.07871, 0.6679392, -0.6855389, -0.1851513, -0.222739, -1.800411, -7.114927, 13.99603, 0.7071926, 0.0008348007, 0.0009014327, 0.70702, 0, 0, 0, 0, 0, 0
0.1332521, -1.876466, -6.077874, 10.06831, 0.6648619, -0.6890447, -0.1916372, -0.2155259, -1.800384, -7.114483, 13.99607, 0.7071764, 0.000840933, 0.0008280895, 0.7070361, 0, 0, 0, 0, 0, 0
0.1445332, -1.874385, -6.03492, 10.04734, 0.6603353, -0.6944337, -0.2020119, -0.2022629, -1.799451, -7.117428, 13.99437, 0.7071444, 0.0008723743, 0.0007954649, 0.7070683, 0, 0, 0, 0, 0, 0
0.1553924, -1.869889, -5.987833, 10.03108, 0.6547428, -0.700452, -0.2119126, -0.1891347, -1.799476, -7.117269, 13.99471, 0.7071122, 0.0009279234, 0.0008120892, 0.7071005, 0, 0, 0, 0, 0, 0
0.1665639, -1.86304, -5.940373, 10.01182, 0.6495924, -0.7051979, -0.2210131, -0.1785466, -1.798837, -7.114353, 13.99537, 0.7070901, 0.0009650773, 0.0008379845, 0.7071225, 0, 0, 0, 0, 0, 0
0.1781811, -1.852044, -5.881063, 9.992157, 0.6443293, -0.7107409, -0.2291081, -0.1649138, -1.798732, -7.113934, 13.9956, 0.7070813, 0.0009932285, 0.0008790808, 0.7071311, 0, 0, 0, 0, 0, 0
0.1914214, -1.843984, -5.827711, 9.972013, 0.6393134, -0.7158747, -0.2349227, -0.1536658, -1.801733, -7.119514, 13.99489, 0.7070831, 0.0009267685, 0.0008421963, 0.7071294, 0, 0, 0, 0, 0, 0
0.2000714, -1.830688, -5.767732, 9.950085, 0.6343569, -0.7209756, -0.2401588, -0.1418071, -1.801355, -7.11477, 13.99584, 0.7070908, 0.0008961428, 0.000848986, 0.7071218, 0, 0, 0, 0, 0, 0
0.2111966, -1.818474, -5.708117, 9.92619, 0.6309066, -0.7246251, -0.245372, -0.1291045, -1.801602, -7.114456, 13.99602, 0.7070997, 0.000879357, 0.00086918, 0.7071129, 0, 0, 0, 0, 0, 0
0.2221703, -1.802675, -5.648392, 9.904369, 0.6281379, -0.7272124, -0.2505135, -0.1176772, -1.80194, -7.11412, 13.99652, 0.7071069, 0.0009124264, 0.0009321664, 0.7071054, 0, 0, 0, 0, 0, 0
0.233298, -1.78722, -5.585206, 9.882151, 0.6272447, -0.7290164, -0.2525447, -0.1063973, -1.802017, -7.113786, 13.99612, 0.7071112, 0.0008394779, 0.0008788223, 0.7071014, 0, 0, 0, 0, 0, 0
0.2446199, -1.769539, -5.526662, 9.863385, 0.6264439, -0.7306538, -0.2540975, -0.09564313, -1.800073, -7.1134, 13.99431, 0.7071124, 0.0008268348, 0.0008746689, 0.7071002, 0, 0, 0, 0, 0, 0
0.2552013, -1.752871, -5.461114, 9.839614, 0.6282519, -0.7302801, -0.2544077, -0.08524771, -1.800084, -7.112973, 13.99425, 0.7071113, 0.000832447, 0.0008787175, 0.7071013, 0, 0, 0, 0, 0, 0
0.2664724, -1.73568, -5.402662, 9.818913, 0.6297207, -0.7296209, -0.2566324, -0.07242258, -1.79932, -7.113489, 13.99515, 0.7071092, 0.0007812029, 0.0008183299, 0.7071034, 0, 0, 0, 0, 0, 0
