sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 2/3/2021 6:25:43 PM, Cylinder, -1.549567, -2.023382, 13.05836, 0.002792431, 0, 0.9999962, 0, 0.3155973, -3.717712, 13.27683, -0.001974547, -0.7071041, -0.7071041, -0.001974547, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0109925, -2.229636, -2.048144, 17.55954, 0.2747955, -0.5835706, 0.5192501, 0.5606354, -1.549567, -2.023382, 13.05836, 0.00279243, 0, 0.9999961, 0, 0, 0, 0, 0, 0, 285.5359
0.0220853, -2.242173, -2.101451, 17.63765, 0.2521087, -0.5848104, 0.5264491, 0.5632845, -1.549568, -1.895579, 13.05836, 0.002792478, 8.734077E-09, 0.9999961, -2.391588E-07, 0, 0, 0, 0, 4544.05, 5.118754
0.0332294, -2.253475, -2.151631, 17.7216, 0.2300958, -0.5848427, 0.5321665, 0.5672863, -1.547192, -1.941744, 13.05585, 0.003746808, -0.001609986, 0.9999888, 0.00241442, 0, 0, 0, 391.928, 391.928, 0
0.0445888, -2.258908, -2.200366, 17.81058, 0.2079891, -0.5846444, 0.5375787, 0.5709121, -1.547877, -1.952265, 13.06185, 0.002845943, -0.0005671651, 0.9999904, -0.003274919, 0, 0, 0, 0, 0, 0
0.0554151, -2.254132, -2.243629, 17.89719, 0.1861224, -0.5841317, 0.5435022, 0.5733706, -1.546822, -1.958923, 13.06176, 0.007764667, -0.001478879, 0.9999678, -0.001489477, 0, 0, 0, 0, 0, 0
0.0665018, -2.252035, -2.28743, 17.98372, 0.1642479, -0.5830281, 0.5481367, 0.5767556, -1.548814, -1.953525, 13.0579, -0.002855152, 0.0005936493, 0.9999803, -0.00556141, 0, 0, 0, 0, 0, 0
0.07771771, -2.236674, -2.32227, 18.06523, 0.1416564, -0.5812469, 0.5519184, 0.5809231, -1.540125, -1.948452, 13.03796, -0.002142161, -0.004521501, 0.9999359, 0.0101571, 0, 0, 0, 0, 0, 0
0.08891451, -2.218109, -2.357651, 18.15049, 0.1195298, -0.5788654, 0.5553375, 0.5850023, -1.546883, -1.946099, 13.05603, 0.00726077, -0.002180357, 0.9999702, 0.001514205, 0, 0, 0, 0, 0, 0
0.099847, -2.195168, -2.393277, 18.23013, 0.09798376, -0.5775854, 0.5578386, 0.5878864, -1.548704, -1.950187, 13.05976, -0.002831489, -0.0005532392, 0.9999897, -0.003486637, 0, 0, 0, 0, 0, 0
0.1110791, -2.170198, -2.428194, 18.30729, 0.07655527, -0.5767676, 0.5590233, 0.5907379, -1.547353, -1.946705, 13.05499, 0.003149718, -0.00184991, 0.999984, 0.004319768, 0, 0, 0, 0, 0, 0
0.1219755, -2.150577, -2.462865, 18.39097, 0.05527535, -0.5752439, 0.5590177, 0.594591, -1.547661, -1.950811, 13.05885, 0.002729207, -0.001780969, 0.9999892, -0.003335464, 0, 0, 0, 0, 0, 0
0.1337522, -2.126184, -2.490224, 18.46854, 0.0361358, -0.5719319, 0.5590344, 0.5992234, -1.547841, -1.953107, 13.05326, -0.002630889, -0.0001222413, 0.9999929, 0.002710005, 0, 0, 0, 0, 0, 0
0.1457132, -2.097847, -2.514839, 18.54553, 0.01823225, -0.5686117, 0.55985, 0.6024254, -1.546958, -1.955228, 13.05954, 0.00577879, -0.002289755, 0.9999797, -0.001426635, 0, 0, 0, 0, 0, 0
