sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 2/3/2021 6:26:10 PM, Tripod, -5.234476, 0.8982278, 11.46423, -0.498778, 0.4980934, 0.512805, -0.4900558, 1.38594, -2.020585, 11.09856, 0.002450551, 0.7071026, 0.7071026, 0.002450551, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0112488, -1.766406, -1.405877, 17.78242, 0.3999325, -0.5632661, 0.5763808, 0.4365439, -5.629182, 3.073746, 13.27771, -0.499123, 0.4977634, 0.5124691, -0.490391, 0, 0, 0, 0, 0, 0
0.0223424, -1.768475, -1.42388, 17.78099, 0.3992782, -0.5644041, 0.5782471, 0.433192, -5.629662, 3.081714, 13.26353, -0.5293519, 0.4677676, 0.5310997, -0.4678816, 0, 0, 0, 0, 0, 0
0.0332676, -1.765361, -1.439035, 17.77854, 0.3982335, -0.5659559, 0.5797025, 0.4301732, -5.629844, 3.088115, 13.2599, -0.5489138, 0.4445551, 0.5512514, -0.4440565, 0, 0, 0, 0, 0, 293.7687
0.0444421, -1.762272, -1.449923, 17.77033, 0.3961568, -0.5681508, 0.5809096, 0.4275613, -5.631434, 3.093477, 13.25494, -0.5650121, 0.4235382, 0.5677115, -0.423179, 0, 0, 0, 0, 0, 344.6184
0.056202, -1.755597, -1.461731, 17.76624, 0.3942574, -0.5701137, 0.581552, 0.4258271, -5.633107, 3.097533, 13.24954, -0.5791655, 0.4033799, 0.58207, -0.4037902, 0, 0, 0, 0, 0, 468.1233
0.0666936, -1.749174, -1.473132, 17.76328, 0.3931307, -0.5707859, 0.582862, 0.424174, -5.633813, 3.099642, 13.24798, -0.5847636, 0.3975083, 0.5886073, -0.3918933, 0, 0, 0, 0, 61.76115, 120.2056
0.07787979, -1.746095, -1.484157, 17.76176, 0.3926597, -0.5709574, 0.5844049, 0.4222522, -5.633941, 3.100507, 13.24745, -0.5888567, 0.3939827, 0.5928178, -0.3828742, 0, 0, 0, 0, 7.423787, 156.7129
0.08899359, -1.74198, -1.496568, 17.75757, 0.3923609, -0.571062, 0.5856582, 0.4206491, -5.633999, 3.100391, 13.24735, -0.5930074, 0.3891369, 0.5969751, -0.3748807, 0, 0, 0, 0, 4.097552, 133.3233
0.1001942, -1.739519, -1.508513, 17.75674, 0.3917659, -0.5713125, 0.5870686, 0.4188939, -5.634017, 3.099323, 13.2479, -0.5969716, 0.3831568, 0.6008916, -0.3684361, 0, 0, 0, 0, 10.56872, 107.1606
0.1125297, -1.738522, -1.520003, 17.75237, 0.3907974, -0.5724819, 0.58758, 0.4174825, -5.634032, 3.098464, 13.24854, -0.5974022, 0.3810088, 0.602142, -0.3679238, 0, 0, 0, 0, 20.20035, 88.73569
0.1235658, -1.738516, -1.526608, 17.75086, 0.3891218, -0.5739032, 0.5877006, 0.4169261, -5.634058, 3.097394, 13.24932, -0.5975452, 0.3792742, 0.6023622, -0.3691214, 0, 0, 0, 0, 26.58342, 102.5064
0.1331838, -1.738246, -1.530814, 17.74966, 0.3877226, -0.5747885, 0.5880921, 0.4164578, -5.63399, 3.096052, 13.25025, -0.5976911, 0.3773015, 0.602285, -0.3710281, 0, 0, 0, 0, 30.05017, 120.0215
0.1444657, -1.735478, -1.528995, 17.74248, 0.3860469, -0.5758981, 0.5875334, 0.4172694, -5.633961, 3.094645, 13.25116, -0.5976936, 0.3753702, 0.6022611, -0.3730164, 0, 0, 0, 0, 36.00684, 113.5009
0.155613, -1.73171, -1.524951, 17.74078, 0.3849983, -0.5766388, 0.5863621, 0.4188598, -5.634044, 3.094338, 13.25139, -0.5974948, 0.3756153, 0.6015689, -0.3742031, 0, 0, 0, 0, 41.05778, 92.09723
0.1666544, -1.728899, -1.518043, 17.73725, 0.3852018, -0.5761936, 0.5856411, 0.4202917, -5.634005, 3.094295, 13.25133, -0.5977064, 0.3756706, 0.6012986, -0.374244, 0, 0, 0, 0, 49.63106, 26.76191
0.1777595, -1.724768, -1.510939, 17.73581, 0.386964, -0.5747932, 0.5858878, 0.4202466, -5.633998, 3.094301, 13.25131, -0.597717, 0.3757357, 0.6012262, -0.3742784, 0, 0, 0, 0, 58.25486, 0
0.1889959, -1.72055, -1.498765, 17.73371, 0.3892134, -0.5728045, 0.5867549, 0.4196746, -5.633996, 3.094301, 13.25131, -0.5977157, 0.3757493, 0.601211, -0.3742912, 0, 0, 0, 0, 15.29958, 0.2833464
0.1998529, -1.721013, -1.490058, 17.73133, 0.3907285, -0.5710243, 0.5878167, 0.4192065, -5.633996, 3.094301, 13.2513, -0.5977155, 0.3757513, 0.6012085, -0.3742933, 0, 0, 0, 0, 0, 0
0.2110222, -1.717658, -1.475437, 17.72961, 0.392901, -0.5690673, 0.5881904, 0.4193129, -5.633996, 3.094301, 13.2513, -0.5977152, 0.3757523, 0.6012083, -0.3742931, 0, 0, 0, 0, 0, 0
0.2221666, -1.71549, -1.45799, 17.72775, 0.3950329, -0.5670547, 0.5880955, 0.4201686, -5.633996, 3.094301, 13.2513, -0.5977156, 0.3757517, 0.6012083, -0.3742931, 0, 0, 0, 0, 0, 393.145
0.2333691, -1.713619, -1.438295, 17.72495, 0.3978965, -0.5644712, 0.5880957, 0.4209444, -5.633996, 3.094301, 13.2513, -0.5977154, 0.3757521, 0.6012084, -0.3742931, 0, 0, 0, 0, 0, 0
