sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 2/3/2021 6:26:42 PM, Cylinder, 0.7102972, 1.536268, 11.47136, -0.002450551, -0.7071026, -0.7071026, -0.002450551, -1.154571, -4.198901, 11.25037, 0.003465602, 0, 0.9999941, 0, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0110752, -2.091695, -2.561751, 15.61029, 0.344351, -0.6855265, 0.5631521, 0.307141, 0.710297, 1.536268, 11.47136, -0.002450551, -0.7071026, -0.7071026, -0.002450551, 0, 0, 0, 0, 0, 0
0.0224976, -2.094959, -2.569747, 15.61019, 0.3404882, -0.6872312, 0.5627505, 0.3083715, 0.711076, 1.509369, 11.46148, -0.02841013, -0.7031303, -0.7102404, 0.01894927, 0, 0, 0, 0, 0, 0
0.0332977, -2.099712, -2.575556, 15.61274, 0.3375489, -0.6877663, 0.5630236, 0.3099077, 0.7134853, 1.498093, 11.44895, -0.04533722, -0.7055213, -0.7063075, 0.03624962, 0, 0, 0, 0, 0, 108.2027
0.0445249, -2.106393, -2.579702, 15.61746, 0.3350585, -0.688282, 0.5629389, 0.3116145, 0.7139497, 1.495113, 11.43684, -0.06135449, -0.7049382, -0.7046821, 0.05216347, 0, 0, 0, 0, 0, 225.2185
0.0555952, -2.112389, -2.584259, 15.62096, 0.332745, -0.6886589, 0.5627342, 0.3136238, 0.7136847, 1.494284, 11.42485, -0.07711115, -0.703024, -0.7037068, 0.06788196, 0, 0, 0, 0, 0, 295.9003
0.0665904, -2.12034, -2.588093, 15.63025, 0.3314895, -0.6882327, 0.5626003, 0.3161192, 0.7132569, 1.497359, 11.41864, -0.08310118, -0.7020959, -0.7034795, 0.07261004, 0, 0, 0, 0, 0, 316.5218
0.07769, -2.128848, -2.592323, 15.64079, 0.3308491, -0.6878811, 0.5621447, 0.3183579, 0.7121975, 1.499857, 11.41538, -0.08971602, -0.7011294, -0.7032428, 0.07627703, 0, 0, 0, 0, 0, 319.4527
0.0889181, -2.137568, -2.5948, 15.64413, 0.3296283, -0.6884726, 0.5607854, 0.3207342, 0.7108534, 1.501486, 11.41255, -0.09482542, -0.7004162, -0.7031197, 0.07776869, 0, 0, 0, 0, 0, 268.1854
0.09990869, -2.147475, -2.597814, 15.65109, 0.3280147, -0.6890976, 0.5597906, 0.3227775, 0.7099754, 1.502797, 11.4105, -0.09838614, -0.7000597, -0.70286, 0.0788944, 0, 0, 0, 0, 0, 204.6246
0.1112606, -2.154505, -2.598308, 15.65266, 0.3266436, -0.6895897, 0.5590304, 0.3244304, 0.7092832, 1.50347, 11.40879, -0.1007808, -0.6998069, -0.7027232, 0.07933209, 0, 0, 0, 0, 0, 134.7209
0.1226555, -2.157804, -2.596042, 15.65671, 0.3252395, -0.6898906, 0.5589311, 0.3253711, 0.70882, 1.503642, 11.40764, -0.1018184, -0.6997932, -0.7026178, 0.07906216, 0, 0, 0, 0, 0, 101.91
0.1346932, -2.158777, -2.592623, 15.65698, 0.3242841, -0.6903123, 0.558633, 0.3259418, 0.7086308, 1.503468, 11.40707, -0.1018018, -0.6999221, -0.7025654, 0.07840522, 0, 0, 0, 0, 0, 73.75612
0.145689, -2.161781, -2.589693, 15.66311, 0.3242489, -0.6903095, 0.5584814, 0.3262422, 0.7087694, 1.502923, 11.40708, -0.1015433, -0.7001712, -0.7023934, 0.07805564, 0, 0, 0, 0, 0, 71.23367
0.155591, -2.160073, -2.585795, 15.66448, 0.3262327, -0.6890703, 0.5595682, 0.3250197, 0.7092049, 1.501526, 11.40716, -0.101379, -0.7007621, -0.7018307, 0.07802858, 0, 0, 0, 0, 0, 65.24561
0.1667387, -2.162978, -2.582545, 15.6705, 0.3290035, -0.6868299, 0.561526, 0.3235892, 0.7099029, 1.499248, 11.40725, -0.1011717, -0.701681, -0.7009392, 0.07805372, 0, 0, 0, 0, 0, 52.34113
0.1777433, -2.163982, -2.579367, 15.67363, 0.3307682, -0.6853575, 0.5626848, 0.3228984, 0.7105424, 1.497065, 11.4074, -0.1009011, -0.7025635, -0.7001002, 0.07799421, 0, 0, 0, 0, 0, 54.20562
0.1889076, -2.170053, -2.575381, 15.68171, 0.3321978, -0.6838757, 0.5637081, 0.3227875, 0.7106423, 1.496638, 11.40765, -0.1005558, -0.7027715, -0.6999754, 0.07768617, 0, 0, 0, 0, 0, 61.00865
