sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 2/3/2021 6:27:06 PM, Card, -1.152481, 0.5978065, 11.48482, 0.003465602, 0, 0.9999941, 0, -0.3300306, 1.38023, 11.66514, 0.002450551, 0.7071026, 0.7071026, 0.002450551, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0113547, -1.925084, -2.518935, 15.7144, 0.3088927, -0.6810029, 0.5731611, 0.3351221, -1.152481, 0.5978065, 11.48482, 0.003465602, 0, 0.999994, 0, 0, 0, 0, 0, 0, 0
0.0228131, -1.924086, -2.526801, 15.71393, 0.3078492, -0.6816448, 0.5734366, 0.3343047, -1.152482, 0.605617, 11.48483, 0.003465957, -1.057656E-09, 0.999994, 5.805646E-08, 0, 0, 0, 0, 0, 0
0.0334529, -1.922106, -2.533483, 15.71355, 0.307108, -0.6820511, 0.5741319, 0.3329617, -1.152434, 0.6078358, 11.48482, 0.003466513, 0.001246296, 0.9999932, 9.028179E-06, 0, 0, 0, 0, 0, 58.20194
0.0456893, -1.920638, -2.540282, 15.71371, 0.3066534, -0.6822689, 0.5745592, 0.3321967, -1.152384, 0.6088357, 11.48483, 0.003469986, 0.002548552, 0.9999908, 1.223461E-05, 0, 0, 0, 0, 0, 171.0497
0.0575461, -1.919625, -2.546935, 15.71558, 0.3069325, -0.6818561, 0.5752135, 0.3316536, -1.152387, 0.6088582, 11.48483, 0.003470829, 0.00247296, 0.9999909, 1.190613E-05, 0, 0, 0, 0, 0, 285.6607
0.0664045, -1.917868, -2.553881, 15.71724, 0.306808, -0.6818762, 0.5755885, 0.3310763, -1.152453, 0.6079538, 11.48483, 0.003464022, 0.0007331129, 0.9999937, 5.779872E-06, 0, 0, 0, 0, 0, 360.0592
0.077878, -1.917818, -2.558984, 15.71973, 0.3067483, -0.6822944, 0.575349, 0.3306864, -1.152476, 0.6076469, 11.48483, 0.00346574, 0.0001471371, 0.999994, 3.553929E-06, 0, 0, 0, 0, 0, 360.0592
0.0893935, -1.919505, -2.563876, 15.72319, 0.306648, -0.6827973, 0.5749908, 0.330364, -1.15248, 0.6075847, 11.48483, 0.003465898, 2.965684E-05, 0.999994, 1.703291E-06, 0, 0, 0, 0, 0, 433.74
0.09990399, -1.920805, -2.567613, 15.72517, 0.30688, -0.6831238, 0.5746409, 0.3300824, -1.152481, 0.6075718, 11.48483, 0.003466068, 5.909254E-06, 0.999994, 2.470398E-07, 0, 0, 0, 0, 0, 438.5433
0.1108785, -1.922747, -2.571448, 15.72536, 0.3067923, -0.683568, 0.5741869, 0.3300344, -1.152482, 0.6075697, 11.48483, 0.003466067, 1.178394E-06, 0.999994, -5.613088E-09, 0, 0, 0, 0, 0, 451.1526
