sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 2/3/2021 6:31:36 PM, Stick, 0.6193435, -5.469406, 12.6461, -0.001401666, 0.7071055, 0.7071055, -0.001401666, -5.925449, -1.094846, 13.19181, -0.001982255, 0, 0.9999982, 0, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0133089, -2.013096, -3.631055, 14.78172, -0.643357, -0.3848897, 0.5879636, 0.303728, 0.6216765, -5.463339, 12.64096, -0.001635327, 0.7071049, 0.7071049, -0.001635327, 0, 0, 0, 0, 0, 0
0.0221906, -2.012678, -3.65485, 14.78799, -0.6442097, -0.3829144, 0.5889784, 0.3024485, 0.6219633, -5.463153, 12.64109, -0.001609112, 0.707105, 0.707105, -0.001609112, 0, 0, 0, 0, 0, 3.654297
0.0331357, -2.014395, -3.675744, 14.79952, -0.6452035, -0.3821679, 0.5889183, 0.3013892, 0.6205707, -5.441895, 12.64169, -0.001380128, 0.7071037, 0.7071067, -0.001657259, 0, 0, 0, 0, 0, 3.654297
0.0443981, -2.013891, -3.690763, 14.79958, -0.646193, -0.3822793, 0.5884132, 0.3001115, 0.6193731, -5.436707, 12.64156, -0.00146498, 0.7072034, 0.7070068, -0.001655525, 0, 0, 0, 0, 0, 378.1805
0.0555517, -2.013941, -3.697728, 14.79898, -0.6467103, -0.3828292, 0.5876659, 0.2997604, 0.6195165, -5.435688, 12.64128, -0.001570215, 0.707381, 0.706829, -0.001667967, 0, 0, 0, 0, 0, 552.5278
0.0664361, -2.013834, -3.704337, 14.80358, -0.6463259, -0.3830829, 0.5876787, 0.3002402, 0.620389, -5.435402, 12.64124, -0.001666367, 0.7074728, 0.7067369, -0.001657133, 0, 0, 0, 0, 0, 624.459
0.0776117, -2.012706, -3.70815, 14.80249, -0.6460013, -0.3834518, 0.5876791, 0.3004669, 0.6204411, -5.435328, 12.64129, -0.001740729, 0.7074383, 0.7067711, -0.001625052, 0, 0, 0, 0, 0, 0
0.0890395, -2.009012, -3.708886, 14.80257, -0.645649, -0.3840591, 0.5876616, 0.3004831, 0.6204505, -5.435333, 12.64145, -0.001787866, 0.7073281, 0.7068815, -0.001594962, 0, 0, 0, 0, 0, 0
0.0998091, -2.006649, -3.709602, 14.8026, -0.6452885, -0.3845097, 0.5877501, 0.3005081, 0.6203915, -5.43516, 12.64127, -0.001821845, 0.7071999, 0.7070095, -0.001598882, 0, 0, 0, 0, 0, 0
0.1109346, -2.005885, -3.708372, 14.8032, -0.6448731, -0.3849669, 0.587879, 0.3005621, 0.6195862, -5.434507, 12.64094, -0.001772617, 0.7070962, 0.7071133, -0.001569081, 0, 0, 0, 0, 0, 0
0.1221464, -2.004376, -3.708641, 14.80346, -0.6447814, -0.3852272, 0.5878092, 0.3005617, 0.6195039, -5.434352, 12.64064, -0.001744288, 0.7070359, 0.7071737, -0.001598901, 0, 0, 0, 0, 0, 0
0.1331478, -2.004489, -3.708684, 14.8035, -0.645331, -0.3857774, 0.5868765, 0.3004992, 0.6190281, -5.430187, 12.63786, -0.001686994, 0.7070187, 0.707191, -0.001620518, 0, 0, 0, 0, 0, 0
0.144192, -2.007022, -3.708014, 14.80643, -0.6461908, -0.3860278, 0.5858988, 0.3002378, 0.6192089, -5.431009, 12.63847, -0.001656403, 0.7070347, 0.707175, -0.001669663, 0, 0, 0, 0, 0, 0
0.155833, -2.008843, -3.708457, 14.80756, -0.6467277, -0.3860201, 0.5853045, 0.300251, 0.6192124, -5.430651, 12.63838, -0.001618165, 0.7070668, 0.7071429, -0.001695655, 0, 0, 0, 0, 0, 685.9749
0.1702533, -2.011342, -3.710693, 14.80901, -0.6470984, -0.3861033, 0.584856, 0.3002189, 0.6187047, -5.431705, 12.63955, -0.001598998, 0.7071211, 0.7070886, -0.001728039, 0, 0, 0, 0, 0, 690.9916
0.1789397, -2.014331, -3.713789, 14.81115, -0.6478528, -0.3860815, 0.5841591, 0.2999769, 0.6187096, -5.431519, 12.63926, -0.001627434, 0.7071298, 0.7070798, -0.001742997, 0, 0, 0, 0, 0, 705.0551
