sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 2/3/2021 6:32:01 PM, Cylinder, -1.920681, -3.932634, 12.8255, -0.002349418, 0, 0.9999974, 0, -0.05336885, -5.626965, 13.02478, 0.00166129, -0.7071049, -0.7071049, 0.00166129, 1

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0141316, -2.021963, -3.707248, 14.8846, -0.639405, -0.3510674, 0.6110556, 0.3074472, -1.922703, -3.940303, 12.83263, -0.001941962, 0, 0.9999982, 0, 0, 0, 0, 0, 130.0483, 1123.493
0.0207346, -2.023477, -3.706551, 14.88393, -0.6400154, -0.3512196, 0.6104531, 0.3072003, -1.921263, -3.939853, 12.83129, -0.002017898, 0, 0.999998, 0, 0, 0, 0, 0, 0, 0
0.0246697, -2.020398, -3.712484, 14.8881, -0.6400869, -0.351191, 0.610657, 0.3066786, -1.921263, -3.812049, 12.83129, -0.002017885, -4.01424E-09, 0.999998, -6.288798E-08, 0, 0, 0, 0, 0, 0
0.0364524, -2.018541, -3.716333, 14.8902, -0.6410953, -0.3517922, 0.6097264, 0.3057332, -1.921432, -3.860528, 12.83015, -0.002012819, -6.707588E-06, 0.9999979, -0.0005931893, 0, 0, 0, 0, 0, 0
0.0470882, -2.011414, -3.717112, 14.89434, -0.6412646, -0.3529953, 0.6094651, 0.3045099, -1.922069, -3.86933, 12.82749, -0.002027869, 7.857219E-06, 0.9999959, 0.002066727, 0, 0, 0, 0, 0, 0
0.0582194, -2.003273, -3.715759, 14.89618, -0.6412815, -0.3539785, 0.6091058, 0.3040514, -1.922167, -3.873766, 12.8309, -0.002065122, -2.69679E-06, 0.9999974, -0.001015178, 0, 0, 0, 0, 0, 0
0.0695763, -1.996315, -3.712447, 14.89554, -0.6410382, -0.3552406, 0.6089481, 0.3034081, -1.921465, -3.873341, 12.82899, -0.002058864, 3.522058E-06, 0.999997, 0.001328859, 0, 0, 0, 0, 0.05595138, 0.05595138
0.0805099, -1.990639, -3.709045, 14.89424, -0.6405251, -0.3557195, 0.6092671, 0.3032901, -1.921605, -3.872466, 12.82981, -0.001888186, 0.000279846, 0.9999976, -0.001163507, 0, 0, 0, 0, 0.3068489, 0.3068489
0.0918377, -1.986143, -3.706862, 14.89415, -0.6394303, -0.3561948, 0.6101462, 0.3032753, -1.921213, -3.870481, 12.8273, -0.001448095, -0.0007131351, 0.9999978, 0.001384916, 0, 0, 0, 0, 0.2368186, 0
0.1030017, -1.986136, -3.706229, 14.89643, -0.6391493, -0.3561373, 0.6104841, 0.3032552, -1.921806, -3.871053, 12.83391, -0.002212196, 0.0005487499, 0.9999886, -0.004215016, 0, 0, 0, 0, 0.2267527, 0
