sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 2/3/2021 6:32:37 PM, Tripod, -5.997182, 1.169219, 13.07836, -0.5015098, 0.4954689, 0.5101337, -0.4927091, 0.618951, -1.749594, 12.642, -0.001326139, 0.7071056, 0.7071056, -0.001326139, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0111957, -2.06319, -3.689218, 14.89454, -0.5730757, -0.4098422, 0.6271391, 0.3321297, -5.998032, 1.160712, 13.08935, -0.5016361, 0.4953468, 0.5100095, -0.4928318, 0, 0, 0, 0, 0, 0
0.0225636, -2.060353, -3.713575, 14.89865, -0.5729379, -0.4086603, 0.6286951, 0.3308792, -5.998868, 1.168132, 13.07553, -0.5336454, 0.467107, 0.528236, -0.4669052, 0, 0, 0, 0, 0, 0
0.0370021, -2.05846, -3.734501, 14.90466, -0.5718764, -0.4080994, 0.6302125, 0.3305217, -5.999329, 1.177268, 13.06699, -0.5530197, 0.4445618, 0.5474166, -0.4436994, 0, 0, 0, 0, 0, 96.40349
0.0455552, -2.059485, -3.75147, 14.90363, -0.5707651, -0.4082106, 0.6311758, 0.3304671, -6.001057, 1.18093, 13.06385, -0.5683414, 0.421923, 0.5651275, -0.4237927, 0, 0, 0, 0, 0, 297.5905
0.0555811, -2.058646, -3.764458, 14.90541, -0.5695952, -0.4082586, 0.6322359, 0.3303999, -6.002474, 1.185166, 13.05931, -0.5825604, 0.3979563, 0.5827891, -0.4032506, 0, 0, 0, 0, 0, 442.6398
0.0666482, -2.05498, -3.773401, 14.91497, -0.5685767, -0.4088313, 0.6331514, 0.3296919, -6.004051, 1.189508, 13.05535, -0.5949501, 0.37699, 0.5969365, -0.3841612, 0, 0, 0, 0, 0, 565.6337
0.0779013, -2.05257, -3.783456, 14.91961, -0.5683178, -0.4084049, 0.6341077, 0.3288282, -6.004941, 1.190508, 13.05461, -0.6011532, 0.3692294, 0.6017923, -0.3743402, 0, 0, 0, 0, 0, 0
0.08884831, -2.050163, -3.79339, 14.93287, -0.5677992, -0.4074874, 0.6355702, 0.3280373, -6.004694, 1.191768, 13.05289, -0.6055378, 0.3641801, 0.604596, -0.3676418, 0, 0, 0, 0, 0, 0.3388203
0.09993171, -2.049562, -3.801349, 14.93746, -0.5685144, -0.4063806, 0.6360924, 0.3271586, -6.004714, 1.190549, 13.05318, -0.6103089, 0.3572789, 0.6081776, -0.3605482, 0, 0, 0, 0, 0, 0.7093617
0.1113058, -2.048328, -3.809365, 14.93308, -0.5687233, -0.4058539, 0.636569, 0.3265218, -6.003757, 1.193131, 13.05107, -0.6130859, 0.3515977, 0.6116431, -0.3555244, 0, 0, 0, 0, 0, 0.2917415
0.1223733, -2.051431, -3.817577, 14.93494, -0.5682101, -0.4043463, 0.6375551, 0.3273605, -6.003178, 1.196126, 13.04858, -0.6134762, 0.3509666, 0.6117793, -0.35524, 0, 0, 0, 0, 0, 1.187583
0.1332869, -2.053491, -3.823244, 14.93381, -0.5664726, -0.4034607, 0.6386523, 0.3293199, -6.003241, 1.195768, 13.04842, -0.6127927, 0.3513272, 0.6110858, -0.3572513, 0, 0, 0, 0, 0, 0.1757766
0.1445561, -2.059814, -3.826241, 14.93394, -0.5653948, -0.403234, 0.6390675, 0.3306417, -6.002906, 1.194611, 13.0494, -0.6124811, 0.3517781, 0.6104996, -0.3583428, 0, 0, 0, 0, 13.77459, 0.6319016
0.1554807, -2.070732, -3.815309, 14.93463, -0.565955, -0.4053174, 0.636701, 0.3316993, -6.002753, 1.194721, 13.04969, -0.6124456, 0.3519087, 0.6102449, -0.3587088, 0, 0, 0, 0, 29.95942, 0.3657561
0.1665861, -2.07738, -3.805445, 14.92985, -0.5664684, -0.4071054, 0.6350189, 0.3318579, -6.002248, 1.196643, 13.04757, -0.612444, 0.3519558, 0.6101747, -0.3587844, 0, 0, 0, 0, 0, 0
0.1779542, -2.085503, -3.784535, 14.9268, -0.5676736, -0.4095353, 0.6319992, 0.3325726, -6.002061, 1.197002, 13.04727, -0.6124364, 0.3519926, 0.6101335, -0.3588314, 0, 0, 0, 0, 0, 0
0.1912818, -2.090762, -3.769578, 14.92506, -0.5696194, -0.4100836, 0.6302698, 0.3318516, -6.003065, 1.193989, 13.04857, -0.6124001, 0.3520389, 0.6101311, -0.3588523, 0, 0, 0, 0, 0, 0
0.2001202, -2.096577, -3.761687, 14.92933, -0.5718918, -0.4110813, 0.6279204, 0.3311619, -6.003074, 1.19425, 13.0481, -0.6123855, 0.3520652, 0.6101169, -0.3588756, 0, 0, 0, 0, 0, 0
0.2110865, -2.099021, -3.764013, 14.93334, -0.5734111, -0.4105418, 0.6271653, 0.3306342, -6.001937, 1.193256, 13.04805, -0.6123641, 0.352094, 0.6101114, -0.3588929, 0, 0, 0, 0, 0, 0
0.2221222, -2.103916, -3.767292, 14.94095, -0.5743473, -0.4098922, 0.6269457, 0.3302313, -6.001598, 1.194683, 13.0477, -0.6123792, 0.3521005, 0.6100708, -0.3589301, 0, 0, 0, 0, 0, 601.4645
0.2332005, -2.107332, -3.768055, 14.94662, -0.5745846, -0.408801, 0.6272611, 0.3305722, -6.001515, 1.194969, 13.04753, -0.612376, 0.3521143, 0.6100544, -0.35895, 0, 0, 0, 0, 0, 0
0.2444856, -2.110787, -3.773652, 14.95455, -0.5757772, -0.4066668, 0.6280087, 0.329709, -6.003006, 1.193819, 13.04912, -0.6123465, 0.3521422, 0.6100666, -0.3589521, 0, 0, 0, 0, 0, 0
0.2554058, -2.113219, -3.772829, 14.96474, -0.5762697, -0.4062107, 0.6274895, 0.3303983, -6.003059, 1.19414, 13.04898, -0.6123427, 0.3521537, 0.6100553, -0.3589662, 0, 0, 0, 0, 0, 0
0.2666051, -2.110107, -3.766109, 14.96814, -0.5757918, -0.4062046, 0.6275108, 0.3311978, -6.004897, 1.191568, 13.05084, -0.6123279, 0.3521724, 0.6100547, -0.3589742, 0, 0, 0, 0, 0, 0
0.2777204, -2.100829, -3.761128, 14.97709, -0.5752139, -0.4049177, 0.6289133, 0.3311175, -6.005245, 1.19172, 13.05034, -0.6122904, 0.3522058, 0.6100747, -0.3589714, 0, 0, 0, 0, 0, 713.257
0.2887118, -2.089078, -3.752543, 14.97947, -0.5742159, -0.4053472, 0.6293606, 0.3314744, -6.004757, 1.194597, 13.04816, -0.6122994, 0.352208, 0.6100552, -0.358987, 0, 0, 0, 0, 0, 0
0.3000254, -2.076263, -3.741892, 14.987, -0.5736707, -0.4060566, 0.6295896, 0.3311148, -6.005024, 1.194924, 13.04785, -0.6122852, 0.3522249, 0.6100576, -0.3589907, 0, 0, 0, 0, 0, 0
0.3113544, -2.059618, -3.729864, 14.98996, -0.5734475, -0.4062226, 0.6302324, 0.3300734, -6.003882, 1.193017, 13.05177, -0.612389, 0.3521734, 0.6099399, -0.3590642, 0, 0, 0, 0, 0, 539.2045
0.3218707, -2.041256, -3.715946, 14.99758, -0.5723094, -0.4072307, 0.6310494, 0.3292446, -6.003844, 1.193241, 13.05207, -0.6124057, 0.3521721, 0.6099115, -0.3590852, 0, 0, 0, 0, 0, 0
0.333461, -2.019079, -3.698334, 15.00059, -0.5703578, -0.4079909, 0.6324921, 0.3289213, -6.003869, 1.196079, 13.04829, -0.6123588, 0.3522075, 0.6099484, -0.3590676, 0, 0, 0, 0, 0, 0
0.3468118, -2.000614, -3.682756, 15.00768, -0.5682589, -0.4082279, 0.6341735, 0.3290227, -6.003393, 1.1937, 13.05032, -0.6123701, 0.3522105, 0.6099245, -0.3590862, 0, 0, 0, 0, 0, 137.5605
0.3554248, -1.980951, -3.666601, 15.01343, -0.5657068, -0.408025, 0.6362213, 0.3297179, -6.003452, 1.193846, 13.05003, -0.6123536, 0.3522282, 0.6099311, -0.3590855, 0, 0, 0, 0, 0, 0
0.3665522, -1.960811, -3.647167, 15.01077, -0.5634192, -0.4079554, 0.6378747, 0.3305258, -6.00221, 1.19088, 13.05248, -0.6124093, 0.3522029, 0.6098667, -0.3591246, 0, 0, 0, 0, 0, 0
0.3778437, -1.944544, -3.628416, 15.01972, -0.5613626, -0.4084267, 0.6389999, 0.3312688, -6.002157, 1.190939, 13.05203, -0.6123821, 0.3522274, 0.6098842, -0.3591176, 0, 0, 0, 0, 0, 0
0.3887099, -1.926319, -3.602593, 15.01942, -0.559564, -0.4095713, 0.6394458, 0.3320368, -6.00191, 1.193329, 13.0496, -0.6123452, 0.3522566, 0.6099126, -0.3591034, 0, 0, 0, 0, 0, 0
0.3997962, -1.910578, -3.57772, 15.02314, -0.5577036, -0.4106098, 0.6398033, 0.3331935, -6.001892, 1.193349, 13.04884, -0.6123018, 0.3522897, 0.6099479, -0.359085, 0, 0, 0, 0, 0, 0
