sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 3/2/2021 5:56:46 PM, Stick, -0.5150495, 7.901254, 1.433946, 0.7071064, 0.0008709511, 0.0008709511, 0.7071064, 6.030555, 12.27581, 0.8980622, 0.9999994, 0, 0.001231711, 0, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0112545, 0.7414889, 7.92133, 0.3050025, 0.9077443, -0.4081029, -0.01350795, 0.09627955, -0.5164497, 7.900042, 1.433098, 0.7071066, 0.000561806, 0.000561806, 0.7071066, 18, 224.13, 108.0101, 0, 0, 0
0.0224321, 0.8511636, 7.959187, 0.2620386, 0.9143295, -0.4004588, -0.01881383, 0.05727323, -0.5147666, 7.923204, 1.433457, 0.7071079, 0.000670649, 0.0003934857, 0.7071052, 18, 0, 316.79, 0, 0, 0
0.0334671, 0.797601, 8.013988, 0.1621859, 0.9084871, -0.4177446, -0.008421719, 0.00834504, -0.5147598, 7.927858, 1.43344, 0.7070081, 0.0006216138, 0.0004307113, 0.7072052, 18, 0, 374.8346, 0, 0, 0
0.0446097, 0.7480823, 8.08305, 0.05654499, 0.9097937, -0.4132237, -0.01045489, -0.03758032, -0.5148055, 7.929688, 1.432769, 0.7068303, 0.0006242578, 0.0005261374, 0.7073826, 18, 0, 428.5613, 0, 818.5269, 0
0.0558793, 0.7361076, 8.13627, -0.05682957, 0.9013957, -0.4261972, -0.02078891, -0.07354949, -0.5146933, 7.929872, 1.432562, 0.7067385, 0.0005878435, 0.0005965607, 0.7074744, 18, 0, 453.2094, 0, 1649.045, 0
0.0669973, 0.7520812, 8.171296, -0.1902177, 0.8966264, -0.427689, -0.04210584, -0.1066322, -0.5158207, 7.930721, 1.432091, 0.7067729, 0.0006125381, 0.0007274671, 0.7074398, 18, 0, 339.557, 0, 1821.438, 0
0.0782079, 0.7752692, 8.204844, -0.3233559, 0.8981521, -0.4154874, -0.05454987, -0.1331067, -0.5156972, 7.930926, 1.431832, 0.7068837, 0.0005630996, 0.0007552102, 0.7073293, 19, 490.4707, 317.8424, 0, 2177.091, 0
0.0890042, 0.8034405, 8.241779, -0.4474829, 0.8963152, -0.409446, -0.07023688, -0.1550484, -0.5155262, 7.930974, 1.43139, 0.707012, 0.0004993454, 0.0007216466, 0.7072011, 19, 454.8298, 279.2625, 0, 0, 0
0.100219, 0.8502948, 8.260995, -0.5922686, 0.8898676, -0.410895, -0.09222111, -0.1754883, -0.5154271, 7.931084, 1.431937, 0.7071157, 0.0005914778, 0.0007945102, 0.7070972, 19, 409.9923, 260.3409, 0, 0, 0
0.1110228, 0.9121512, 8.272485, -0.7227433, 0.8851286, -0.4055055, -0.1237837, -0.1918076, -0.5153728, 7.930119, 1.43313, 0.7071759, 0.0005973793, 0.000742597, 0.707037, 19, 379.1982, 202.1299, 0, 0, 0
