sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 3/2/2021 5:57:31 PM, Cylinder, 2.022966, 9.439877, 1.258914, 0.9999994, 0, 0.001193177, 0, 0.15612, 7.745547, 1.055318, -0.7071064, -0.0008437033, -0.0008437033, -0.7071064, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.011188, 1.894221, 9.625527, -0.5588506, 0.7901663, -0.4281998, 0.3839586, -0.2117972, 2.024016, 9.437185, 1.258999, 0.9999993, 0, 0.001191004, 0, 19, 29.0797, 29.0797, 0, 0, 0
0.0221438, 1.903007, 9.605509, -0.5615658, 0.7922387, -0.4276845, 0.3808064, -0.2107848, 2.024161, 9.565041, 1.258886, 0.9999993, 1.161498E-07, 0.001204133, 3.512391E-09, 19, 29.35658, 29.35658, 0, 0, 0
0.0331819, 1.908891, 9.58238, -0.566651, 0.7941154, -0.4269661, 0.3783307, -0.2096345, 2.025141, 9.51717, 1.259878, 0.9999992, 0.0006053915, -0.0007411835, 0.000874856, 19, 30.39662, 30.39662, 0, 0, 172.051
0.0444104, 1.916373, 9.564586, -0.5689392, 0.7955168, -0.4266937, 0.3761222, -0.2088484, 2.022885, 9.509027, 1.261211, 0.9999912, -0.003083008, 0.002656609, -0.00105002, 19, 32.20326, 32.20326, 0, 0, 353.3995
0.0555189, 1.929721, 9.550493, -0.5713427, 0.7965095, -0.4273446, 0.3740305, -0.2074859, 2.022596, 9.505103, 1.256348, 0.9999976, 0.0009869571, 0.001859754, -0.0008004835, 19, 34.35494, 34.35494, 0, 0, 493.1245
0.0666233, 1.94923, 9.533438, -0.5742172, 0.7973334, -0.4279499, 0.3727755, -0.2053209, 2.024298, 9.506211, 1.258114, 0.9999971, -0.001793064, 0.001359552, 0.0009306518, 19, 36.55303, 36.55303, 0, 0, 566.4202
0.0777765, 1.961493, 9.528231, -0.573055, 0.7979876, -0.4281442, 0.3715156, -0.2046572, 2.023861, 9.508148, 1.253476, 0.9999947, 0.003238117, -0.0002662539, 0.0003905477, 19, 38.9696, 38.9696, 0, 0, 0
0.0890915, 1.965196, 9.526917, -0.5732251, 0.7985793, -0.4285057, 0.369157, -0.2058567, 2.024328, 9.514678, 1.256304, 0.9999964, 0.0008945512, -0.002253294, 0.001120883, 19, 41.43644, 41.43644, 0, 0, 0
0.1044617, 1.974546, 9.527718, -0.5742604, 0.7990139, -0.429, 0.3675522, -0.2060128, 2.022037, 9.509663, 1.257815, 0.999995, -0.002861288, 0.001168668, -0.000787951, 19, 43.27152, 43.27152, 0, 0, 0
0.1124207, 1.985284, 9.522789, -0.5765473, 0.7997974, -0.4294373, 0.3657151, -0.2053293, 2.019467, 9.504889, 1.255337, 0.9999996, 0.0003856918, 0.0006122588, -0.0005195572, 19, 45.31305, 45.31305, 0, 0, 0
0.1220239, 1.996942, 9.522168, -0.5799813, 0.8010318, -0.4303216, 0.3626307, -0.2041337, 2.021453, 9.505549, 1.256572, 0.9999928, -0.002853016, -0.001886368, 0.001619126, 19, 47.33241, 47.33241, 0, 0, 0
0.1331681, 2.012286, 9.520864, -0.5863199, 0.8022999, -0.4314504, 0.3594602, -0.2023709, 2.023531, 9.504914, 1.25143, 0.9999902, 0.002040685, -0.00377959, 0.001174826, 19, 49.33009, 49.33009, 0, 0, 0
0.1448241, 2.028243, 9.521469, -0.5896692, 0.8033984, -0.4326636, 0.3564685, -0.2007081, 2.022283, 9.505442, 1.253446, 0.9999952, -0.001079093, -0.002883703, -0.0004404598, 19, 51.22621, 51.22621, 0, 0, 0
0.1553811, 2.041141, 9.539158, -0.590351, 0.8040109, -0.4343273, 0.3532701, -0.2003158, 2.020524, 9.505708, 1.255411, 0.9999951, -0.0001376119, -0.003142923, -0.0004173632, 19, 53.07483, 53.07483, 0, 0, 0
0.1664551, 2.051865, 9.54946, -0.5933207, 0.8042045, -0.4362517, 0.3506185, -0.2000157, 2.021666, 9.506907, 1.254704, 0.9999946, 0.002688399, 0.001734197, 0.0008562953, 19, 54.08927, 54.08927, 0, 0, 0
0.1782076, 2.063154, 9.557869, -0.5993627, 0.8047283, -0.4366594, 0.3492967, -0.1993303, 2.019271, 9.508179, 1.258074, 0.999999, -0.0001736821, 0.001393229, -0.0002563949, 19, 56.1911, 56.1911, 0, 0, 0
0.1888495, 2.073233, 9.562229, -0.6089696, 0.8053607, -0.4369976, 0.347728, -0.1987776, 2.02212, 9.505951, 1.256624, 0.9999824, 0.003588731, 0.004497856, 0.001470391, 19, 57.95195, 57.95195, 0, 0, 0
0.2002398, 2.077082, 9.574355, -0.6205301, 0.8059984, -0.4374762, 0.3457377, -0.198612, 2.020418, 9.507124, 1.258145, 0.9999902, 0.0008721813, 0.00434944, 8.644973E-06, 19, 59.83966, 59.83966, 0, 0, 0
0.2111948, 2.083692, 9.580916, -0.634329, 0.8071315, -0.4378224, 0.3433119, -0.1974515, 2.020252, 9.507254, 1.262164, 0.9999889, -0.001810271, 0.00437966, 1.316972E-05, 19, 61.70585, 61.70585, 0, 0, 0
0.2219434, 2.102353, 9.594325, -0.647508, 0.8080757, -0.4396609, 0.340505, -0.1943408, 2.020588, 9.504702, 1.26025, 0.9999909, 0.0004863097, 0.004236847, 0.0002507482, 19, 63.53234, 63.53234, 0, 0, 0
0.2330267, 2.125706, 9.616285, -0.6563124, 0.8079314, -0.4424596, 0.3385481, -0.1919941, 2.019638, 9.506309, 1.261978, 0.9999821, -0.002592915, 0.005231351, -0.001334112, 19, 65.29269, 65.29269, 0, 0, 0
0.2446183, 2.143311, 9.640891, -0.6632901, 0.8075014, -0.4451492, 0.3367649, -0.1907172, 2.020124, 9.506754, 1.256979, 0.9999726, 0.002489236, 0.006969243, -0.0003868647, 19, 67.00283, 67.00283, 0, 0, 0
0.2586169, 2.163035, 9.677809, -0.6674014, 0.8062917, -0.4486688, 0.335359, -0.1900643, 2.021773, 9.513545, 1.258856, 0.9999626, 0.0002848025, 0.008627832, -0.0007647518, 19, 72.08768, 72.08768, 0, 0, 0
0.2662021, 2.176775, 9.715066, -0.6691318, 0.8048819, -0.4521639, 0.3339974, -0.1901547, 2.024906, 9.508074, 1.259659, 0.9999838, -0.002300485, 0.004964441, 0.001583018, 19, 76.29503, 76.29503, 0, 0, 0
0.2777471, 2.187174, 9.753047, -0.6742357, 0.8034317, -0.4546869, 0.3337629, -0.1906824, 2.023657, 9.505682, 1.25587, 0.9999881, 0.002660635, 0.00406754, 0.0005263603, 19, 80.21647, 80.21647, 0, 0, 0
