sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 3/2/2021 5:57:51 PM, Tripod, 6.100078, 14.53493, 1.005613, 0.5103666, 0.492479, 0.5012729, 0.4956977, -0.5164571, 11.61612, 1.435829, 0.7071062, 0.0009977607, 0.0009977607, 0.7071062, 1

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0112303, 2.077938, 9.786801, -0.8590062, 0.6043416, -0.3606789, 0.6508605, -0.2847149, 6.101271, 14.53754, 1.005499, 0.5104491, 0.4923973, 0.5011887, 0.4957788, 19, 0, 0, 0, 0, 0
0.0216813, 2.07874, 9.765861, -0.852589, 0.6049696, -0.3592008, 0.6512746, -0.2843029, 6.100554, 14.54655, 1.022675, 0.5289535, 0.4697613, 0.5313302, 0.4660694, 19, 0, 0, 0, 0, 0
0.0331001, 2.080617, 9.744234, -0.8471835, 0.60563, -0.3580401, 0.6516086, -0.2835947, 6.099032, 14.5526, 1.023275, 0.5488108, 0.4460672, 0.5509973, 0.4429819, 19, 0, 0, 0, 0, 92.5675
0.0438689, 2.081952, 9.725651, -0.8415465, 0.6063893, -0.3572435, 0.6516244, -0.2829395, 6.100612, 14.55803, 1.028629, 0.5652539, 0.4249238, 0.567123, 0.422255, 19, 0, 0, 0, 0, 283.1355
0.0555757, 2.085506, 9.710045, -0.8365346, 0.6068174, -0.3565211, 0.6518811, -0.2823409, 6.103705, 14.56208, 1.033516, 0.5795472, 0.4053815, 0.5813866, 0.4022193, 19, 0, 0, 0, 0, 473.5931
0.0664341, 2.09244, 9.691909, -0.8321682, 0.6068245, -0.3561921, 0.652513, -0.2812795, 6.104449, 14.5643, 1.035161, 0.5862086, 0.3932399, 0.5871555, 0.3961945, 19, 0, 0, 0, 0, 641.3822
0.0781022, 2.100981, 9.677806, -0.8239977, 0.6064451, -0.3561757, 0.6530969, -0.2807629, 6.103913, 14.56358, 1.036243, 0.5904449, 0.3841076, 0.5913876, 0.392552, 19, 0, 0, 0, 0, 0
0.0937258, 2.107051, 9.668499, -0.8161941, 0.6061096, -0.3562847, 0.6533775, -0.2806959, 6.103793, 14.56328, 1.036112, 0.5946366, 0.3759828, 0.5956663, 0.3875898, 19, 0, 0, 0, 0, 24.84396
0.1011715, 2.112201, 9.663097, -0.807126, 0.6062092, -0.3565643, 0.6531058, -0.2807584, 6.103368, 14.56183, 1.035684, 0.5984852, 0.3693776, 0.5995984, 0.381913, 19, 0, 0, 0, 0, 53.55485
0.1110244, 2.116994, 9.657948, -0.7981919, 0.6064232, -0.3565708, 0.652769, -0.2810712, 6.103285, 14.5611, 1.035745, 0.5991061, 0.3695311, 0.599794, 0.3804809, 19, 0, 0, 0, 0, 63.21206
0.1219346, 2.121053, 9.662679, -0.7886027, 0.6060283, -0.3569784, 0.652465, -0.2821096, 6.104106, 14.55993, 1.035145, 0.5991615, 0.3707236, 0.5997753, 0.3792612, 19, 0, 0, 0, 0, 0
0.132671, 2.126214, 9.668382, -0.7797002, 0.6054105, -0.3569882, 0.6526424, -0.2830114, 6.10323, 14.55934, 1.035185, 0.5990057, 0.3724172, 0.5997573, 0.3778743, 19, 0, 0, 0, 0, 0
0.1441171, 2.134345, 9.674065, -0.7720258, 0.6039387, -0.3572432, 0.653497, -0.2838609, 6.102918, 14.55785, 1.033901, 0.5988122, 0.3744149, 0.5998808, 0.3760061, 19, 0, 0, 0, 0, 0
0.1549381, 2.141486, 9.678002, -0.7663267, 0.6023842, -0.3574443, 0.6544341, -0.2847506, 6.103559, 14.55582, 1.031695, 0.5981907, 0.3760758, 0.5996434, 0.3757164, 19, 0, 0, 0, 0, 0
0.1659623, 2.14826, 9.681952, -0.7616894, 0.6011448, -0.3575044, 0.655172, -0.2855965, 6.104373, 14.55699, 1.031916, 0.5979155, 0.3767034, 0.5994632, 0.3758132, 19, 0, 0, 0, 0, 0
0.1774187, 2.155178, 9.683642, -0.7586862, 0.6002108, -0.3570955, 0.6560376, -0.2860847, 6.104498, 14.55782, 1.031213, 0.5978512, 0.3768162, 0.5994426, 0.3758354, 19, 0, 0, 0, 0, 0
0.1883682, 2.159348, 9.685518, -0.7582109, 0.600089, -0.3569174, 0.6562076, -0.2861727, 6.104562, 14.55781, 1.031564, 0.5978521, 0.3768579, 0.599393, 0.3758712, 19, 0, 0, 0, 0, 28.58112
0.1995708, 2.160828, 9.686504, -0.758677, 0.6003404, -0.3571885, 0.6559125, -0.2859837, 6.105119, 14.55779, 1.031066, 0.5978329, 0.3769023, 0.5993682, 0.3758969, 19, 0, 0, 0, 0, 21.72467
0.2108179, 2.162629, 9.689655, -0.7589774, 0.6003575, -0.3571817, 0.6558972, -0.2859915, 6.10513, 14.55791, 1.032467, 0.5978594, 0.3769127, 0.5992985, 0.375955, 19, 0, 0, 0, 0, 25.5171
0.2215249, 2.163809, 9.696561, -0.7609046, 0.6009035, -0.3557201, 0.6562093, -0.2859507, 6.105156, 14.55779, 1.031909, 0.5978004, 0.376973, 0.5993161, 0.3759606, 19, 0, 0, 0, 0, 13.60248
0.232786, 2.163187, 9.693803, -0.7653324, 0.6007482, -0.3554416, 0.6564835, -0.2859936, 6.104211, 14.55746, 1.032036, 0.5977762, 0.3770088, 0.5993001, 0.3759887, 19, 0, 0, 0, 0, 0
0.2469371, 2.162952, 9.707369, -0.7699573, 0.599768, -0.3552633, 0.65718, -0.2866719, 6.104251, 14.55758, 1.032179, 0.5977673, 0.377032, 0.5992728, 0.3760231, 19, 0, 0, 0, 0, 0
0.2551586, 2.161724, 9.714925, -0.7743452, 0.5990112, -0.3550482, 0.6577269, -0.2872663, 6.104731, 14.55818, 1.03178, 0.59776, 0.3770525, 0.5992457, 0.3760574, 19, 0, 0, 0, 0, 600.3466
0.2660361, 2.15978, 9.720096, -0.7785146, 0.5988284, -0.3537568, 0.6585091, -0.2874482, 6.104755, 14.55826, 1.031757, 0.5977446, 0.3770764, 0.5992287, 0.3760846, 19, 0, 0, 0, 0.2851492, 0.2851492
0.2773714, 2.15836, 9.735674, -0.7817363, 0.5976666, -0.3539428, 0.6588009, -0.2889643, 6.104714, 14.55603, 1.031675, 0.5977294, 0.377099, 0.599214, 0.3761097, 19, 0, 0, 0, 0, 0
0.288231, 2.153551, 9.751732, -0.7840571, 0.5971164, -0.3537142, 0.6588787, -0.290202, 6.10465, 14.55589, 1.031356, 0.5976943, 0.377133, 0.5992212, 0.3761201, 19, 0, 0, 0, 0, 0
