sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 3/2/2021 5:59:18 PM, Card, 2.017988, 14.23537, 1.026125, 0.9999991, 0, 0.001424293, 0, 1.193814, 15.01779, 0.8538585, 0.7071061, 0.001007127, 0.001007127, 0.7071061, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0108677, 3.26846, 8.432864, -0.01119151, -0.1363274, -0.3541576, 0.9241167, -0.04467322, 2.018254, 14.23456, 1.026409, 0.999999, 0, 0.001423154, 0, 0, 123.1632, 441.7824, 0, 0, 0
0.0222439, 3.271789, 8.431997, 0.02010443, -0.1337641, -0.3387696, 0.9301472, -0.04656738, 2.017894, 14.24218, 1.025536, 0.9999991, 4.889176E-08, 0.001350901, 1.602309E-10, 0, 119.8296, 447.201, 0, 0, 0
0.0333126, 3.240565, 8.425746, 0.04565433, -0.1364531, -0.3408396, 0.9287796, -0.05076829, 2.018216, 14.24385, 1.025727, 0.9999983, 1.205496E-06, 0.001389949, 0.001249044, 0, 112.9836, 455.4847, 0, 0, 0
0.0441844, 3.223307, 8.417494, 0.07731073, -0.1376504, -0.3437848, 0.9271371, -0.05728286, 2.018273, 14.24517, 1.025948, 0.9999959, -4.882131E-06, 0.001343674, 0.002553741, 0, 128.0777, 442.9373, 0, 0, 0
0.0555289, 3.207848, 8.411324, 0.1039635, -0.1375812, -0.3488616, 0.9246678, -0.06600314, 2.018575, 14.24455, 1.026425, 0.999996, -7.971084E-06, 0.001353096, 0.002491236, 0, 133.7719, 438.3031, 0, 0, 0
0.066426, 3.19703, 8.415567, 0.1348289, -0.1373592, -0.3571487, 0.9208643, -0.07474183, 2.01855, 14.24364, 1.026391, 0.9999987, -1.192468E-05, 0.001382275, 0.0007745898, 0, 143.0573, 430.2938, 0, 0, 0
0.077638, 3.187223, 8.424636, 0.1691974, -0.1361957, -0.3658634, 0.9167489, -0.08465382, 2.017386, 14.24425, 1.025453, 0.999999, -6.616086E-06, 0.001374286, 0.0001563104, 0, 131.7491, 435.223, 0, 0, 0
0.0887301, 3.180234, 8.436353, 0.2047691, -0.1337104, -0.3748493, 0.9122505, -0.09699861, 2.019503, 14.24421, 1.025294, 0.9999992, -2.993799E-06, 0.001310289, 3.187092E-05, 0, 144.0873, 432.02, 0, 0, 0
0.100276, 3.176014, 8.459609, 0.2553563, -0.1288189, -0.3853711, 0.9067225, -0.1129132, 2.01969, 14.24418, 1.025335, 0.9999992, -4.105273E-07, 0.001290704, 6.320768E-06, 0, 157.3373, 426.0849, 0, 0, 0
0.1157075, 3.171999, 8.481263, 0.2989349, -0.1223629, -0.3933611, 0.9016194, -0.1318221, 2.019753, 14.24412, 1.025244, 0.9999991, 4.525872E-10, 0.001367424, 1.258992E-06, 0, 169.6553, 424.0962, 0, 0, 0
