sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 3/2/2021 6:00:13 PM, Tripod, 1.112775, 15.88264, 1.403438, 0.4993152, 0.4993152, 0.500684, -0.500684, 6.102456, 14.53351, 1.006099, 0.5103878, 0.492458, 0.5012512, 0.4957185, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.011218, 2.633058, 9.747469, -0.7115203, 0.4915631, -0.2256856, 0.7569313, -0.3667246, 1.108796, 15.88389, 1.403687, 0.4992434, 0.4992434, 0.5007555, -0.5007555, 15, 0, 0, 0, 0, 0
0.0225612, 2.628322, 9.720851, -0.7142119, 0.4886298, -0.2225734, 0.7599404, -0.3663232, 1.108646, 15.86271, 1.418994, 0.5073978, 0.4867438, 0.492644, -0.512767, 15, 0, 0, 0, 0, 0
0.0332097, 2.622241, 9.698982, -0.7176746, 0.4856995, -0.2197187, 0.7625689, -0.3664812, 1.109753, 15.84234, 1.432621, 0.5153247, 0.4740373, 0.4843274, -0.5245533, 15, 0, 0, 0, 0, 202.346
0.0444827, 2.616945, 9.685116, -0.7184754, 0.4826791, -0.2173913, 0.7648091, -0.3671906, 1.111577, 15.83561, 1.444154, 0.5041854, 0.4849118, 0.4933278, -0.5169964, 15, 0, 0, 0, 0, 420.0303
0.0557685, 2.612011, 9.667624, -0.717733, 0.4802887, -0.2156588, 0.7665709, -0.3676728, 1.112319, 15.83296, 1.456781, 0.4941772, 0.4948123, 0.5025884, -0.5082859, 15, 0, 0, 0, 0, 561.2565
0.0665727, 2.606934, 9.650867, -0.7174978, 0.4780834, -0.2139309, 0.7682025, -0.3681505, 1.112243, 15.83349, 1.467091, 0.4848801, 0.5037858, 0.5106434, -0.5003343, 15, 0, 0, 0, 0, 730.5127
0.07785331, 2.604308, 9.643805, -0.7139429, 0.4752943, -0.2127836, 0.7696539, -0.3693933, 1.11432, 15.83573, 1.476683, 0.4757864, 0.5126686, 0.5180577, -0.4923563, 19, 0, 0, 0, 53.57167, 0
0.08914711, 2.598931, 9.635651, -0.709565, 0.4725752, -0.211399, 0.7709731, -0.3709224, 1.115391, 15.83739, 1.486507, 0.4667458, 0.5210536, 0.5251858, -0.4845942, 19, 0, 0, 0, 112.1389, 0
0.1001409, 2.594448, 9.635842, -0.7052202, 0.4695309, -0.2099814, 0.7724365, -0.3725457, 1.116704, 15.83731, 1.495794, 0.4576806, 0.5291873, 0.5320492, -0.4768784, 19, 0, 0, 0, 181.2949, 0
0.1108399, 2.592817, 9.630304, -0.7024228, 0.4665887, -0.2087517, 0.7739205, -0.3738515, 1.117764, 15.83823, 1.505485, 0.4485902, 0.5371367, 0.5386426, -0.4691644, 19, 0, 0, 0, 180.2135, 0
0.1227471, 2.592515, 9.632924, -0.6970337, 0.4637071, -0.2080298, 0.7749965, -0.375606, 1.117353, 15.83938, 1.515076, 0.4394402, 0.5449042, 0.5450124, -0.461447, 19, 0, 0, 0, 218.223, 0
0.1378158, 2.591613, 9.634672, -0.692185, 0.461047, -0.2071263, 0.7760099, -0.3772837, 1.117451, 15.84058, 1.524617, 0.4302051, 0.5525122, 0.5511819, -0.4537097, 19, 0, 0, 0, 186.993, 987.5133
0.1456886, 2.591004, 9.640345, -0.6881274, 0.4586945, -0.2064143, 0.7767978, -0.3789169, 1.118392, 15.84059, 1.534089, 0.4208632, 0.5599865, 0.5571682, -0.4459293, 19, 0, 0, 0, 165.8801, 961.9042
0.1554678, 2.587662, 9.648578, -0.6869268, 0.4562261, -0.2050325, 0.7780147, -0.3801482, 1.120065, 15.84018, 1.543353, 0.4114323, 0.5673826, 0.5629561, -0.4380423, 19, 0, 0, 0, 112.743, 902.2183
0.1667363, 2.585225, 9.64866, -0.6890193, 0.453401, -0.2030921, 0.7795632, -0.3813953, 1.121188, 15.83969, 1.552868, 0.4018054, 0.5746548, 0.5686235, -0.4301068, 19, 0, 0, 0, 61.54827, 829.8299
0.1777272, 2.584545, 9.651833, -0.6932929, 0.4500886, -0.2011307, 0.7816061, -0.3821765, 1.122002, 15.83906, 1.563046, 0.392152, 0.581974, 0.5740088, -0.4219443, 19, 0, 0, 0, 71.33521, 819.2797
0.1888817, 2.586016, 9.64796, -0.6995263, 0.4466744, -0.1990841, 0.7838164, -0.3827264, 1.123131, 15.83716, 1.571359, 0.3824431, 0.5893591, 0.5791289, -0.4135251, 19, 0, 0, 0, 65.2948, 788.6008
0.2001181, 2.594005, 9.650131, -0.7053271, 0.4423432, -0.1973714, 0.7863385, -0.3834697, 1.124816, 15.83622, 1.580522, 0.372593, 0.5967885, 0.5840313, -0.404877, 19, 0, 0, 0, 103.0135, 806.0374
