sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 3/2/2021 6:00:27 PM, Cylinder, 0.1572158, 11.45681, 1.057964, -0.7071061, -0.00103325, -0.00103325, -0.7071061, 2.024171, 9.436392, 1.26056, 0.999999, 0, 0.001461236, 0, 1

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.010841, 2.301888, 9.800488, -0.5084237, 0.6337907, -0.2727287, 0.6269219, -0.3617974, 0.1557749, 11.45752, 1.056938, -0.7071062, -0.0009752686, -0.0009752686, -0.7071062, 15, 0, 0, 0, 0, 0
0.0220846, 2.287392, 9.781208, -0.5051149, 0.634029, -0.2698624, 0.6278432, -0.3619317, 0.1453873, 11.44017, 1.063882, -0.7084769, -0.001913771, 0.0009998826, -0.7057309, 15, 0, 0, 0, 0, 0
0.0333578, 2.274812, 9.761197, -0.5028917, 0.6334316, -0.2670493, 0.629149, -0.3627958, 0.1464351, 11.43049, 1.068584, -0.710288, -0.007273629, 0.006367683, -0.7038448, 15, 0, 0, 0, 0, 61.46637
0.044506, 2.264799, 9.747543, -0.4947879, 0.6321231, -0.2656729, 0.6298528, -0.3648615, 0.1474905, 11.43359, 1.071379, -0.7120416, -0.01054707, 0.0101162, -0.7019853, 15, 0, 0, 0, 0, 529.4379
0.0556539, 2.257253, 9.737408, -0.4850512, 0.6312577, -0.2654285, 0.6297081, -0.3667824, 0.1488347, 11.43736, 1.072139, -0.7128742, -0.0140941, 0.01494382, -0.7009912, 15, 0, 0, 0, 0, 826.9698
0.0667723, 2.250271, 9.728448, -0.4728737, 0.6307083, -0.2660422, 0.6287839, -0.3688625, 0.1492782, 11.44141, 1.075387, -0.7132893, -0.01437281, 0.01541115, -0.700553, 15, 0, 0, 0, 0, 957.2314
0.07818469, 2.250035, 9.739808, -0.4495031, 0.6305264, -0.2680103, 0.6273345, -0.370214, 0.131694, 11.44892, 1.097705, -0.7137285, 0.00257273, -0.00217855, -0.7004145, 15, 0, 0, 0, 0, 1021.557
0.08882269, 2.24494, 9.715337, -0.4517304, 0.6308354, -0.2658168, 0.6282427, -0.3697289, 0.1332063, 11.44886, 1.095678, -0.7137285, 0.002592352, -0.002158555, -0.7004144, 15, 0, 0, 0, 0, 601.5026
0.1000092, 2.236885, 9.716795, -0.4428893, 0.6293523, -0.2652342, 0.6283713, -0.372446, 0.1338825, 11.44391, 1.101934, -0.7158058, -0.002961888, 0.0006315411, -0.6982929, 15, 0, 0, 0, 0, 601.5026
0.1114597, 2.22766, 9.713215, -0.4382335, 0.6285833, -0.2640816, 0.6287573, -0.3739097, 0.1352236, 11.44619, 1.108222, -0.7157428, -0.004277914, 0.004699975, -0.6983351, 15, 0, 0, 0, 0, 1037.437
0.1215376, 2.21846, 9.708251, -0.4366529, 0.6276961, -0.2622872, 0.6296065, -0.3752315, 0.1352165, 11.44897, 1.11057, -0.7161942, -0.007772013, 0.008544265, -0.6978056, 19, 0, 0, 0, 0, 1237.31
0.133146, 2.208687, 9.704441, -0.4345393, 0.6269157, -0.2608327, 0.6301, -0.3767189, 0.1339627, 11.45262, 1.112652, -0.7164261, -0.01126722, 0.01226345, -0.6974643, 19, 0, 0, 0, 0, 1496.885
0.1484222, 2.188278, 9.709627, -0.4287825, 0.6268543, -0.2598788, 0.6288438, -0.3795684, 0.1076931, 11.47673, 1.104696, -0.7224317, 0.005047708, -0.001834482, -0.6914216, 19, 0, 0, 0, 0, 1646.719
0.1576181, 2.177659, 9.710235, -0.4308312, 0.6275249, -0.258721, 0.6278175, -0.3809476, 0.09511448, 11.48281, 1.093543, -0.7231898, 0.00658533, -0.0007253288, -0.6906176, 15, 0, 0, 0, 0, 1221.173
0.1659492, 2.171647, 9.704121, -0.4333428, 0.6275774, -0.2577163, 0.6278328, -0.3815168, 0.0953988, 11.48293, 1.093003, -0.7231898, 0.006599904, -0.0007100671, -0.6906174, 15, 0, 0, 0, 0, 1221.173
0.1774619, 2.163232, 9.711019, -0.4361264, 0.6283365, -0.2565839, 0.6267928, -0.3827383, 0.07980229, 11.49129, 1.078095, -0.7245101, 0.008248923, 0.001091152, -0.6892141, 15, 0, 0, 0, 0, 1154.821
0.1884928, 2.163713, 9.718095, -0.4391825, 0.6289763, -0.2562496, 0.6260813, -0.3830759, 0.076519, 11.49854, 1.069711, -0.7245295, 0.009131268, 0.00189063, -0.6891808, 15, 0, 0, 0, 0, 1132.829
0.1993017, 2.164975, 9.716419, -0.4440432, 0.6287533, -0.255495, 0.6266188, -0.3830671, 0.08068071, 11.49829, 1.067587, -0.7250574, 0.008595943, 0.002252728, -0.6886311, 15, 0, 0, 0, 0, 988.5624
0.2109064, 2.175593, 9.716654, -0.4471344, 0.6281882, -0.2557085, 0.6274995, -0.3824098, 0.09423834, 11.4971, 1.070714, -0.7250343, 0.007509992, 0.001836449, -0.6886695, 15, 0, 0, 0, 0, 1076.089
0.2219087, 2.19284, 9.716021, -0.4512358, 0.6272469, -0.2558812, 0.6299475, -0.3798058, 0.1172909, 11.48461, 1.087283, -0.7247297, 0.003737375, 0.001633614, -0.6890212, 19, 0, 0, 0, 0, 1171.713
0.232828, 2.210493, 9.715032, -0.4559431, 0.6254236, -0.257141, 0.6319034, -0.3787112, 0.1438792, 11.48437, 1.095793, -0.724409, 0.00158681, -0.000695616, -0.6893684, 19, 0, 0, 0, 0, 0
0.2439297, 2.22452, 9.723405, -0.4572501, 0.6239659, -0.2589773, 0.6328665, -0.3782555, 0.1632359, 11.49318, 1.101104, -0.7240019, 0.0006112009, -0.003002614, -0.6897912, 19, 0, 0, 0, 0, 0
0.2556273, 2.233531, 9.723091, -0.4619233, 0.62424, -0.2587097, 0.633886, -0.3762743, 0.1722638, 11.48072, 1.107827, -0.7235467, -0.001616061, -0.002140731, -0.6902702, 19, 0, 0, 0, 0, 1352.972
0.2662347, 2.238275, 9.729994, -0.4667451, 0.6246392, -0.2599226, 0.6335217, -0.3753883, 0.1720487, 11.48319, 1.102876, -0.7222439, -0.001521811, -0.002709388, -0.6916315, 19, 0, 0, 0, 0, 0
0.2773033, 2.242027, 9.736179, -0.4741277, 0.6264274, -0.2599957, 0.6328178, -0.3735409, 0.1651828, 11.47481, 1.096205, -0.7209814, -0.00188461, -0.0007825493, -0.6929515, 19, 0, 0, 0, 0, 0
