sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 3/2/2021 6:00:37 PM, Cylinder, 0.1573608, 11.45766, 1.057246, -0.7071059, -0.001129534, -0.001129534, -0.7071059, -1.69036, 9.437244, 1.271201, 0.9999989, 0, 0.001597403, 0, 1

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0109382, 2.204128, 9.812903, -0.6355107, 0.6942273, -0.3174734, 0.575516, -0.2933264, 0.1567236, 11.45709, 1.057879, -0.7071061, -0.001006302, -0.001006302, -0.7071061, 19, 0, 0, 0, 0, 0
0.0223564, 2.195579, 9.780053, -0.6339751, 0.6947594, -0.314635, 0.5767834, -0.2926345, 0.1571917, 11.4566, 1.056913, -0.7071061, -0.001452968, -0.0004282593, -0.707106, 19, 0, 0, 0, 0, 0
0.0332277, 2.193178, 9.752909, -0.6277571, 0.6940342, -0.3129954, 0.5787882, -0.2921551, 0.1575559, 11.45565, 1.057094, -0.7071071, -0.002790615, 0.0008855015, -0.7071005, 19, 0, 0, 0, 0, 284.4445
0.0443423, 2.189819, 9.731833, -0.6187931, 0.6937158, -0.3122148, 0.5797501, -0.2918395, 0.1583395, 11.45379, 1.056649, -0.7071041, -0.004037708, 0.002106115, -0.7070949, 19, 0, 0, 0, 0, 564.2081
0.0557351, 2.183981, 9.712955, -0.6052913, 0.6934177, -0.3121805, 0.5798532, -0.2923793, 0.157852, 11.44967, 1.057172, -0.7070968, -0.005723521, 0.003750056, -0.7070838, 19, 0, 0, 0, 0, 796.0152
0.07057671, 2.177911, 9.703101, -0.5920015, 0.692737, -0.3119538, 0.5804267, -0.2930959, 0.157667, 11.44566, 1.05842, -0.7070818, -0.007869004, 0.005861236, -0.7070637, 19, 0, 0, 0, 0, 61.14909
0.0795757, 2.175072, 9.699486, -0.5789714, 0.6920822, -0.3124023, 0.5808524, -0.2933217, 0.1567716, 11.43894, 1.059211, -0.7070559, -0.01036812, 0.008381872, -0.7070321, 19, 0, 0, 0, 0, 86.1095
0.0885388, 2.172741, 9.69708, -0.5683706, 0.6917979, -0.3127845, 0.5809323, -0.2934265, 0.1567307, 11.43196, 1.059932, -0.7070171, -0.01315272, 0.01115192, -0.7069863, 19, 0, 0, 0, 0, 97.61079
0.0998043, 2.178106, 9.691608, -0.5580531, 0.6908123, -0.3130782, 0.5821873, -0.2929476, 0.1558974, 11.42365, 1.06101, -0.7069648, -0.01611488, 0.01404496, -0.7069257, 19, 0, 0, 0, 0, 0
0.1108419, 2.191635, 9.690338, -0.5495861, 0.6889731, -0.3137797, 0.5843797, -0.2921622, 0.1564319, 11.41717, 1.062481, -0.7069306, -0.0178983, 0.0158882, -0.706878, 19, 0, 0, 0, 0, 0
