sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 3/9/2021 6:10:03 PM, Stick, -2.368958, 7.987688, 4.947707, -0.7071002, 0.003074963, 0.003074963, -0.7071002, 4.18222, 12.36225, 4.48491, -0.9999907, 0, 0.004348655, 0, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0112383, 0.3329575, 8.518731, 1.7033, 0.5251495, -0.2404879, 0.5198619, -0.6293864, -2.368944, 7.987413, 4.951374, -0.7071002, 0.003073783, 0.003073783, -0.7071002, 0, 0, 0, 0, 0, 0
0.0216985, 0.4533502, 8.54424, 1.746586, 0.5170065, -0.2588465, 0.526051, -0.6236771, -2.369766, 8.011232, 4.950338, -0.7071006, 0.002949855, 0.003227085, -0.7070995, 0, 0, 0, 0, 0, 0
0.0327861, 0.5622135, 8.564693, 1.783402, 0.5081969, -0.2745992, 0.5335615, -0.6177728, -2.370091, 8.015761, 4.950582, -0.7070011, 0.002971207, 0.003162579, -0.7071992, 0, 0, 445.3813, 0, 0, 0
0.0439162, 0.6588277, 8.571605, 1.811204, 0.5008031, -0.2842945, 0.5425939, -0.6115268, -2.368909, 8.017018, 4.950738, -0.7068238, 0.002978425, 0.003077166, -0.7073768, 0, 0, 733.4734, 0, 0, 0
0.0553802, 0.724638, 8.572285, 1.83101, 0.4934035, -0.2885671, 0.5517632, -0.6073216, -2.368752, 8.014987, 4.950719, -0.7067323, 0.002996437, 0.002989074, -0.7074684, 0, 0, 1352.819, 0, 0, 0
0.0668722, 0.7910029, 8.579904, 1.843696, 0.4878699, -0.2890689, 0.5622006, -0.6019574, -2.368816, 8.014804, 4.951104, -0.7067674, 0.002971548, 0.002858886, -0.7074341, 0, 0, 1377.251, 0, 0, 0
0.0774077, 0.8521819, 8.582329, 1.848139, 0.4811833, -0.2927078, 0.5695804, -0.5986343, -2.367936, 8.016296, 4.948618, -0.7068786, 0.002971285, 0.002782052, -0.7073233, 0, 0, 0, 0, 0, 0
0.0886354, 0.9179709, 8.584511, 1.85417, 0.4748312, -0.2985281, 0.5770597, -0.5936484, -2.367867, 8.016216, 4.948632, -0.7070073, 0.002934662, 0.002715188, -0.707195, 0, 0, 0, 0, 0, 0
0.0998421, 0.9949386, 8.60442, 1.852285, 0.4689196, -0.3072415, 0.5832847, -0.5877891, -2.368074, 8.01777, 4.948979, -0.7071112, 0.002977458, 0.002776355, -0.7070909, 0, 0, 619.5231, 0, 0, 0
0.1122753, 1.06883, 8.627389, 1.855211, 0.4618617, -0.3176576, 0.5885232, -0.5825958, -2.368003, 8.017835, 4.948572, -0.7071711, 0.002997353, 0.002852834, -0.7070305, 0, 0, 0, 0, 0, 0
0.1230572, 1.130946, 8.66901, 1.855387, 0.4538085, -0.3306916, 0.5893649, -0.5808184, -2.3682, 8.016934, 4.949883, -0.7071876, 0.002923665, 0.002856486, -0.7070143, 0, 0, 0, 299.4888, 0, 0
0.1320071, 1.178487, 8.706581, 1.855387, 0.447087, -0.3422599, 0.5891599, -0.579536, -2.368264, 8.016932, 4.949771, -0.7071708, 0.002899115, 0.002910304, -0.707031, 0, 0, 0, 0, 0, 0
0.1438037, 1.206532, 8.735195, 1.855803, 0.4418154, -0.3498206, 0.5883419, -0.5798952, -2.368092, 8.017143, 4.949994, -0.707138, 0.002889856, 0.002964434, -0.7070635, 0, 0, 0, 0, 0, 0
0.1547873, 1.217684, 8.775475, 1.853924, 0.4376453, -0.3540267, 0.585578, -0.5832925, -2.368177, 8.017125, 4.950351, -0.7071059, 0.002826707, 0.002940017, -0.7070961, 0, 0, 0, 0, 0, 0
0.1653553, 1.217814, 8.805299, 1.846647, 0.4346243, -0.356816, 0.582738, -0.5866859, -2.368699, 8.017587, 4.950956, -0.7070835, 0.002861873, 0.002986637, -0.707118, 0, 0, 0, 0, 0, 0
0.1765492, 1.20768, 8.829245, 1.833398, 0.4318427, -0.3560353, 0.5806144, -0.5913016, -2.368228, 8.017491, 4.952539, -0.7070751, 0.002839257, 0.002951554, -0.7071267, 0, 0, 0, 0, 0, 0
0.1878787, 1.226054, 8.861453, 1.820829, 0.4251474, -0.357955, 0.5808072, -0.5947949, -2.368249, 8.017598, 4.9528, -0.7070773, 0.002840393, 0.002923755, -0.7071247, 0, 0, 0, 0, 0, 0
0.1989895, 1.257253, 8.908916, 1.809036, 0.4166891, -0.3640048, 0.5808106, -0.5971011, -2.369049, 8.017275, 4.951891, -0.7070853, 0.002894285, 0.002940921, -0.7071163, 0, 0, 0, 0, 0, 0
0.2104143, 1.279798, 8.949731, 1.795911, 0.4090974, -0.3721172, 0.578826, -0.5992734, -2.369074, 8.017305, 4.952096, -0.7070947, 0.002900628, 0.002910888, -0.7071071, 0, 0, 0, 0, 0, 0
0.2210765, 1.292665, 8.9844, 1.785255, 0.4054499, -0.381215, 0.5754185, -0.5993155, -2.368644, 8.016293, 4.950726, -0.7071024, 0.002905309, 0.002886034, -0.7070994, 0, 0, 0, 0, 0, 0
0.231766, 1.297578, 9.002969, 1.77561, 0.402868, -0.3878749, 0.572459, -0.5996174, -2.368694, 8.016134, 4.950673, -0.7071024, 0.002894351, 0.002875075, -0.7070994, 0, 0, 0, 0, 0, 0
0.2432349, 1.283979, 9.018376, 1.765575, 0.4032069, -0.3910081, 0.5686519, -0.6009759, -2.368816, 8.017024, 4.950794, -0.7071078, 0.002905566, 0.002857914, -0.7070941, 0, 0, 0, 0, 0, 0
0.2549362, 1.26036, 9.0314, 1.748991, 0.4029996, -0.3892547, 0.5655043, -0.6052082, -2.369095, 8.016811, 4.950785, -0.7071062, 0.002943224, 0.00289734, -0.7070954, 0, 0, 0, 0, 0, 0
0.2653041, 1.227212, 9.03854, 1.721331, 0.4022036, -0.3848092, 0.562413, -0.6114293, -2.368824, 8.016794, 4.950391, -0.7071037, 0.002964599, 0.002927969, -0.7070978, 0, 0, 0, 0, 0, 0
0.2768421, 1.200652, 9.070512, 1.682748, 0.3985336, -0.3838441, 0.5570458, -0.6193017, -2.368904, 8.016684, 4.949909, -0.7071013, 0.00292106, 0.002898079, -0.7071004, 0, 0, 0, 0, 0, 0
0.2878183, 1.167086, 9.106561, 1.637093, 0.3946855, -0.3852459, 0.5497954, -0.6273229, -2.368945, 8.01679, 4.949547, -0.7070996, 0.002942116, 0.002933864, -0.7071019, 0, 0, 0, 0, 0, 0
0.298996, 1.136903, 9.140788, 1.594117, 0.393181, -0.3893049, 0.542554, -0.6320486, -2.368947, 8.016692, 4.948687, -0.7070987, 0.002933576, 0.002938139, -0.7071027, 0, 0, 0, 0, 0, 0
