sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 3/9/2021 6:10:13 PM, Cylinder, 0.1725763, 9.523032, 4.80275, -0.9999902, 0, 0.004448312, 0, -1.691854, 7.828702, 4.578103, 0.7070999, -0.003145432, -0.003145432, 0.7070999, 1

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0111426, 0.05662051, 9.366299, 2.450226, 0.521834, -0.500756, 0.5123349, -0.4630826, 0.1727034, 9.524908, 4.803032, -0.9999907, 0, 0.004320759, 0, 0, 0, 0, 0, 0, 0
0.0223018, 0.05371142, 9.354703, 2.446952, 0.5225517, -0.5001833, 0.5125507, -0.4626535, 0.1724651, 9.651475, 4.802451, -0.9999906, -9.264726E-08, 0.004342019, 7.047123E-09, 0, 0, 0, 0, 0, 0
0.0341582, 0.04699651, 9.349323, 2.445713, 0.5234991, -0.4998746, 0.5121037, -0.4624108, 0.1731784, 9.596519, 4.804056, -0.9999907, 0.002224381, 0.003697097, 0.0003125948, 0, 0, 0, 0, 0, 0
0.0441727, 0.03486853, 9.356406, 2.440765, 0.524051, -0.4992678, 0.5109696, -0.4636941, 0.1737443, 9.597368, 4.804048, -0.9999907, 0.002224382, 0.003694236, 0.0003125884, 0, 0, 0, 0, 0, 21.13591
0.055182, 0.01172982, 9.359196, 2.437985, 0.5252193, -0.4977906, 0.5096006, -0.4654638, 0.1742945, 9.595336, 4.802235, -0.9999932, 0.0002074548, 0.0036726, 0.0001710165, 0, 0, 0, 0, 0, 21.13591
0.0662216, -0.01052427, 9.347904, 2.435143, 0.5283161, -0.4962662, 0.5083448, -0.4649599, 0.1746889, 9.594397, 4.80269, -0.9999924, -0.002706752, 0.002578556, -0.001146063, 0, 0, 0, 0, 0, 0
0.0774335, -0.02200959, 9.323976, 2.435142, 0.532014, -0.495779, 0.5081412, -0.4614725, 0.1733485, 9.594021, 4.805976, -0.9999954, 0.0001989893, 0.003029466, 0.0001439483, 0, 0, 0, 0, 0, 37.7578
0.08859351, -0.02624466, 9.309067, 2.433956, 0.5346599, -0.4965996, 0.5074776, -0.4582511, 0.1746937, 9.593246, 4.804901, -0.9999937, -0.002770064, 0.001950741, -0.001201621, 0, 0, 0, 0, 0, 154.0852
0.1001018, -0.01968062, 9.298422, 2.436294, 0.5369788, -0.4998299, 0.5059916, -0.453648, 0.1731282, 9.594697, 4.80792, -0.9999973, 0.0001244295, 0.00238508, 0.0001063124, 0, 0, 0, 0, 0, 179.628
0.111249, -0.01341804, 9.302349, 2.436311, 0.5381193, -0.5034955, 0.504149, -0.4502818, 0.1747501, 9.594139, 4.806327, -0.9999943, -0.002887296, 0.00128144, -0.001269713, 0, 0, 0, 0, 0, 191.1522
0.1231949, -0.003741497, 9.326901, 2.439835, 0.5379929, -0.5090827, 0.5012144, -0.447418, 0.1625242, 9.598398, 4.820508, -0.9999624, 0.004635097, 0.006063521, 0.004137714, 0, 0, 0, 0, 0, 0
0.1348722, -0.004224094, 9.333118, 2.440881, 0.5396106, -0.5112195, 0.4996583, -0.4447659, 0.165178, 9.595267, 4.816471, -0.9999676, 0.002017878, 0.007432282, 0.002354655, 0, 0, 0, 0, 0, 0
0.1438855, -0.003805837, 9.335908, 2.441653, 0.5405948, -0.5126582, 0.4987277, -0.4429555, 0.1652275, 9.595063, 4.816513, -0.9999675, 0.002017843, 0.007447063, 0.002354685, 0, 0, 0, 0, 0, 177.8564
0.1544625, -0.006981371, 9.347578, 2.441155, 0.5411618, -0.5133557, 0.4981622, -0.4420907, 0.1669337, 9.595407, 4.814196, -0.9999711, 3.230602E-05, 0.007604897, -0.0003674997, 0, 0, 0, 0, 0, 177.8564
0.1663003, -0.007823652, 9.35626, 2.439134, 0.5418245, -0.5141187, 0.4974265, -0.4412201, 0.1638593, 9.594769, 4.814079, -0.9999664, -0.0001320638, 0.007898301, 0.002198076, 0, 0, 0, 0, 0, 104.7904
0.1770871, -0.001296362, 9.375472, 2.434913, 0.5409793, -0.5153894, 0.4967737, -0.4415101, 0.166866, 9.594168, 4.814123, -0.9999664, 7.532023E-05, 0.008192003, -0.000467811, 0, 0, 0, 0, 0, 35.29898
0.1878901, 0.01663484, 9.403988, 2.42942, 0.5376096, -0.5172296, 0.4971006, -0.4431033, 0.1637747, 9.593812, 4.813876, -0.999962, -0.0001048177, 0.008462071, 0.002094489, 0, 0, 0, 0, 0, 0
0.1988141, 0.04080299, 9.426456, 2.429104, 0.5334767, -0.5186412, 0.4986219, -0.4447359, 0.1673488, 9.593876, 4.814668, -0.9999615, 9.409013E-05, 0.008757293, -0.0005665952, 0, 0, 0, 0, 0, 0
0.2099969, 0.07165737, 9.462214, 2.42475, 0.5262257, -0.5192761, 0.5020166, -0.4487962, 0.1646074, 9.593782, 4.81414, -0.9999568, -0.0001080347, 0.009085566, 0.002001714, 0, 0, 0, 0, 0, 0
0.2205548, 0.1014217, 9.50624, 2.419666, 0.5191134, -0.5204394, 0.5047048, -0.4526997, 0.1667965, 9.595109, 4.813734, -0.9999551, 0.0001031449, 0.009453386, -0.0006537084, 0, 0, 0, 0, 0, 0
0.2331648, 0.1219185, 9.543986, 2.413734, 0.5137028, -0.5211368, 0.5063052, -0.4562686, 0.1632906, 9.594989, 4.811644, -0.9999495, -0.0001164343, 0.009872497, 0.001919835, 0, 0, 0, 0, 0, 0
0.2435414, 0.1301574, 9.577939, 2.406479, 0.5102931, -0.5211909, 0.5068382, -0.4594302, 0.1661685, 9.595244, 4.811578, -0.9999477, 0.0001116396, 0.01020384, -0.0007305834, 0, 0, 0, 0, 0, 0
0.2542045, 0.1411498, 9.605301, 2.399273, 0.5078514, -0.5220294, 0.507021, -0.4609796, 0.1639586, 9.595518, 4.812265, -0.9999436, -0.0001221272, 0.01046807, 0.001847499, 0, 0, 0, 0, 0, 0
0.2655507, 0.1489704, 9.629728, 2.392219, 0.5071945, -0.5242582, 0.5059731, -0.4603242, 0.1670676, 9.595659, 4.812317, -0.9999404, 0.0001197468, 0.01088879, -0.0007984362, 0, 0, 0, 0, 0, 0
0.2764786, 0.1542878, 9.656344, 2.38396, 0.5069681, -0.5271729, 0.5040455, -0.4593586, 0.1643849, 9.595516, 4.813867, -0.9999346, -0.0001317863, 0.01131135, 0.001783777, 0, 0, 0, 0, 0, 0
0.2880439, 0.153102, 9.687708, 2.375368, 0.5072496, -0.5307795, 0.5010661, -0.4581527, 0.1674801, 9.595839, 4.814146, -0.9999307, 0.0001295729, 0.01174551, -0.0008581713, 0, 0, 0, 0, 0, 0
0.2986325, 0.155297, 9.722219, 2.367278, 0.5069619, -0.5342774, 0.4980884, -0.4576522, 0.1654757, 9.592979, 4.813918, -0.9999248, -0.0001407674, 0.01214686, 0.001727518, 0, 0, 0, 0, 0, 0
0.3097842, 0.1527623, 9.763586, 2.357893, 0.5076502, -0.5392537, 0.49365, -0.455858, 0.1687408, 9.594202, 4.812743, -0.9999208, 0.0001384739, 0.01255411, -0.0009109795, 0, 0, 0, 0, 0, 0
0.3210578, 0.1527821, 9.808494, 2.346331, 0.5074994, -0.5436055, 0.4900995, -0.4546866, 0.1656892, 9.593415, 4.812188, -0.999914, -0.000150464, 0.0130094, 0.001677847, 0, 0, 0, 0, 0, 0
0.3319658, 0.1573515, 9.854592, 2.335415, 0.5063268, -0.5471231, 0.4874597, -0.4546127, 0.1686775, 9.594697, 4.81318, -0.999908, 0.0001496486, 0.01353112, -0.0009576246, 0, 0, 0, 0, 0, 0
0.3432356, 0.1618395, 9.902881, 2.326023, 0.5044149, -0.550542, 0.4851942, -0.4550337, 0.1657704, 9.594634, 4.812809, -0.9998998, -0.0001618962, 0.01406583, 0.001633999, 0, 0, 0, 0, 0, 0
0.3542528, 0.166752, 9.954346, 2.315915, 0.502176, -0.5541273, 0.4826519, -0.4558611, 0.1688968, 9.594438, 4.815104, -0.9998928, 0.00016204, 0.01461041, -0.0009986309, 0, 0, 0, 0, 0, 0
0.3650981, 0.1693813, 10.00916, 2.303318, 0.4995351, -0.5575182, 0.4801759, -0.4572407, 0.1659549, 9.594347, 4.815055, -0.9998842, -0.0001737447, 0.01514417, 0.001595311, 0, 0, 0, 0, 0, 0
0.3764704, 0.1721611, 10.06492, 2.288847, 0.4968306, -0.561201, 0.4773763, -0.4586118, 0.1680593, 9.596067, 4.815446, -0.9998767, 0.0001737708, 0.01567018, -0.001034874, 0, 0, 0, 0, 0, 0
0.3882824, 0.1755323, 10.1183, 2.27423, 0.4940132, -0.5646981, 0.4748598, -0.4599732, 0.1654685, 9.595318, 4.814832, -0.9998673, -0.0001856172, 0.01621464, 0.001561179, 0, 0, 0, 0, 0, 0
0.3983628, 0.1773381, 10.17294, 2.257791, 0.4910377, -0.5681419, 0.4724982, -0.461348, 0.1686928, 9.593623, 4.814835, -0.9998583, 0.0001863416, 0.01679891, -0.001070269, 0, 0, 0, 0, 0, 0
0.4098322, 0.1780177, 10.22507, 2.243532, 0.4876094, -0.5710639, 0.4704536, -0.4634616, 0.1653315, 9.593933, 4.815115, -0.9998469, -0.0001993292, 0.01743645, 0.001527627, 0, 0, 0, 0, 0, 0
0.420971, 0.1837725, 10.26933, 2.230595, 0.4848672, -0.5732769, 0.4688923, -0.4651858, 0.1693922, 9.59411, 4.815316, -0.9998356, 0.0002001227, 0.01809937, -0.001117095, 0, 0, 0, 0, 0, 0
0.4319938, 0.1869867, 10.307, 2.216522, 0.4831365, -0.5759481, 0.466945, -0.465645, 0.1646252, 9.594088, 4.813452, -0.9997778, -0.002610992, 0.02084327, 0.001798817, 0, 0, 0, 0, 0, 0
