sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 3/11/2021 11:20:13 AM, Stick, -0.453405, 0.8719323, 0.5206779, 0.7071002, 0.003084606, 0.003084606, 0.7071002, 0.2734974, 1.357995, 0.4565829, 0.9999906, 0, 0.004362293, 0, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0219109, -0.1030656, 0.8997113, 0.1912979, 0.9017251, 0.2556119, 0.2883335, -0.1960057, -0.450386, 0.8681118, 0.5210218, 0.7071046, 0.001758258, 0.001758258, 0.7071046, 0, 0, 2.199706, 0, 0, 0
0.0485357, -0.1059086, 0.9358644, 0.1435417, 0.864735, 0.3133376, 0.3553837, -0.1665993, -0.4503846, 0.8716712, 0.52111, 0.7071669, 0.00146601, 0.001598046, 0.7070435, 0, 0, 0.5132052, 0, 0, 0
0.0754688, -0.07834624, 0.9470659, 0.1002071, 0.8562762, 0.3242803, 0.3906771, -0.09489402, -0.4510472, 0.871784, 0.521015, 0.7069031, 0.002795474, 0.002704491, 0.7072998, 0, 0, 0.5022411, 0, 0, 0
0.0998283, -0.09384191, 0.9734553, 0.07360646, 0.8297828, 0.3586727, 0.4184391, -0.08788221, -0.450634, 0.8716593, 0.5210303, 0.7069381, 0.003863305, 0.003770925, 0.7072548, 0, 0, 0.5845718, 0, 0, 0
0.1261493, -0.08861741, 0.9763107, 0.06044705, 0.8348824, 0.3510536, 0.4167895, -0.07758553, -0.4506837, 0.8717458, 0.5210752, 0.7071117, 0.005097263, 0.005101156, 0.7070652, 0, 0, 0.6723639, 0, 0, 0
0.1564696, -0.03998227, 0.9251274, 0.06743778, 0.8896781, 0.2722155, 0.3627606, -0.05269216, -0.4510556, 0.8724371, 0.5207399, 0.7071302, 0.005886628, 0.005903414, 0.7070343, 0, 0, 0.7423133, 0, 0, 0
0.183002, -0.1135381, 0.9471132, 0.1316196, 0.8600028, 0.2357034, 0.4086355, -0.1945668, -0.450616, 0.871728, 0.5209033, 0.7070697, 0.007323391, 0.007320401, 0.7070681, 0, 0, 0.8311589, 0, 0, 0
0.2087694, -0.06048997, 0.9921098, 0.01999165, 0.8286045, 0.4028277, 0.388059, -0.02355742, -0.4509582, 0.8719353, 0.5209881, 0.7070078, 0.009415943, 0.008923343, 0.7070868, 0, 0, 0.8627816, 0, 0, 0
0.2330947, -0.04908676, 0.9761676, 0.02452695, 0.8493655, 0.3763106, 0.3689337, -0.02926534, -0.4509441, 0.8720201, 0.5209653, 0.7070572, 0.009604735, 0.009331631, 0.7070296, 0, 0, 0.8772562, 0, 0, 0
0.2573183, -0.01616665, 0.9235327, 0.04755394, 0.9120262, 0.2820756, 0.2936795, -0.04892863, -0.4509799, 0.8721316, 0.5210751, 0.7070617, 0.009565158, 0.009613023, 0.7070219, 0, 0, 0.9010633, 0, 0, 0
0.2940599, -0.03481367, 0.9132787, 0.0705916, 0.8956496, 0.2565437, 0.3581716, -0.06091255, -0.450695, 0.8718205, 0.5207928, 0.7070249, 0.01102121, 0.01101609, 0.7070169, 0, 0, 0.9292296, 0, 0, 0
0.3249177, -0.0007493943, 0.9330979, 0.02402574, 0.8662412, 0.3203826, 0.3822676, 0.02920385, -0.4510003, 0.8716785, 0.5208077, 0.7070008, 0.0117959, 0.01177504, 0.7070165, 0, 0, 0.957716, 0, 0, 0
0.3501954, 0.008615509, 0.9558489, -0.003686234, 0.8460224, 0.3705923, 0.3780209, 0.06330737, -0.4510247, 0.8715565, 0.5206578, 0.7069852, 0.01284476, 0.0128372, 0.7069952, 0, 0, 0.9778582, 0, 0, 0
0.3749655, 0.0288469, 0.9743088, -0.02952047, 0.8211126, 0.4017937, 0.3881758, 0.1168571, -0.450587, 0.8714519, 0.5208041, 0.7069777, 0.01352783, 0.0135228, 0.706977, 0, 0, 0.9850888, 0, 0, 0
0.3989629, 0.03988662, 0.9841311, -0.04287343, 0.8009189, 0.417054, 0.4023179, 0.1507819, -0.4509619, 0.8711322, 0.5209078, 0.7069638, 0.01431193, 0.01430583, 0.7069602, 0, 0, 0.990718, 0, 0, 0
0.4231513, 0.0418772, 0.9825209, -0.04867373, 0.8024853, 0.4214661, 0.3973652, 0.1431244, -0.4508899, 0.8714884, 0.520936, 0.7069479, 0.01501318, 0.01500719, 0.706947, 0, 0, 0.9913421, 0, 0, 0
0.4473142, 0.03976751, 0.9624529, -0.04163927, 0.8289542, 0.3965224, 0.3818618, 0.09892684, -0.4510654, 0.8712566, 0.520652, 0.7069321, 0.0156771, 0.01566983, 0.706934, 0, 0, 0.9901021, 0, 0, 0
0.4755683, 0.04683116, 0.9475447, -0.03694509, 0.8436663, 0.3709789, 0.3778563, 0.08846712, -0.4508645, 0.8714869, 0.5207539, 0.7069069, 0.01678234, 0.01677627, 0.7069085, 0, 0, 0.9870858, 0, 0, 0
0.5005206, 0.05588777, 0.9398974, -0.03592327, 0.8578577, 0.3521328, 0.3660977, 0.07781461, -0.4509692, 0.8718109, 0.5208828, 0.7068889, 0.01754011, 0.01753322, 0.7068899, 0, 0, 0.9855406, 0, 0, 0
0.5239241, 0.05665533, 0.9352986, -0.03358807, 0.8690516, 0.3451415, 0.3491565, 0.0609628, -0.4511502, 0.8716764, 0.5207513, 0.706872, 0.01820143, 0.0181943, 0.7068731, 0, 0, 0.9825398, 0, 0, 0
0.5480813, 0.05246319, 0.9298199, -0.02856629, 0.8885536, 0.3340922, 0.3139819, 0.01643941, -0.4511767, 0.8717592, 0.5207053, 0.7068537, 0.01889998, 0.01889324, 0.7068549, 0, 0, 0.9807885, 0, 0, 0
0.5734537, 0.02742305, 0.921143, -0.009529456, 0.9109553, 0.2966978, 0.2749352, -0.08088066, -0.4510566, 0.8720028, 0.5206801, 0.7068243, 0.01997336, 0.01996648, 0.7068251, 0, 0, 0.9810274, 0, 0, 0
0.5980414, 0.0336567, 0.9069692, 0.007002309, 0.9218713, 0.2509763, 0.2833935, -0.08277984, -0.451154, 0.8720665, 0.5204659, 0.7068051, 0.02064102, 0.02063421, 0.7068061, 0, 0, 1.002738, 0, 0, 0
0.6264868, 0.03420313, 0.9047748, 0.01201247, 0.9208037, 0.2396482, 0.2944273, -0.08945364, -0.4510892, 0.872256, 0.5204684, 0.7067726, 0.02171901, 0.02171334, 0.706774, 0, 0, 1.008906, 0, 0, 0
0.6521549, 0.02899614, 0.906051, 0.01381537, 0.9264136, 0.2333428, 0.2717642, -0.1159878, -0.4512832, 0.872123, 0.5205733, 0.706751, 0.02241476, 0.02240812, 0.7067521, 0, 0, 1.015467, 0, 0, 0
0.6768586, 0.02459222, 0.9039293, 0.02193858, 0.9308249, 0.2154834, 0.2596428, -0.1404195, -0.4512925, 0.8721268, 0.5207185, 0.7067263, 0.02318689, 0.02317984, 0.706727, 0, 0, 1.018437, 0, 0, 0
0.7014887, 0.01821764, 0.9040961, 0.0288405, 0.9347723, 0.1981584, 0.2436688, -0.1660104, -0.4514353, 0.8723719, 0.5204933, 0.7067052, 0.02381179, 0.023805, 0.7067066, 0, 0, 1.021819, 0, 0, 0
0.7254937, 0.03107145, 0.9053571, 0.01042347, 0.9333193, 0.221901, 0.2439541, -0.1419906, -0.4512703, 0.8721836, 0.5202783, 0.7066824, 0.02447716, 0.02447058, 0.7066839, 0, 0, 1.023784, 0, 0, 0
0.7496631, 0.03404775, 0.9174725, -0.01810718, 0.9249601, 0.2600514, 0.2410434, -0.1368217, -0.4512497, 0.8723462, 0.5202733, 0.7066439, 0.02557194, 0.02556604, 0.7066448, 0, 0, 1.024075, 0, 0, 0
0.7813332, 0.03499985, 0.9195621, -0.01746057, 0.9282923, 0.2549592, 0.2307663, -0.1414783, -0.4512396, 0.8725631, 0.5203774, 0.7066159, 0.02634264, 0.02633621, 0.7066163, 0, 0, 1.021853, 0, 0, 0
0.8057661, 0.03561723, 0.916373, -0.01229271, 0.9377056, 0.2336537, 0.2001036, -0.1614701, -0.4512939, 0.8728313, 0.5205096, 0.7065749, 0.02741119, 0.02740468, 0.7065759, 0, 0, 1.020274, 0, 0, 0
0.829886, 0.03467363, 0.9088827, 0.009179577, 0.9521158, 0.1757114, 0.1588196, -0.1933325, -0.4512632, 0.8725336, 0.5203288, 0.7065467, 0.02812595, 0.02811926, 0.7065479, 0, 0, 1.020548, 0, 0, 0
0.8543406, 0.03468017, 0.9088748, 0.009199217, 0.9521176, 0.1756846, 0.1588306, -0.1933387, -0.4512671, 0.8725336, 0.5203152, 0.7065186, 0.02882106, 0.02881557, 0.70652, 0, 0, 1.022933, 0, 0, 0
0.8781566, 0.03685275, 0.9103032, 0.004375219, 0.9400324, 0.1937834, 0.2168455, -0.1782291, -0.4515489, 0.8725064, 0.5202661, 0.7064903, 0.02951617, 0.02950963, 0.7064911, 0, 0, 1.022935, 0, 0, 0
0.9109368, 0.06544277, 0.8872176, 0.01268231, 0.9306548, 0.1695543, 0.3047443, -0.1107425, -0.451272, 0.8723414, 0.5205401, 0.706443, 0.03062546, 0.03061941, 0.7064439, 0, 0, 1.027114, 0, 0, 0
0.9488595, 0.0420799, 0.90299, 0.004577525, 0.8753623, 0.2274685, 0.4143794, -0.1014339, -0.4512745, 0.8725474, 0.5205735, 0.7063847, 0.03194287, 0.03193767, 0.7063856, 0, 0, 1.034583, 0, 0, 0
0.976893, 0.05348207, 0.8900228, 0.01888566, 0.9183191, 0.1705729, 0.3301381, -0.1363968, -0.4513315, 0.8729274, 0.5204835, 0.7063528, 0.03264188, 0.03263515, 0.7063535, 0, 0, 1.035749, 0, 0, 0
1.011814, 0.06781875, 0.8806763, 0.02986981, 0.935115, 0.1285059, 0.302844, -0.1316492, -0.4514548, 0.8723555, 0.5202007, 0.7063017, 0.03372628, 0.03371944, 0.7063028, 0, 0, 1.040893, 0, 0, 0
1.044688, 0.08044165, 0.8724577, 0.03950025, 0.9420989, 0.09891924, 0.2989591, -0.1152744, -0.4513658, 0.8722064, 0.5202221, 0.7062497, 0.03479829, 0.03479176, 0.7062507, 0, 0, 1.045788, 0, 0, 0
1.077128, 0.080919, 0.8807951, 0.0001204312, 0.9373036, 0.1633153, 0.2919397, -0.09778333, -0.4517206, 0.8727458, 0.5204837, 0.7061955, 0.03588457, 0.03587823, 0.7061962, 0, 0, 1.048604, 0, 0, 0
1.115083, 0.08838284, 0.8860235, -0.0256635, 0.9254987, 0.2120242, 0.3056937, -0.07105988, -0.4513974, 0.8728149, 0.520851, 0.7061228, 0.03728797, 0.03728198, 0.7061235, 0, 0, 1.048895, 0, 0, 0
1.14375, 0.05151884, 0.8942107, -0.002238393, 0.9129798, 0.1939885, 0.3328373, -0.1343714, -0.4514537, 0.8725994, 0.5204967, 0.7060856, 0.03798821, 0.03798118, 0.7060861, 0, 0, 1.046337, 0, 0, 0
1.176956, 0.06154066, 0.9038136, -0.02679567, 0.9257592, 0.2161201, 0.2831196, -0.126907, -0.4514451, 0.8730261, 0.520161, 0.7060324, 0.0389617, 0.03895585, 0.706033, 0, 0, 1.046629, 0, 0, 0
1.211684, 0.05991255, 0.9002773, -0.01894362, 0.9314039, 0.1974181, 0.2720399, -0.1396689, -0.4515719, 0.8728619, 0.5198745, 0.7059772, 0.03994668, 0.03993994, 0.7059782, 0, 0, 1.047051, 0, 0, 0
1.24438, 0.07471384, 0.8923426, -0.03772431, 0.925833, 0.2292116, 0.2851336, -0.09483789, -0.451555, 0.8726017, 0.5203043, 0.7059122, 0.04108278, 0.04107574, 0.7059129, 0, 0, 1.048394, 0, 0, 0
1.280704, 0.06608194, 0.9116737, -0.05779921, 0.9157631, 0.2668994, 0.278618, -0.1118695, -0.4513891, 0.8726008, 0.5200933, 0.7058567, 0.04202475, 0.04201879, 0.7058575, 0, 0, 1.048081, 0, 0, 0
1.310181, 0.0644342, 0.891682, -0.02483286, 0.9244449, 0.2043824, 0.2976706, -0.1225629, -0.4516471, 0.8731247, 0.5202784, 0.7057904, 0.04312398, 0.04311773, 0.7057912, 0, 0, 1.046031, 0, 0, 0
1.343563, 0.06789944, 0.894839, -0.03950715, 0.9196647, 0.2278778, 0.3001032, -0.1105741, -0.4516464, 0.8726433, 0.5198891, 0.7057279, 0.04413645, 0.04412993, 0.7057286, 0, 0, 1.049625, 0, 0, 0
1.377556, 0.07092151, 0.89296, -0.03669723, 0.9196208, 0.2207304, 0.3079923, -0.1035203, -0.4516045, 0.8726048, 0.5201257, 0.7056597, 0.04520982, 0.04520355, 0.7056608, 0, 0, 1.051861, 0, 0, 0
1.411866, 0.06791735, 0.8881471, -0.01966281, 0.9178226, 0.199067, 0.3239943, -0.1140256, -0.4515046, 0.8728898, 0.5202709, 0.7055897, 0.04629406, 0.04628808, 0.7055902, 0, 0, 1.054145, 0, 0, 0
1.448076, 0.08871741, 0.8769258, -0.0226231, 0.9319738, 0.1816775, 0.3017625, -0.08577824, -0.4515211, 0.8725119, 0.5202103, 0.7055195, 0.04735148, 0.04734451, 0.7055201, 0, 0, 1.056763, 0, 0, 0
1.4769, 0.09599191, 0.875186, -0.02924763, 0.9364599, 0.183706, 0.2897204, -0.07319358, -0.4515975, 0.8723474, 0.5199379, 0.7054476, 0.04840641, 0.04840009, 0.7054488, 0, 0, 1.060409, 0, 0, 0
1.510651, 0.1124725, 0.8742136, -0.04558696, 0.9337795, 0.2033407, 0.2922534, -0.03600787, -0.451891, 0.8727431, 0.5197828, 0.7053738, 0.04947492, 0.04946867, 0.7053744, 0, 0, 1.06197, 0, 0, 0
1.543342, 0.1177736, 0.8769729, -0.05699168, 0.934047, 0.2224871, 0.2783187, -0.0243828, -0.451905, 0.8726845, 0.5199008, 0.7052995, 0.05052395, 0.05051738, 0.7053, 0, 0, 1.061627, 0, 0, 0
1.568708, 0.1228365, 0.8774608, -0.06131613, 0.9323606, 0.2283615, 0.280038, -0.01154999, -0.4518958, 0.87257, 0.5199964, 0.7052469, 0.05125003, 0.05124361, 0.7052478, 0, 0, 1.059831, 0, 0, 0
1.596343, 0.1245248, 0.8758585, -0.06078959, 0.9331852, 0.22628, 0.2791095, -0.007791072, -0.4516913, 0.8726664, 0.5199202, 0.7051706, 0.05229184, 0.05228597, 0.705171, 0, 0, 1.058376, 0, 0, 0
1.622752, 0.1276578, 0.8788034, -0.06899962, 0.9336154, 0.2376365, 0.2681217, -0.001458377, -0.4517565, 0.8729982, 0.5200529, 0.7051148, 0.05303792, 0.0530314, 0.7051156, 0, 0, 1.058649, 0, 0, 0
1.646662, 0.1273136, 0.8801204, -0.07465415, 0.9343883, 0.2446399, 0.2589583, -0.003238931, -0.4518219, 0.8731928, 0.5199794, 0.7050694, 0.05363885, 0.0536322, 0.7050701, 0, 0, 1.058654, 0, 0, 0
1.670883, 0.1226206, 0.8769771, -0.06823389, 0.9345016, 0.2349676, 0.2671735, -0.01074184, -0.4518782, 0.8736425, 0.5200555, 0.7049847, 0.05473752, 0.05473066, 0.7049858, 0, 0, 1.058855, 0, 0, 0
1.695683, 0.1118789, 0.86303, -0.03962386, 0.9534972, 0.1797207, 0.2347349, -0.05867793, -0.4519942, 0.8735304, 0.5198872, 0.7049317, 0.05541777, 0.05541114, 0.7049325, 0, 0, 1.05984, 0, 0, 0
1.719721, 0.1075787, 0.861357, -0.03148825, 0.9590467, 0.1626949, 0.219592, -0.07442576, -0.4518707, 0.8729682, 0.5199208, 0.704877, 0.05611033, 0.05610383, 0.7048777, 0, 0, 1.06408, 0, 0, 0
1.748, 0.1127764, 0.8657137, -0.04495261, 0.9516996, 0.1886362, 0.2361732, -0.05391026, -0.4518716, 0.872967, 0.5198917, 0.7048225, 0.05679058, 0.05678408, 0.7048232, 0, 0, 1.07081, 0, 0, 0
1.772604, 0.1201887, 0.8633434, -0.04616078, 0.9558692, 0.1861141, 0.2224905, -0.04662406, -0.4518372, 0.8729191, 0.5198507, 0.7047372, 0.05784062, 0.05783457, 0.7047377, 0, 0, 1.074671, 0, 0, 0
1.797431, 0.1205675, 0.8625606, -0.04468778, 0.9540966, 0.1853738, 0.2311668, -0.04356928, -0.4518073, 0.8729801, 0.5198836, 0.7046812, 0.05851949, 0.05851246, 0.7046816, 0, 0, 1.075433, 0, 0, 0
1.822639, 0.1190266, 0.8505603, -0.0128873, 0.9645102, 0.1296376, 0.2219995, -0.06025347, -0.4519717, 0.8732996, 0.5196752, 0.7046301, 0.05912686, 0.05911957, 0.7046313, 0, 0, 1.075652, 0, 0, 0
1.84634, 0.1258165, 0.8439917, 0.005291313, 0.9727407, 0.09421217, 0.203351, -0.05956437, -0.4519656, 0.8732155, 0.5195321, 0.7045695, 0.05984546, 0.05983815, 0.7045707, 0, 0, 1.078485, 0, 0, 0
1.870706, 0.1286609, 0.8464445, -0.002546407, 0.9722279, 0.1062739, 0.2015443, -0.05346762, -0.4519606, 0.8732963, 0.5194628, 0.704482, 0.06086699, 0.06086087, 0.7044831, 0, 0, 1.083166, 0, 0, 0
1.899225, 0.1233851, 0.8517199, -0.01526956, 0.9683724, 0.1327631, 0.2026034, -0.05983925, -0.4517991, 0.8730531, 0.5198179, 0.7044165, 0.06162521, 0.06161855, 0.7044169, 0, 0, 1.087648, 0, 0, 0
1.923601, 0.1149955, 0.850464, -0.004313886, 0.9670321, 0.1197407, 0.2108781, -0.07772715, -0.4518864, 0.8733029, 0.5195689, 0.7043727, 0.06193184, 0.06196475, 0.7044034, 0, 0, 1.088669, 0, 0, 0
1.947789, 0.1138143, 0.849003, 0.01045434, 0.9714699, 0.09107296, 0.2008375, -0.08727214, -0.4519274, 0.8728514, 0.5194861, 0.7043675, 0.06196418, 0.06202696, 0.7044002, 0, 0, 1.0896, 0, 0, 0
1.971486, 0.1032536, 0.8501531, 0.01783846, 0.9669733, 0.08259244, 0.2170558, -0.1050138, -0.4518201, 0.8728407, 0.5195882, 0.7043816, 0.06204735, 0.06203118, 0.7043784, 0, 0, 1.091423, 0, 0, 0
1.996444, 0.1111677, 0.8648205, -0.0430079, 0.9491547, 0.1841242, 0.2490089, -0.05655298, -0.451883, 0.8728719, 0.5199578, 0.7043896, 0.06194995, 0.06192902, 0.704388, 0, 0, 1.099299, 0, 0, 0
2.020954, 0.1385677, 0.8941717, -0.1074529, 0.9194579, 0.2909604, 0.2632321, 0.02546141, -0.4520048, 0.8729687, 0.5199759, 0.7043968, 0.06183772, 0.06182962, 0.7043993, 0, 0, 1.095775, 0, 0, 0
2.050072, 0.1231685, 0.8880765, -0.09434886, 0.9330561, 0.2721475, 0.2340924, -0.02330266, -0.4521588, 0.8727625, 0.5194733, 0.7044166, 0.06161971, 0.06161257, 0.7044178, 0, 0, 1.091557, 0, 0, 0
2.074442, 0.08466493, 0.8683675, -0.01307554, 0.9411689, 0.1567633, 0.2768562, -0.1139167, -0.4520359, 0.8727968, 0.5194932, 0.7044244, 0.0615344, 0.06152633, 0.7044248, 0, 0, 1.0779, 0, 0, 0
2.098458, 0.0851911, 0.8618745, 0.006326262, 0.9457639, 0.1193837, 0.2752518, -0.1245578, -0.4518982, 0.8725352, 0.519893, 0.7044255, 0.0615213, 0.06151324, 0.7044261, 0, 0, 1.072925, 0, 0, 0
2.122912, 0.09339967, 0.8617377, 0.008885894, 0.9527428, 0.1078093, 0.2579543, -0.1188194, -0.4520393, 0.8728473, 0.5200207, 0.7044299, 0.06146756, 0.06145965, 0.7044311, 0, 0, 1.0768, 0, 0, 0
2.147803, 0.09226891, 0.8573263, 0.02454175, 0.9549809, 0.08247793, 0.254706, -0.1278039, -0.4519863, 0.8729663, 0.5197598, 0.7044479, 0.06125984, 0.06125197, 0.7044493, 0, 0, 1.071488, 0, 0, 0
2.172987, 0.08408138, 0.8594451, 0.02369389, 0.9529778, 0.08953096, 0.2513494, -0.1436699, -0.4520143, 0.8730009, 0.5196031, 0.7044622, 0.06109769, 0.06108972, 0.7044632, 0, 0, 1.046545, 0, 0, 0
2.202531, 0.07804583, 0.8716071, -0.01259385, 0.9493477, 0.1513224, 0.2338754, -0.1454051, -0.4518934, 0.8726549, 0.5199348, 0.7044625, 0.0610926, 0.06108469, 0.7044637, 0, 0, 1.048608, 0, 0, 0
2.226541, 0.07805774, 0.8715973, -0.01256908, 0.9493497, 0.1513043, 0.2338826, -0.1453998, -0.4518922, 0.8726549, 0.5199377, 0.7044755, 0.06094192, 0.0609338, 0.7044767, 0, 0, 1.047951, 0, 0, 0
2.251821, 0.07912162, 0.8745704, -0.03403485, 0.950523, 0.1766467, 0.2100919, -0.1454776, -0.4520161, 0.8728715, 0.5197064, 0.7044917, 0.06075512, 0.06074705, 0.7044929, 0, 0, 1.048417, 0, 0, 0
2.276829, 0.07881582, 0.8759211, -0.0404049, 0.9464105, 0.1869888, 0.2201202, -0.1445325, -0.451995, 0.8729982, 0.5193061, 0.704506, 0.06058901, 0.06058108, 0.7045071, 0, 0, 1.046176, 0, 0, 0
2.335966, 0.07448724, 0.8809099, -0.04337694, 0.9427392, 0.1980605, 0.2187889, -0.1553909, -0.4519755, 0.8733597, 0.5197164, 0.7045186, 0.06044269, 0.06043441, 0.7045197, 0, 0, 1.044669, 0, 0, 0
2.375426, 0.07820006, 0.860399, 0.03223264, 0.9494573, 0.07373303, 0.2495707, -0.1755248, -0.4523118, 0.8732756, 0.5196968, 0.7045341, 0.06026056, 0.06025259, 0.7045354, 0, 0, 1.044212, 0, 0, 0
2.400833, 0.0867499, 0.8529191, 0.03599633, 0.9546431, 0.0636425, 0.2412677, -0.1624693, -0.4522575, 0.8732941, 0.5197012, 0.7045444, 0.0601415, 0.06013355, 0.7045454, 0, 0, 1.045344, 0, 0, 0
2.424874, 0.08675839, 0.8529153, 0.03601258, 0.9546444, 0.06362963, 0.2412725, -0.1624591, -0.4522567, 0.8732941, 0.5197032, 0.7045533, 0.06004012, 0.06003235, 0.7045538, 0, 0, 1.049625, 0, 0, 0
2.44888, 0.1069191, 0.8395133, 0.0580807, 0.965623, 0.009963676, 0.2190578, -0.1395943, -0.4522651, 0.8735843, 0.5196751, 0.7045592, 0.05996754, 0.05995983, 0.7045603, 0, 0, 1.049669, 0, 0, 0
2.477805, 0.1193927, 0.8377622, 0.06367104, 0.9691173, -0.004663721, 0.2135573, -0.1232202, -0.4521607, 0.87334, 0.5197267, 0.7045699, 0.05983924, 0.05983125, 0.7045713, 0, 0, 1.053749, 0, 0, 0
