sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 3/11/2021 11:20:15 AM, Cylinder, -0.1715999, 1.042808, 0.4991743, 0.9999899, 0, 0.004524757, 0, -0.3791734, 0.8545493, 0.4779351, -0.7070996, -0.003199486, -0.003199486, -0.7070996, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0236307, -0.2496556, 1.062504, 0.2141856, 0.5533202, -0.3040122, 0.6891511, -0.3556461, -0.1713987, 1.04275, 0.4993567, 0.9999902, 0, 0.004444593, 0, 0, 0, 0, 0, 0, 0
0.049049, -0.2456694, 1.060398, 0.2061677, 0.5516487, -0.3044572, 0.6928325, -0.350675, -0.1713123, 1.058421, 0.5011975, 0.9999548, 0.007067519, 0.006339967, 0.0007029113, 0, 0, 0, 0, 0, 0
0.07420409, -0.2432921, 1.059551, 0.1993325, 0.5486001, -0.3031917, 0.6965647, -0.3491567, -0.1710823, 1.061416, 0.5006421, 0.9999251, 0.004850383, 0.01119188, -0.001049411, 0, 0, 0, 0, 0, 0
0.09964439, -0.2401022, 1.058337, 0.1923886, 0.5452301, -0.3024276, 0.7005575, -0.3471038, -0.1720982, 1.061453, 0.4994784, 0.999905, -0.001917945, 0.01323581, 0.003314435, 0, 0, 0, 0, 0, 0
0.1393428, -0.2300773, 1.059017, 0.1786824, 0.5371736, -0.3025979, 0.7091693, -0.3419914, -0.1719594, 1.061625, 0.4993141, 0.9999603, -0.003410323, 0.007837772, 0.002552139, 0, 0, 0, 0, 0, 0
0.1692443, -0.2269669, 1.055849, 0.1728964, 0.5351529, -0.30136, 0.7126837, -0.3389331, -0.1720053, 1.061687, 0.5008945, 0.9999775, 0.006222936, 0.001493305, 0.00201455, 0, 0, 0, 0, 0, 0
0.1956742, -0.218622, 1.052711, 0.1603274, 0.5295134, -0.2984267, 0.7200222, -0.3348508, -0.1716032, 1.061565, 0.4996479, 0.9999992, -1.709355E-05, 0.0009168088, -0.0008443944, 0, 0, 0, 0, 0, 0
0.221799, -0.2133321, 1.050585, 0.1538722, 0.5262749, -0.298886, 0.7238525, -0.3312698, -0.1717122, 1.061646, 0.4999487, 0.9999766, -9.776637E-05, 0.006776094, -0.0009599117, 0, 0, 0, 0, 0, 0
0.2478382, -0.2078226, 1.049632, 0.1481771, 0.5251054, -0.2990679, 0.7258114, -0.3286651, -0.1715897, 1.061352, 0.5007895, 0.9998606, 0.007956428, 0.01465306, -0.001026379, 0, 0, 0, 0, 0, 0
0.2834808, -0.2057038, 1.04665, 0.1420214, 0.5237666, -0.2978487, 0.7283195, -0.3263517, -0.1706929, 1.061175, 0.4987429, 0.9999045, 0.002353754, 0.01290005, -0.00437597, 0, 0, 0, 0, 0, 0
0.31505, -0.1956208, 1.042059, 0.1289394, 0.5178265, -0.2951336, 0.7356663, -0.3217875, -0.1717576, 1.061388, 0.4969533, 0.999947, -0.004277831, 0.009369463, -0.0002239775, 0, 0, 0, 0, 0, 0
0.3433202, -0.1896365, 1.040426, 0.1221931, 0.5153199, -0.2940484, 0.7386427, -0.3199809, -0.1713457, 1.063192, 0.4945441, 0.9998276, -0.01565825, 0.009621918, -0.002669579, 0, 0, 0, 0, 0, 0
0.3699488, -0.1797151, 1.036541, 0.1088516, 0.513926, -0.2899085, 0.7428145, -0.3163223, -0.1706632, 1.06389, 0.4922485, 0.9995264, -0.02770073, 0.01163793, -0.006646363, 0, 0, 0, 0, 0, 0
0.397047, -0.173351, 1.034648, 0.1022554, 0.5127161, -0.2880037, 0.7452611, -0.3142644, -0.1697524, 1.064382, 0.4897135, 0.9990881, -0.03882821, 0.01428935, -0.01054573, 0, 0, 0, 0, 0, 0
0.4230033, -0.1666228, 1.033432, 0.09560397, 0.510237, -0.2865286, 0.747843, -0.3135132, -0.1655981, 1.062214, 0.4825876, 0.9987954, -0.02876119, 0.02621606, -0.02988813, 0, 0, 0, 0, 0, 0
