sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 3/11/2021 11:20:56 AM, Tripod, 0.2808288, 1.60973, 0.4675646, 0.5087414, 0.4940809, 0.5029222, 0.494101, -0.4540169, 1.285418, 0.5201246, 0.7070992, 0.003286556, 0.003286556, 0.7070992, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0650953, -0.1609395, 1.082048, 0.2966043, 0.645827, -0.2690972, 0.5866958, -0.4077773, 0.2812462, 1.609265, 0.4681148, 0.5088897, 0.4939351, 0.5027719, 0.4942467, 0, 0, 0, 0, 0, 0
0.0924672, -0.1570135, 1.044204, 0.293108, 0.6622611, -0.2516901, 0.5908278, -0.3859856, 0.2811527, 1.609638, 0.4688697, 0.5412804, 0.440565, 0.5534846, 0.454503, 0, 0, 0, 0, 0, 0
0.1195712, -0.1530211, 1.027915, 0.2906771, 0.6601974, -0.2412543, 0.6003175, -0.3815164, 0.2810908, 1.609477, 0.4688008, 0.5454796, 0.4376687, 0.5561019, 0.4490534, 0, 0, 0, 0, 514.9365, 131.8062
0.1524481, -0.1531333, 1.027995, 0.2910364, 0.6600978, -0.241392, 0.600201, -0.3817847, 0.2810943, 1.609478, 0.4687979, 0.5455749, 0.4382352, 0.5555333, 0.4490888, 0, 0, 0, 388.6992, 0, 102.6967
0.1860953, -0.144199, 1.022637, 0.2902463, 0.6498293, -0.2399672, 0.6105376, -0.3839032, 0.2812248, 1.609578, 0.4688244, 0.5471527, 0.43661, 0.5577375, 0.4460097, 0, 0, 72.90154, 0, 0, 19.17295
0.2136715, -0.1401053, 1.018396, 0.2887955, 0.6396531, -0.2337066, 0.6207604, -0.3884351, 0.2812182, 1.609657, 0.4689195, 0.5488899, 0.435293, 0.5592012, 0.4433212, 0, 0, 61.63482, 127.2398, 0, 0
0.2404981, -0.1348204, 1.018327, 0.2890117, 0.6360697, -0.2371528, 0.6226846, -0.3891502, 0.2812268, 1.609771, 0.4691114, 0.5502322, 0.4345568, 0.5600412, 0.4413151, 0, 0, 86.67443, 0, 0, 0
0.2663644, -0.1332734, 1.023095, 0.2878912, 0.6350283, -0.2386035, 0.6218956, -0.3912202, 0.2810726, 1.610041, 0.4693411, 0.5511962, 0.4342315, 0.5606545, 0.4396504, 0, 0, 1.257706, 67.32236, 0, 0
0.2927834, -0.1309962, 1.026779, 0.2865893, 0.6350218, -0.2420351, 0.6203738, -0.3915387, 0.2809617, 1.610122, 0.4693237, 0.5518399, 0.4342613, 0.5608925, 0.4385082, 0, 0, 0, 0, 0, 0
0.3233068, -0.1236359, 1.044118, 0.2879665, 0.6244693, -0.2531314, 0.620852, -0.4006311, 0.2810164, 1.610158, 0.4694816, 0.5522906, 0.4344971, 0.5608919, 0.4377074, 0, 0, 0, 0, 0, 0
