sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 3/11/2021 11:28:58 AM, Stick, -0.3729772, 0.8676539, 0.4853872, -0.7070975, 0.00362, 0.00362, -0.7070975, 0.3550099, 1.353716, 0.4350874, -0.999987, 0, 0.005119453, 0, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0237354, -0.05234531, 1.078467, 0.2740981, 0.6320333, -0.1786627, 0.5904208, -0.4690595, -0.3726653, 0.8669007, 0.4857056, -0.7070992, 0.003286201, 0.003286201, -0.7070992, 0, 0, 0, 0, 0, 0
0.0534635, -0.05303062, 1.066388, 0.2766664, 0.6315998, -0.1667216, 0.5969472, -0.4657677, -0.3725645, 0.8700315, 0.4860742, -0.7073402, 0.003492632, 0.003513577, -0.7068561, 0, 0, 0, 0, 0, 0
0.0793298, -0.05305125, 1.054799, 0.2751498, 0.6324817, -0.1576134, 0.6025319, -0.4605217, -0.3726084, 0.8701764, 0.4861429, -0.7068979, 0.002335439, 0.001937781, -0.7073092, 0, 0, 0, 0, 0, 0
0.1058666, -0.05263622, 1.048237, 0.275122, 0.6336131, -0.1550226, 0.6048934, -0.4567343, -0.3726729, 0.8700835, 0.485932, -0.7069713, 0.001442458, 0.001368657, -0.7072394, 0, 0, 0, 0, 0, 91.66154
0.137536, -0.05291218, 1.043858, 0.2749632, 0.6335381, -0.1523026, 0.6067089, -0.4553436, -0.3727515, 0.8699975, 0.4856319, -0.7071324, 0.0009206031, 0.001050582, -0.7070799, 0, 0, 0, 0, 39.01929, 89.82423
0.1653085, -0.05086835, 1.040494, 0.2737291, 0.6259369, -0.1431046, 0.6142702, -0.45869, -0.3727704, 0.8702788, 0.4857605, -0.7071413, 0.0007393546, 0.00079677, -0.7070715, 0, 0, 0, 0, 108.5274, 486.0999
0.1896825, -0.04786073, 1.042699, 0.2748221, 0.6164429, -0.1407312, 0.6206459, -0.463672, -0.3727807, 0.8702492, 0.4856758, -0.707105, 0.0004053237, 0.0003831524, -0.7071086, 0, 0, 0, 0, 0, 507.9012
0.2225343, -0.04517964, 1.046198, 0.2768381, 0.6093228, -0.1420468, 0.6246817, -0.4672487, -0.3726916, 0.8701739, 0.4856834, -0.7070982, 0.0002757856, 0.0002942923, -0.7071153, 0, 0, 0, 0, 0, 0
0.2467635, -0.04177316, 1.050695, 0.2773715, 0.6075847, -0.1433937, 0.6252775, -0.4683025, -0.3727843, 0.8701797, 0.4856021, -0.7071034, 0.0003675998, 0.000381348, -0.70711, 0, 0, 0, 0, 0.1484661, 0.1484661
0.2726507, -0.03995103, 1.057285, 0.2757273, 0.6065523, -0.14667, 0.6246316, -0.4694864, -0.3728714, 0.8702806, 0.4856871, -0.7071075, 0.000362251, 0.0003679055, -0.7071059, 0, 0, 0, 0, 0.00741905, 0
