sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 4/29/2021 11:27:28 AM, Cylinder, -2.472454, 7.77514, -10.38999, -0.7071066, -0.0005315424, -0.0005315424, -0.7071066, -0.6057883, 9.469469, -10.18475, 0.9999999, 0, 0.0007517145, 0, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0213697, -0.02308752, 9.499774, -12.16811, 0.5895748, -0.1128001, 0.5719088, -0.5591046, -2.47174, 7.775547, -10.39254, -0.7071066, -0.0005016059, -0.0005016059, -0.7071066, 0, 0, 0, 0, 0, 0
0.0464682, -0.1000481, 9.36529, -12.21951, 0.6117939, -0.1063688, 0.5648275, -0.5434738, -2.472453, 7.772295, -10.39058, -0.7071036, -0.003072128, 0.001941815, -0.7071007, 0, 0, 0, 0, 0, 160.6481
0.0689284, -0.2212619, 9.268931, -12.31061, 0.6355844, -0.08915, 0.5543215, -0.5299175, -2.472139, 7.765094, -10.3883, -0.7070847, -0.006534129, 0.005557001, -0.707077, 0, 0, 0, 0, 76.38459, 745.0956
0.0918371, -0.3341445, 9.26361, -12.39488, 0.649269, -0.08151935, 0.5406952, -0.5286332, -2.471691, 7.753729, -10.38579, -0.7070255, -0.01171783, 0.01070261, -0.70701, 0, 0, 0, 0, 5261.353, 332.9695
0.1135602, -0.3253621, 9.286797, -12.37877, 0.6392632, -0.08936082, 0.5481215, -0.5319023, -2.471262, 7.737427, -10.38323, -0.7069103, -0.017709, 0.01662251, -0.7068861, 0, 0, 0, 8.451985, 5882.827, 3.896188
0.1348663, -0.2768411, 9.348927, -12.33624, 0.6185141, -0.09333624, 0.5604902, -0.5427518, -2.471653, 7.735709, -10.3811, -0.7067967, -0.02205895, 0.02098458, -0.7067614, 0, 0, 0, 0, 962.1657, 738.3506
0.161257, -0.2692502, 9.376263, -12.35417, 0.6058077, -0.09000634, 0.5684284, -0.5493497, -2.472219, 7.735147, -10.37782, -0.7065455, -0.02936618, 0.02817021, -0.7064967, 0, 0, 0, 0, 6663.423, 0
0.1854351, -0.2083973, 9.432667, -12.32923, 0.5901577, -0.102348, 0.5775191, -0.5547166, -2.473182, 7.735069, -10.37472, -0.7063212, -0.03472933, 0.03333604, -0.7062529, 0, 0, 0, 0, 7271.306, 291.0135
0.2066429, -0.2455477, 9.376447, -12.38862, 0.6041396, -0.09939998, 0.5684247, -0.549571, -2.473053, 7.734273, -10.36924, -0.7060266, -0.04033964, 0.03909095, -0.7059541, 0, 0, 0, 0, 5024.363, 0
0.2277244, -0.2556061, 9.36935, -12.41184, 0.6150017, -0.1042512, 0.5600742, -0.5451804, -2.473119, 7.733887, -10.36218, -0.7056586, -0.04651515, 0.0452529, -0.7055741, 0, 0, 0, 0, 7611.547, 428.1598
0.2498339, -0.2095468, 9.387286, -12.39273, 0.6175717, -0.1124168, 0.5590168, -0.5417271, -2.472216, 7.732951, -10.35825, -0.7051969, -0.05326115, 0.0519591, -0.7050964, 0, 0, 0, 0, 7625.402, 407.1261
0.271553, -0.1064358, 9.424494, -12.34514, 0.6107897, -0.1236915, 0.5675918, -0.5380297, -2.471547, 7.734907, -10.35443, -0.7047153, -0.05945602, 0.05815347, -0.7045988, 0, 0, 0, 0, 7828.692, 543.3867
0.2951771, -0.02221915, 9.476439, -12.31217, 0.6102749, -0.1384483, 0.5678394, -0.5347478, -2.471954, 7.736338, -10.35042, -0.7042387, -0.06487731, 0.06364862, -0.704122, 0, 0, 0, 0, 4728.548, 0
0.3192886, 0.03015997, 9.516601, -12.30608, 0.6155162, -0.1513283, 0.5647278, -0.5285094, -2.473345, 7.736941, -10.34607, -0.7037833, -0.06977254, 0.06849949, -0.7036539, 0, 0, 0, 0, 8387.116, 0
0.3405544, 0.0817658, 9.548485, -12.30176, 0.6188941, -0.1617195, 0.5629745, -0.5233323, -2.474059, 7.738433, -10.34183, -0.7033484, -0.07414845, 0.07282602, -0.7032065, 0, 0, 0, 0, 7508.655, 0
0.3617476, 0.1129642, 9.576316, -12.30607, 0.6197367, -0.1659943, 0.5628821, -0.5210913, -2.472907, 7.738426, -10.34064, -0.7033018, -0.07538414, 0.07404868, -0.702994, 0, 0, 0, 0, 6453.164, 0
0.3826261, 0.1277689, 9.595658, -12.32084, 0.6242061, -0.1711075, 0.5606849, -0.5164508, -2.472406, 7.735312, -10.34159, -0.7032295, -0.07526828, 0.07397132, -0.703087, 0, 0, 0, 0, 6850.781, 0
0.4036023, 0.1344048, 9.559194, -12.33236, 0.6243637, -0.1705788, 0.561655, -0.51538, -2.472407, 7.735255, -10.34202, -0.7032881, -0.07469804, 0.07340355, -0.7031488, 0, 0, 0, 0, 7421.868, 0
0.4244104, 0.1391576, 9.647153, -12.32848, 0.6267674, -0.1777265, 0.5573951, -0.5146714, -2.472117, 7.735035, -10.34166, -0.7033399, -0.07427692, 0.07290437, -0.7031934, 0, 0, 0, 0, 8256.706, 493.6404
0.444658, 0.1400426, 9.702273, -12.34258, 0.6327727, -0.1836378, 0.553044, -0.5099199, -2.471857, 7.734633, -10.34225, -0.7034659, -0.07295809, 0.07167914, -0.7033314, 0, 0, 0, 0, 4767.454, 0
0.4657166, 0.1335414, 9.766796, -12.35458, 0.6336741, -0.1844724, 0.5527164, -0.5088532, -2.472781, 7.733449, -10.34445, -0.7036408, -0.07118043, 0.0699425, -0.7035134, 0, 0, 0, 0, 6921.653, 0
0.4903638, 0.1208119, 9.815119, -12.374, 0.6370772, -0.1864744, 0.5505207, -0.5062481, -2.473139, 7.732891, -10.34656, -0.7038609, -0.06890355, 0.06769307, -0.7037399, 0, 0, 0, 0, 6831.266, 0
