sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 4/29/2021 11:27:36 AM, Cylinder, 1.243037, 11.49034, -10.39859, -0.7071066, -0.0006131245, -0.0006131245, -0.7071066, 3.109751, 13.18467, -10.19378, 0.9999998, 0, 0.000867089, 0, 1

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0218604, -0.1982966, 9.646831, -12.34142, 0.5784609, -0.1794396, 0.6196665, -0.4991973, 1.241137, 11.49046, -10.39526, -0.7071066, -0.0004827672, -0.0004827672, -0.7071066, 0, 0, 0, 0, 0, 0
0.0457933, -0.1855663, 9.619767, -12.32867, 0.5776013, -0.1778008, 0.6193112, -0.5012161, 1.25056, 11.46072, -10.38615, -0.7112207, -0.01227423, 0.01082633, -0.7027783, 0, 0, 0, 0, 0, 0
0.07376041, -0.1702894, 9.627828, -12.31347, 0.5736773, -0.1767998, 0.6198137, -0.5054377, 1.299247, 11.4617, -10.37776, -0.7131071, 0.005637765, -0.007922857, -0.7009878, 0, 0, 0, 0, 0, 233.5165
0.09978501, -0.1525537, 9.606436, -12.31152, 0.575376, -0.1779263, 0.6147048, -0.5093356, 1.298364, 11.46171, -10.38547, -0.7108945, 0.01587571, -0.01493752, -0.7029607, 0, 0, 0, 0, 0, 1.120982
0.1234928, -0.1683487, 9.626335, -12.3182, 0.573114, -0.1746186, 0.6143913, -0.5133923, 1.300358, 11.46929, -10.39028, -0.7104401, 0.02251531, -0.02263185, -0.7030333, 0, 0, 0, 0, 0, 428.183
0.147739, -0.165578, 9.631458, -12.31749, 0.5733649, -0.173401, 0.6135106, -0.5145771, 1.302078, 11.47017, -10.3867, -0.7112165, 0.02217251, -0.02027064, -0.7023309, 0, 0, 0, 0, 0, 0
0.1714777, -0.160336, 9.625518, -12.31807, 0.5741518, -0.1742537, 0.6135392, -0.5133762, 1.302659, 11.46907, -10.38618, -0.7110941, 0.01931079, -0.01713418, -0.7026228, 0, 0, 0, 0, 0, 0
0.194155, -0.1522076, 9.617558, -12.32175, 0.5759054, -0.1745294, 0.6136055, -0.5112345, 1.299917, 11.46399, -10.38498, -0.7111015, 0.0166837, -0.0121537, -0.7027863, 0, 0, 0, 0, 0, 0
0.2177344, -0.1343367, 9.61424, -12.33125, 0.578851, -0.1740402, 0.6126844, -0.5091751, 1.299343, 11.46248, -10.38232, -0.7108262, 0.01247077, -0.006212859, -0.7032297, 0, 0, 0, 0, 0, 12.30417
0.2450019, -0.113251, 9.609303, -12.34754, 0.5826404, -0.1732249, 0.612062, -0.5058689, 1.299332, 11.45783, -10.38187, -0.7106305, 0.007069036, 7.188326E-05, -0.70353, 0, 0, 0, 0, 0, 245.7348
0.2730755, -0.09343944, 9.607959, -12.36176, 0.5861577, -0.1721257, 0.6111329, -0.5032976, 1.294661, 11.45436, -10.37951, -0.7071795, 0.006448701, -0.002580672, -0.7069999, 0, 0, 0, 0, 0, 0
0.3041388, -0.08326381, 9.618506, -12.37174, 0.5878385, -0.1702099, 0.6122385, -0.5006382, 1.298741, 11.45246, -10.37504, -0.7072548, 0.004614993, -0.001394555, -0.7069424, 0, 0, 0, 0, 0, 719.8593
0.326976, -0.08115439, 9.657524, -12.39994, 0.5908904, -0.1649856, 0.6155398, -0.4947112, 1.293562, 11.45756, -10.36006, -0.7073957, 0.01564859, 0.002844557, -0.7066389, 0, 0, 0, 0, 0, 0
0.3523639, -0.06685245, 9.648097, -12.42919, 0.5978385, -0.1695148, 0.6138951, -0.4868131, 1.2892, 11.46462, -10.38279, -0.7003372, -0.001973092, 0.01212372, -0.7137065, 0, 0, 0, 0, 0, 0
0.3759855, -0.05856241, 9.697875, -12.4292, 0.6087319, -0.1594172, 0.6136523, -0.4769304, 1.278575, 11.48171, -10.3192, -0.7128787, 0.02283383, -0.02108455, -0.7005985, 0, 0, 0, 0, 0, 0
0.40089, -0.03826104, 9.790701, -12.43259, 0.5990052, -0.1984615, 0.5967669, -0.4956562, 1.230359, 11.77652, -10.50559, -0.6865979, 0.0228217, -0.0005307346, -0.726679, 0, 0, 0, 0, 0, 0
0.4227003, 0.01162228, 9.939221, -12.40577, 0.5707752, -0.2119615, 0.6021134, -0.5164763, 1.443614, 11.95817, -10.63455, -0.6998444, 0.0220257, -0.03394832, -0.7131482, 0, 0, 0, 0, 0, 0
0.4447379, 0.05990003, 10.08952, -12.37796, 0.5572585, -0.22707, 0.6003059, -0.5268161, 1.549208, 12.16217, -10.72048, -0.7012315, 0.02591527, -0.0562303, -0.7102401, 0, 0, 0, 0, 0, 0
0.4658787, 0.0823072, 10.20564, -12.35617, 0.5548314, -0.2384073, 0.5965776, -0.5286013, 1.565265, 12.32638, -10.7551, -0.6968219, 0.02967548, -0.06661996, -0.7135268, 0, 0, 0, 0, 0, 0
0.4868298, 0.09584223, 10.3065, -12.33598, 0.5547395, -0.2471997, 0.5938628, -0.5277153, 1.562423, 12.46424, -10.76988, -0.691864, 0.03172703, -0.07295881, -0.7176313, 0, 0, 0, 0, 0, 0
0.5164603, 0.09982317, 10.40069, -12.31885, 0.5554976, -0.2546554, 0.5913978, -0.5261385, 1.546695, 12.59021, -10.77879, -0.6869956, 0.03337011, -0.07758796, -0.7217366, 0, 0, 0, 0, 0, 0
0.5380693, 0.1045587, 10.49302, -12.30517, 0.5526971, -0.2610781, 0.5906059, -0.526829, 1.55538, 12.70424, -10.80032, -0.6849301, 0.03384119, -0.08422218, -0.7229331, 0, 0, 0, 0, 0, 0
0.5621162, 0.1056409, 10.57734, -12.30181, 0.55046, -0.2669083, 0.5892989, -0.5277124, 1.557286, 12.80959, -10.82926, -0.682936, 0.03495899, -0.09013201, -0.724053, 0, 0, 0, 0, 0, 0
0.58384, 0.09423975, 10.65349, -12.30617, 0.5483641, -0.272322, 0.5876278, -0.5289907, 1.545924, 12.90613, -10.86493, -0.6811578, 0.03660962, -0.09572428, -0.7249281, 0, 0, 0, 0, 0, 0
0.6044399, 0.06645072, 10.71897, -12.3152, 0.548719, -0.2742414, 0.5864102, -0.5289824, 1.510842, 12.98138, -10.88182, -0.6798392, 0.03778732, -0.09695405, -0.7259414, 0, 0, 0, 0, 0, 0
0.6245403, 0.03652491, 10.78188, -12.32935, 0.5534335, -0.2843542, 0.5791578, -0.5267164, 1.425862, 13.09612, -10.92447, -0.6711883, 0.04403499, -0.1008561, -0.7330725, 0, 0, 0, 0, 0, 0
0.6458995, 0.005542248, 10.84107, -12.33948, 0.5525945, -0.2862344, 0.5787008, -0.5270813, 1.395193, 13.16171, -10.94587, -0.6705648, 0.04443854, -0.1028565, -0.7333409, 0, 0, 0, 0, 0, 0
0.66714, -0.03008587, 10.88903, -12.35123, 0.556765, -0.29013, 0.5751333, -0.5244606, 1.322876, 13.23245, -10.95951, -0.6655713, 0.04719677, -0.1024649, -0.7377589, 0, 0, 0, 0, 0, 0
0.6889407, -0.09083696, 10.96098, -12.38197, 0.5661554, -0.2978604, 0.5654858, -0.5205506, 1.178859, 13.35439, -10.99629, -0.6552781, 0.05569402, -0.1013007, -0.7464899, 0, 0, 0, 0, 0, 0
0.7126236, -0.1048938, 10.97699, -12.38185, 0.5659686, -0.2971095, 0.5641825, -0.5225933, 1.166284, 13.37097, -10.99928, -0.6563231, 0.05773973, -0.1014052, -0.7454014, 0, 0, 0, 0, 0, 0
0.7370402, -0.1273398, 11.10357, -12.39997, 0.5618334, -0.3062464, 0.559495, -0.5268034, 1.142758, 13.53309, -11.07941, -0.6538042, 0.06291816, -0.1117206, -0.7457211, 0, 0, 0, 0, 0, 0
0.7694435, -0.1482891, 11.24334, -12.41532, 0.5580132, -0.3185243, 0.5518512, -0.5316238, 1.107115, 13.72193, -11.17468, -0.6491421, 0.0709685, -0.1243307, -0.7470742, 0, 0, 0, 0, 0, 0
0.8040051, -0.1777867, 11.31371, -12.44298, 0.5585087, -0.3251704, 0.5483967, -0.5306536, 1.053812, 13.81808, -11.2306, -0.6444086, 0.07358586, -0.1286231, -0.7501858, 0, 0, 0, 0, 0, 0
0.8368128, -0.1929155, 11.36747, -12.47775, 0.558804, -0.3325246, 0.545423, -0.5288471, 1.014016, 13.89788, -11.29503, -0.6390828, 0.07533628, -0.1333312, -0.7537377, 0, 0, 0, 0, 0, 0
0.8698896, -0.1972968, 11.40339, -12.51553, 0.5560141, -0.337355, 0.5454578, -0.5286925, 1.013014, 13.94506, -11.3607, -0.6373185, 0.0746285, -0.1385397, -0.7543623, 0, 0, 0, 0, 0, 0
0.9061526, -0.1926842, 11.40488, -12.55499, 0.5543798, -0.3399202, 0.5483373, -0.5257789, 1.022711, 13.94684, -11.40619, -0.6358216, 0.07043076, -0.1406791, -0.7556321, 0, 0, 0, 0, 0, 0
0.9367537, -0.1939372, 11.40323, -12.59309, 0.553623, -0.3414038, 0.5515637, -0.5222286, 1.024531, 13.94242, -11.4414, -0.6344283, 0.06581452, -0.1413036, -0.7571014, 0, 0, 0, 0, 0, 0
0.9694349, -0.1984228, 11.38947, -12.64363, 0.5556962, -0.3424807, 0.553375, -0.5173829, 1.005907, 13.92908, -11.47811, -0.6315398, 0.06240373, -0.1395583, -0.7601229, 0, 0, 0, 0, 0, 0
1.002668, -0.1787676, 11.42231, -12.68185, 0.5501134, -0.3471323, 0.5547863, -0.5187357, 1.046731, 13.96853, -11.55339, -0.6316019, 0.06061732, -0.1467511, -0.7588602, 0, 0, 0, 0, 0, 0
1.037672, -0.1634985, 11.43894, -12.72022, 0.5457514, -0.3498888, 0.5574827, -0.5186005, 1.082137, 13.98471, -11.61299, -0.6319152, 0.05728636, -0.1514272, -0.7579389, 0, 0, 0, 0, 0, 0
1.072054, -0.1532223, 11.46604, -12.76318, 0.542798, -0.3553118, 0.5569421, -0.5185937, 1.092944, 14.0253, -11.6881, -0.6297553, 0.05707919, -0.1571953, -0.7585776, 0, 0, 0, 0, 0, 0
1.103322, -0.14527, 11.47922, -12.80593, 0.5388963, -0.3576311, 0.5584638, -0.5194316, 1.118005, 14.0391, -11.75254, -0.6303103, 0.0553088, -0.1615119, -0.75734, 0, 0, 0, 0, 0, 0
1.136255, -0.1252587, 11.50679, -12.85387, 0.5329432, -0.3614865, 0.5597495, -0.5215166, 1.161833, 14.06998, -11.83801, -0.631091, 0.05386906, -0.168529, -0.7552618, 0, 0, 0, 0, 0, 0
1.169243, -0.1068566, 11.50842, -12.89356, 0.5292065, -0.3632241, 0.562963, -0.5206547, 1.198959, 14.06751, -11.89134, -0.6314952, 0.04986858, -0.1718784, -0.7544435, 0, 0, 0, 0, 0, 0
1.202916, -0.09555085, 11.49542, -12.94102, 0.5284668, -0.3651775, 0.565237, -0.5175669, 1.21003, 14.05522, -11.94034, -0.6297784, 0.04626933, -0.1729538, -0.7558606, 0, 0, 0, 0, 0, 0
1.239731, -0.07984839, 11.49831, -12.98064, 0.5252388, -0.3669136, 0.5679896, -0.5166105, 1.240825, 14.05526, -11.99256, -0.6298829, 0.04272252, -0.1759615, -0.7552879, 0, 0, 0, 0, 0, 0
1.271016, -0.06720822, 11.50066, -13.01883, 0.5215735, -0.3687705, 0.5701014, -0.5166757, 1.269966, 14.0557, -12.04808, -0.6303434, 0.04010913, -0.1795691, -0.7541972, 0, 0, 0, 0, 0, 0
1.302875, -0.04508441, 11.53029, -13.0608, 0.5158045, -0.3734749, 0.5705821, -0.5185539, 1.309554, 14.09168, -12.13198, -0.6302559, 0.03927508, -0.1870328, -0.7524983, 0, 0, 0, 0, 0, 0
1.33597, -0.02830351, 11.54572, -13.09455, 0.5113249, -0.3770374, 0.5718011, -0.5190696, 1.34037, 14.11016, -12.19518, -0.6299767, 0.03744367, -0.1925085, -0.7514439, 0, 0, 0, 0, 0, 0
1.369392, -0.0146058, 11.56073, -13.12846, 0.5083656, -0.38058, 0.5718011, -0.5193908, 1.358466, 14.13157, -12.25441, -0.6289556, 0.03690198, -0.1969808, -0.7511669, 0, 0, 0, 0, 0, 0
1.405135, 0.007007103, 11.56852, -13.16038, 0.5041457, -0.3828284, 0.5738831, -0.5195556, 1.397106, 14.13749, -12.30803, -0.6293169, 0.03422189, -0.2012452, -0.7498598, 0, 0, 0, 0, 0, 0
1.426705, 0.01718159, 11.54246, -13.19053, 0.5058534, -0.3837399, 0.5756087, -0.5152966, 1.395846, 14.11337, -12.32554, -0.6268588, 0.03108451, -0.1997509, -0.7524502, 0, 0, 0, 0, 0, 0
1.44793, 0.02776898, 11.52655, -13.2058, 0.5055567, -0.3841583, 0.5773297, -0.5133472, 1.407776, 14.09569, -12.33769, -0.6261964, 0.02860313, -0.1997268, -0.7531063, 0, 0, 0, 0, 0, 0
1.470201, 0.03780946, 11.51544, -13.2224, 0.5047886, -0.3847023, 0.5787361, -0.5121107, 1.421094, 14.08309, -12.3551, -0.6258345, 0.02662402, -0.2002671, -0.7533361, 0, 0, 0, 0, 0, 0
1.491577, 0.05118047, 11.50888, -13.23845, 0.5034074, -0.3856607, 0.5799358, -0.5113917, 1.439514, 14.0758, -12.37709, -0.6255883, 0.02492675, -0.2016195, -0.753238, 0, 0, 0, 0, 0, 0
1.513417, 0.06558377, 11.50467, -13.24857, 0.5017918, -0.3869433, 0.5809953, -0.5108076, 1.458958, 14.07172, -12.39575, -0.6252509, 0.02335879, -0.2033875, -0.7530931, 0, 0, 0, 0, 0, 0
1.54126, 0.08376147, 11.49119, -13.25405, 0.4999765, -0.3869813, 0.5838189, -0.5093375, 1.488786, 14.05204, -12.40175, -0.625606, 0.01981619, -0.2041469, -0.7526942, 0, 0, 0, 0, 0, 0
1.565542, 0.09239939, 11.47597, -13.26375, 0.5000671, -0.3868504, 0.5853559, -0.5075808, 1.498435, 14.03425, -12.40543, -0.6251838, 0.01767197, -0.2035374, -0.7532633, 0, 0, 0, 0, 0, 0
1.586956, 0.09652298, 11.47092, -13.27235, 0.5003867, -0.3880894, 0.5847357, -0.5070345, 1.49598, 14.03397, -12.41747, -0.6240515, 0.01800412, -0.2040928, -0.7540436, 0, 0, 0, 0, 0, 0
1.607894, 0.1063581, 11.47245, -13.27785, 0.4998481, -0.389793, 0.584586, -0.5064312, 1.502549, 14.03986, -12.43074, -0.6229492, 0.01770419, -0.2054996, -0.75458, 0, 0, 0, 0, 0, 0
1.628703, 0.1194259, 11.46983, -13.27725, 0.4982239, -0.3897754, 0.5865271, -0.5058006, 1.525783, 14.03246, -12.43248, -0.6234767, 0.01536298, -0.2063198, -0.7539715, 0, 0, 0, 0, 0, 0
1.650526, 0.1302431, 11.46002, -13.27244, 0.4976332, -0.388679, 0.5890625, -0.5042771, 1.545374, 14.01512, -12.41958, -0.6240524, 0.01232609, -0.205489, -0.7537779, 0, 0, 0, 0, 0, 0
1.672923, 0.1361896, 11.45677, -13.27643, 0.4980157, -0.3897255, 0.5894915, -0.5025876, 1.545753, 14.01461, -12.42257, -0.6227042, 0.01122233, -0.2055657, -0.7548882, 0, 0, 0, 0, 0, 0
1.694572, 0.1469162, 11.45914, -13.27987, 0.498406, -0.3914964, 0.5890158, -0.5013804, 1.547624, 14.02312, -12.42987, -0.6209854, 0.01112506, -0.2062971, -0.7561051, 0, 0, 0, 0, 0, 0
1.717438, 0.159024, 11.46445, -13.27616, 0.4976115, -0.3926961, 0.5890864, -0.5011486, 1.559734, 14.03077, -12.43326, -0.6204342, 0.01075843, -0.2075873, -0.7562097, 0, 0, 0, 0, 0, 0
1.739, 0.1682009, 11.46182, -13.27139, 0.4969882, -0.3930821, 0.5901768, -0.5001806, 1.571644, 14.02687, -12.42916, -0.6201659, 0.009203076, -0.2079939, -0.7563386, 0, 0, 0, 0, 0, 0
1.759591, 0.1737439, 11.45418, -13.27126, 0.497798, -0.3938481, 0.5904565, -0.4984397, 1.570055, 14.02193, -12.4254, -0.6187937, 0.008307397, -0.207595, -0.7575815, 0, 0, 0, 0, 0, 0
1.78061, 0.1886961, 11.46478, -13.27328, 0.4971969, -0.3964802, 0.5897505, -0.4977881, 1.578119, 14.04022, -12.43956, -0.6170489, 0.008436351, -0.209693, -0.7584249, 0, 0, 0, 0, 0, 0
1.8026, 0.2062532, 11.4688, -13.27433, 0.4974593, -0.3973998, 0.5902559, -0.4961914, 1.591126, 14.04637, -12.4396, -0.615844, 0.007284403, -0.2097827, -0.7593908, 0, 0, 0, 0, 0, 0
1.824259, 0.2258175, 11.46428, -13.26972, 0.4970044, -0.3968132, 0.5927909, -0.49409, 1.616897, 14.03601, -12.42733, -0.6158276, 0.00399226, -0.209083, -0.7596214, 0, 0, 0, 0, 0, 0
1.855567, 0.2470666, 11.48069, -13.27188, 0.4959623, -0.399478, 0.5933539, -0.4923109, 1.634164, 14.05786, -12.43966, -0.6139032, 0.002383233, -0.2111766, -0.7606062, 0, 0, 0, 0, 0, 0
1.880517, 0.2798166, 11.50993, -13.27718, 0.4942424, -0.4037985, 0.5933818, -0.4904787, 1.659824, 14.09718, -12.46461, -0.6110832, 0.001032859, -0.2148649, -0.7618461, 0, 0, 0, 0, 0, 0
1.902309, 0.3147201, 11.54042, -13.27991, 0.4931188, -0.4074796, 0.5934139, -0.4885224, 1.68659, 14.13655, -12.48206, -0.6084008, -0.0002382099, -0.2177005, -0.7631873, 0, 0, 0, 0, 0, 0
1.922955, 0.3505524, 11.56415, -13.28432, 0.4931445, -0.4108483, 0.5946788, -0.4841173, 1.709796, 14.16779, -12.48933, -0.6047091, -0.003491312, -0.2189581, -0.7657495, 0, 0, 0, 0, 0, 0
