sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 4/29/2021 11:43:04 AM, Cylinder, -2.162295, 7.934847, -10.52, 0.7070846, -0.005613166, -0.005613166, 0.7070846, -0.2994784, 9.629177, -10.28234, -0.9999686, 0, 0.007938216, 0, 0

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.0319488, 0.06243297, 9.693313, -12.22866, 0.6477427, -0.1325004, 0.5109163, -0.5493974, -2.161362, 7.926545, -10.51613, 0.7070397, -0.001654908, -0.009749262, 0.7071047, 0, 0, 0, 0, 0, 0
0.0639847, 0.02695003, 9.61607, -12.26563, 0.6562034, -0.1261554, 0.5110506, -0.5406563, -2.162097, 7.911242, -10.51656, 0.7069024, 0.005649327, -0.01694226, 0.7070857, 0, 0, 0, 0, 0, 0
0.0965317, -0.02869132, 9.574576, -12.32408, 0.6679748, -0.1244458, 0.5027195, -0.5344123, -2.163168, 7.89347, -10.51357, 0.7066625, 0.01364578, -0.0249397, 0.7069795, 0, 0, 0, 0, 0, 402.7907
0.1275805, -0.005575776, 9.645697, -12.29094, 0.6562731, -0.1270315, 0.5114958, -0.5399452, -2.162981, 7.891298, -10.50943, 0.706389, 0.02059549, -0.03184916, 0.706807, 0, 0, 0, 0, 50.48623, 219.8499
0.1603239, 0.0221875, 9.729374, -12.26961, 0.6428356, -0.1293685, 0.5187037, -0.5486099, -2.162071, 7.891404, -10.50125, 0.705993, 0.02815952, -0.03966682, 0.7065464, 0, 0, 0, 0, 0, 24.4543
0.1937064, 0.03001539, 9.797244, -12.27804, 0.6387496, -0.1362519, 0.5183749, -0.5520162, -2.162904, 7.891426, -10.49607, 0.7054601, 0.03687285, -0.04821549, 0.7061458, 0, 0, 0, 0, 0, 0
0.2244716, 0.02631435, 9.842435, -12.29883, 0.6418613, -0.1400261, 0.5169912, -0.5487503, -2.162248, 7.891299, -10.49083, 0.704996, 0.04328721, -0.05457402, 0.7057822, 0, 0, 0, 0, 0, 0
0.2547358, 0.02810566, 9.921219, -12.32077, 0.6413471, -0.1442965, 0.5155985, -0.549555, -2.164479, 7.889805, -10.48473, 0.7041822, 0.05276719, -0.06420441, 0.705139, 0, 0, 0, 0, 0, 0
0.2869799, 0.04646645, 10.05179, -12.31782, 0.6375194, -0.1529543, 0.5136904, -0.5534404, -2.16336, 7.889306, -10.47803, 0.703428, 0.06068867, -0.07201398, 0.7044999, 0, 0, 0, 0, 0, 0
0.3190652, 0.0610963, 10.20761, -12.31406, 0.6321549, -0.1637491, 0.5110704, -0.5589039, -2.163731, 7.890676, -10.47481, 0.7027125, 0.06724592, -0.07869459, 0.7039037, 0, 0, 0, 0, 0, 0
0.3513275, 0.0716414, 10.39133, -12.31543, 0.6241157, -0.1748504, 0.5073886, -0.5678589, -2.162585, 7.893537, -10.47056, 0.7025325, 0.06987436, -0.08113674, 0.70355, 0, 0, 0, 0, 0, 0
0.3819478, 0.05990674, 10.55993, -12.32647, 0.620409, -0.1850216, 0.5018324, -0.5736061, -2.163411, 7.89288, -10.47052, 0.7024978, 0.06920136, -0.08059811, 0.7037131, 0, 0, 0, 0, 0, 0
0.4125283, 0.02814509, 10.66689, -12.3631, 0.6232671, -0.1920587, 0.497292, -0.5721471, -2.163334, 7.891875, -10.47351, 0.7026072, 0.06821767, -0.07963261, 0.7038099, 0, 0, 0, 0, 0, 0
0.4454118, -0.00481081, 10.7835, -12.40131, 0.6253289, -0.2011857, 0.4913626, -0.5718837, -2.163999, 7.889819, -10.47799, 0.7028669, 0.06586786, -0.07730485, 0.7040339, 0, 0, 0, 0, 0, 0
0.4788595, -0.05994911, 10.87028, -12.44724, 0.6311045, -0.2071345, 0.4841785, -0.569538, -2.163244, 7.888779, -10.47535, 0.7032344, 0.06238493, -0.07388669, 0.7043511, 0, 0, 0, 0, 0, 0
0.5112624, -0.1069493, 10.98266, -12.49002, 0.6330638, -0.2128676, 0.4781564, -0.5703369, -2.163234, 7.889505, -10.47866, 0.7037105, 0.05775693, -0.06920464, 0.7047458, 0, 0, 0, 0, 0, 0
0.5409442, -0.1384079, 11.05633, -12.51042, 0.6349062, -0.2187663, 0.4770822, -0.5669463, -2.16351, 7.88966, -10.48461, 0.7042791, 0.05183439, -0.0631524, 0.7052064, 0, 0, 0, 0, 0, 0
0.5731139, -0.1805005, 11.0782, -12.54274, 0.642296, -0.2217358, 0.4720323, -0.5616716, -2.162951, 7.89141, -10.48913, 0.7047296, 0.04657054, -0.05789886, 0.7055744, 0, 0, 0, 0, 0, 0
0.6050344, -0.2362569, 11.17449, -12.58535, 0.6483017, -0.2312923, 0.4641439, -0.5574757, -2.162132, 7.892174, -10.49347, 0.7050259, 0.04284072, -0.05417702, 0.7058102, 0, 0, 0, 0, 0, 0
0.6367104, -0.2527066, 11.21849, -12.58387, 0.6467156, -0.2344544, 0.4656638, -0.556729, -2.163358, 7.891526, -10.49518, 0.7051537, 0.0410936, -0.05248359, 0.7059144, 0, 0, 0, 0, 0, 0
0.6688748, -0.3138974, 11.28349, -12.62337, 0.6529227, -0.2417063, 0.4579944, -0.5527306, -2.161887, 7.893215, -10.49244, 0.7052636, 0.03961316, -0.05099017, 0.7059987, 0, 0, 0, 0, 0, 0
0.6998174, -0.3438171, 11.31437, -12.63978, 0.6566329, -0.2455352, 0.4539122, -0.5500086, -2.161613, 7.893136, -10.49308, 0.7052774, 0.03938976, -0.05080063, 0.7060111, 0, 0, 0, 0, 0, 0
0.7317262, -0.3712695, 11.33872, -12.64832, 0.6591601, -0.247007, 0.4525949, -0.5474062, -2.161875, 7.893196, -10.49287, 0.705202, 0.04049067, -0.05183709, 0.7059488, 0, 0, 0, 0, 0, 0
0.7642263, -0.4379871, 11.37406, -12.67057, 0.6671669, -0.2502284, 0.4482391, -0.5397739, -2.163501, 7.889346, -10.49243, 0.7050191, 0.04280489, -0.0542671, 0.7058125, 0, 0, 0, 0, 0, 0
0.7964034, -0.4661662, 11.39119, -12.67384, 0.6714324, -0.2535467, 0.4455567, -0.5351373, -2.163531, 7.88846, -10.48753, 0.7047214, 0.04653843, -0.05800634, 0.7055759, 0, 0, 0, 0, 0, 0
0.8277107, -0.5324199, 11.42974, -12.68319, 0.6783735, -0.2576041, 0.4415568, -0.5277095, -2.16076, 7.887715, -10.48602, 0.7043504, 0.05083101, -0.0623343, 0.705281, 0, 0, 0, 0, 0, 0
0.8750453, -0.5634269, 11.47365, -12.6828, 0.6789186, -0.2621038, 0.4386355, -0.5272286, -2.160752, 7.887385, -10.48415, 0.7040473, 0.05423623, -0.06568016, 0.7050263, 0, 0, 0, 0, 0, 0
0.9071735, -0.6357961, 11.571, -12.69091, 0.6797546, -0.2701376, 0.4308808, -0.5284896, -2.163392, 7.889263, -10.48512, 0.7039634, 0.05504429, -0.06657223, 0.7049637, 0, 0, 0, 0, 0, 0
0.9386008, -0.7120328, 11.65263, -12.69253, 0.682571, -0.2777044, 0.4231127, -0.5272123, -2.163606, 7.890391, -10.48226, 0.7040126, 0.05444387, -0.06605074, 0.7050103, 0, 0, 0, 0, 0, 0
0.9713503, -0.7576652, 11.65926, -12.69251, 0.6877337, -0.2789691, 0.4202567, -0.5220949, -2.163283, 7.889671, -10.4839, 0.7041911, 0.05240311, -0.06411895, 0.7051649, 0, 0, 0, 0, 0, 0
1.003134, -0.8383681, 11.64163, -12.7034, 0.7002174, -0.2840733, 0.414058, -0.5074977, -2.164256, 7.888582, -10.48625, 0.7043905, 0.05035915, -0.06189697, 0.7053133, 0, 0, 0, 0, 0, 0
1.033879, -0.8791881, 11.67556, -12.70032, 0.7001438, -0.2868568, 0.412423, -0.5073649, -2.163331, 7.890003, -10.48874, 0.7045841, 0.04800639, -0.05963907, 0.7054787, 0, 0, 0, 0, 0, 0
1.065426, -0.9189827, 11.71077, -12.69147, 0.6995187, -0.2899507, 0.4112854, -0.5073918, -2.16331, 7.890059, -10.48846, 0.704648, 0.04722071, -0.05887984, 0.7055314, 0, 0, 0, 0, 0, 0
1.099214, -0.9988875, 11.80481, -12.67688, 0.6961292, -0.2964916, 0.4090237, -0.5100946, -2.161965, 7.89129, -10.48755, 0.7045964, 0.04804144, -0.05949531, 0.705476, 0, 0, 0, 0, 0, 0
1.130216, -1.043381, 11.81726, -12.6747, 0.6985838, -0.2986507, 0.4072925, -0.5068543, -2.162673, 7.891105, -10.48652, 0.7044364, 0.04984925, -0.06137767, 0.7053491, 0, 0, 0, 0, 0, 0
1.162184, -1.133794, 11.81493, -12.67644, 0.7059202, -0.3031453, 0.4033562, -0.4970749, -2.162044, 7.889205, -10.48348, 0.704374, 0.05048814, -0.06207219, 0.7053051, 0, 0, 0, 0, 0, 0
1.194279, -1.177496, 11.82598, -12.67137, 0.708055, -0.3053988, 0.4026637, -0.4932055, -2.163459, 7.888539, -10.4847, 0.7044301, 0.04974925, -0.06146033, 0.7053552, 0, 0, 0, 0, 0, 0
1.226093, -1.267396, 11.86547, -12.66618, 0.7083904, -0.3103639, 0.4024731, -0.4897681, -2.162947, 7.889934, -10.48819, 0.7044674, 0.0494888, -0.06103816, 0.705373, 0, 0, 0, 0, 0, 0
1.257786, -1.316457, 11.88428, -12.67014, 0.7094398, -0.313855, 0.4004289, -0.4876956, -2.163536, 7.889492, -10.48937, 0.7044567, 0.04962994, -0.06116168, 0.7053631, 0, 0, 0, 0, 0, 0
