sep=,
ID, Date, Object, InitPosX, InitPosY, InitPosZ, InitRotW, InitRotX, InitRotY, InitRotZ, TargetPosX, TargetPosY, TargetPosZ, TargetRotW, TargetRotX, TargetRotY, TargetRotZ, Success
ABLE-1, 4/29/2021 11:48:24 AM, Cylinder, -1.751484, 7.783298, -3.377506, 0.7070825, -0.005873625, -0.005873625, 0.7070825, 0.1111578, 9.477628, -3.138481, -0.9999656, 0, 0.00830656, 0, 1

Time, HandPosX, HandPosY, HandPosZ, HandRotW, HandRotX, HandRotY, HandRotZ, ObjPosX, ObjPosY, ObjPosZ, ObjRotW, ObjRotX, ObjRotY, ObjRotZ, Control, ForceThumb, ForceIndex, ForceMiddle, ForceRing, ForceLittle
0.1, -0.01230329, 9.531096, -4.125944, 0.6371003, 0.2123554, 0.5885357, -0.4501493, -1.751598, 7.744151, -3.368279, 0.7067295, 0.01326178, -0.02503635, 0.7069166, 0, 0, 0, 0, 0, 0
0.1640119, 0.107567, 9.154474, -4.243165, 0.6327677, 0.2191027, 0.6148682, -0.4165768, -1.752766, 7.743494, -3.359216, 0.7060149, 0.02749629, -0.03930825, 0.7065705, 0, 0, 0, 0, 0, 0
0.2041244, 0.1052528, 9.159012, -4.275314, 0.630441, 0.2347573, 0.6163921, -0.4092601, -1.752222, 7.743566, -3.350216, 0.7052824, 0.03899603, -0.0507554, 0.7060313, 0, 0, 0, 0, 0, 0
0.2323693, 0.1016726, 9.1481, -4.297017, 0.6324888, 0.2397573, 0.6172377, -0.4018605, -1.752424, 7.742387, -3.343294, 0.7047831, 0.04553268, -0.05725452, 0.7056412, 0, 0, 0, 0, 0, 0
0.2645378, 0.09609658, 9.148007, -4.298303, 0.635734, 0.238957, 0.6169654, -0.3976123, -1.753918, 7.742476, -3.337947, 0.7035016, 0.06030675, -0.07201909, 0.7044586, 0, 0, 0, 0, 0, 0
0.296511, 0.09190294, 9.150436, -4.294137, 0.6372637, 0.2360402, 0.6174302, -0.3961819, -1.755035, 7.742026, -3.332823, 0.7025927, 0.06801479, -0.07976191, 0.7038293, 0, 0, 0, 0, 0, 0
0.3419977, 0.1030813, 9.159043, -4.280337, 0.6357447, 0.2338556, 0.6173879, -0.3999653, -1.754868, 7.743356, -3.327823, 0.7015451, 0.07668292, -0.08850353, 0.7029377, 0, 0, 0, 0, 0, 0
0.390138, 0.1257975, 9.175783, -4.247229, 0.6278109, 0.2297879, 0.616823, -0.4154283, -1.754551, 7.741893, -3.325634, 0.7015216, 0.07688037, -0.08871744, 0.7029126, 0, 0, 0, 0, 0, 0
0.4223347, 0.1413374, 9.194837, -4.200531, 0.6283613, 0.2255413, 0.6138788, -0.4212435, -1.75478, 7.740996, -3.328656, 0.7016667, 0.07566778, -0.08753687, 0.7030474, 0, 0, 0, 0, 0, 0
0.453995, 0.1443833, 9.200834, -4.179855, 0.6256883, 0.2240135, 0.6137204, -0.4262387, -1.754635, 7.742253, -3.330102, 0.7019144, 0.07361903, -0.08552719, 0.7032651, 0, 0, 0, 0, 0, 0
