sep=,
Time:UnityTime, Time:FrameNum, E:Automatic__LeftPupil:Diameter, E:Automatic__RightPupil:Diameter, E:Automatic__LeftPupilNormPos:Point2D:X, E:Automatic__LeftPupilNormPos:Point2D:Y, E:Automatic__RightPupilNormPos:Point2D:X, E:Automatic__RightPupilNormPos:Point2D:Y, E:Automatic_LeftPupil:EyeOpeness, E:Automatic_RightPupil:EyeOpeness, GV:VRGV:Origin:Left:Point3D:X, GV:VRGV:Origin:Left:Point3D:Y, GV:VRGV:Origin:Left:Point3D:Z, GV:VRGV:Origin:Right:Point3D:X, GV:VRGV:Origin:Right:Point3D:Y, GV:VRGV:Origin:Right:Point3D:Z, GV:VRGV:NormDirection:Left:Point3D:X, GV:VRGV:NormDirection:Left:Point3D:Y, GV:VRGV:NormDirection:Left:Point3D:Z, GV:VRGV:NormDirection:Right:Point3D:X, GV:VRGV:NormDirection:Right:Point3D:Y, GV:VRGV:NormDirection:Right:Point3D:Z, GV:VRGV:FixPoint:Point3D:X, GV:VRGV:FixPoint:Point3D:Y, GV:VRGV:FixPoint:Point3D:Z, M:TargetPos:Point3D:X, M:TargetPos:Point3D:Y, M:TargetPos:Point3D:Z, O:HeadObj:Center:Point3D:X, O:HeadObj:Center:Point3D:Y, O:HeadObj:Center:Point3D:Z, O:HeadObj:Vertex1:Point3D:X, O:HeadObj:Vertex1:Point3D:Y, O:HeadObj:Vertex1:Point3D:Z, O:HeadObj:Vertex2:Point3D:X, O:HeadObj:Vertex2:Point3D:Y, O:HeadObj:Vertex2:Point3D:Z, O:HeadObj:Vertex3:Point3D:X, O:HeadObj:Vertex3:Point3D:Y, O:HeadObj:Vertex3:Point3D:Z, O:HeadObj:Vertex4:Point3D:X, O:HeadObj:Vertex4:Point3D:Y, O:HeadObj:Vertex4:Point3D:Z, O:HeadObj:Vertex5:Point3D:X, O:HeadObj:Vertex5:Point3D:Y, O:HeadObj:Vertex5:Point3D:Z, O:HeadObj:Vertex6:Point3D:X, O:HeadObj:Vertex6:Point3D:Y, O:HeadObj:Vertex6:Point3D:Z, O:HeadObj:Vertex7:Point3D:X, O:HeadObj:Vertex7:Point3D:Y, O:HeadObj:Vertex7:Point3D:Z, O:HeadObj:Vertex8:Point3D:X, O:HeadObj:Vertex8:Point3D:Y, O:HeadObj:Vertex8:Point3D:Z
0.0250985, 444, 0.004159287, 0.004159287, 0.4988033, 0.6241292, 0.5092227, 0.6393917, 1, 1, 0.03275958, 0.0002284393, -0.03696745, -0.03123964, 0.00058815, -0.04029214, -0.1060028, 0.1005554, 0.9892578, 0.04705811, 0.03625488, 0.99823, 0, 0, 0, -2.472453, 7.772295, -10.39058, -0.6940066, 13.21239, -14.80637, -2.643722, 14.00762, -17.09297, 0.885572, 13.42105, -17.49299, -2.905582, 11.04689, -15.06184, 0.6237119, 10.46032, -15.46186, -1.983786, 15.96976, -14.14772, 1.545508, 15.38319, -14.54774, -2.245646, 13.00903, -12.11659, 1.283648, 12.42246, -12.51661
0.0475587, 445, 0.004131302, 0.004131302, 0.4975635, 0.6211079, 0.5103458, 0.6404163, 1, 1, 0.0327832, 0.0002444, -0.03695938, -0.03121608, 0.0006720428, -0.04027067, -0.1034546, 0.1152496, 0.9879303, 0.03413391, 0.0115509, 0.9993439, 0, 0, 0, -2.472139, 7.765094, -10.3883, -0.7079087, 13.21505, -14.80387, -2.666065, 14.02561, -17.08006, 0.860701, 13.43731, -17.49938, -2.92367, 11.04941, -15.07112, 0.6030961, 10.46111, -15.49044, -1.991109, 15.96368, -14.12231, 1.535656, 15.37538, -14.54163, -2.248714, 12.98748, -12.11336, 1.278051, 12.39918, -12.53268
0.07046741, 446, 0.00397377, 0.00397377, 0.4791832, 0.6334542, 0.4932496, 0.6451368, 1, 1, 0.03306851, 0.0001365814, -0.03680463, -0.03085411, 0.0006539917, -0.04029588, -0.05096436, 0.04888916, 0.9974976, 0.05476379, -0.01023865, 0.9984436, 0, 0, 0, -2.471691, 7.753729, -10.38579, -0.7237092, 13.21385, -14.79676, -2.687479, 14.02604, -17.07182, 0.841469, 13.45643, -17.49852, -2.927354, 11.04203, -15.07228, 0.601594, 10.47242, -15.49899, -2.017411, 15.95768, -14.10875, 1.511536, 15.38807, -14.53546, -2.257287, 12.97367, -12.10922, 1.271661, 12.40406, -12.53592
0.0921905, 447, 0.004000458, 0.004000458, 0.4794418, 0.633103, 0.4922262, 0.6390209, 1, 1, 0.03310106, 9.613037E-05, -0.03675758, -0.03079909, 0.0004342651, -0.0397874, -0.05993652, 0.05784607, 0.996521, 0.04898071, 0.04052734, 0.9979706, 0, 0, 0, -2.471262, 7.737427, -10.38323, -0.7464614, 13.21144, -14.79156, -2.696676, 14.0118, -17.07507, 0.8372276, 13.46037, -17.48427, -2.930341, 11.02882, -15.07326, 0.603563, 10.4774, -15.48246, -2.050981, 15.9503, -14.11106, 1.482923, 15.39887, -14.52027, -2.284646, 12.96732, -12.10925, 1.249258, 12.4159, -12.51846
0.1134966, 448, 0.004193787, 0.004193787, 0.4858186, 0.6288409, 0.4961308, 0.639858, 1, 1, 0.03300804, 0.0001617584, -0.03671248, -0.03095158, 0.0005986786, -0.0405389, -0.07992554, 0.06964111, 0.9943542, 0.06251526, 0.04573059, 0.996994, 0, 0, 0, -2.471653, 7.735709, -10.3811, -0.7713734, 13.20807, -14.79322, -2.705329, 14.00876, -17.08222, 0.8299298, 13.45103, -17.47066, -2.954998, 11.02947, -15.07684, 0.5802605, 10.47175, -15.46528, -2.073183, 15.95113, -14.11783, 1.462076, 15.39341, -14.50627, -2.322853, 12.97185, -12.11246, 1.212407, 12.41412, -12.5009
0.1398873, 449, 0.004019287, 0.004019287, 0.488957, 0.6304422, 0.5020109, 0.644039, 1, 1, 0.03289273, 0.0001668549, -0.03685068, -0.03108447, 0.000353775, -0.04001256, -0.07286072, 0.06474304, 0.995224, 0.05450439, 0.04290771, 0.9975891, 0, 0, 0, -2.472219, 7.735147, -10.37782, -0.794242, 13.20957, -14.80387, -2.719113, 14.02358, -17.08696, 0.8129823, 13.44135, -17.46818, -2.99474, 11.04245, -15.08773, 0.5373552, 10.46023, -15.46894, -2.080102, 15.95591, -14.11749, 1.451993, 15.37369, -14.49871, -2.355729, 12.97479, -12.11826, 1.176366, 12.39257, -12.49947
0.1640654, 450, 0.003736847, 0.003736847, 0.4900269, 0.6302079, 0.5099277, 0.6457647, 1, 1, 0.03279278, 0.0001021729, -0.03680595, -0.03117772, 0.0005258179, -0.04045534, -0.05487061, 0.07426453, 0.9957123, 0.02989197, 0.02322388, 0.9992828, 0, 0, 0, -2.473182, 7.735069, -10.37472, -0.8127059, 13.21584, -14.8146, -2.744898, 14.04435, -17.08818, 0.7844555, 13.45344, -17.48123, -3.025013, 11.05257, -15.10557, 0.5043398, 10.46165, -15.49862, -2.092824, 15.95748, -14.10913, 1.436529, 15.36656, -14.50218, -2.37294, 12.96569, -12.12652, 1.156414, 12.37478, -12.51956
0.1852732, 451, 0.003971603, 0.003971603, 0.4966462, 0.6297275, 0.509606, 0.6459926, 1, 1, 0.03279278, 0.0001261291, -0.03689243, -0.03117557, 0.0005606079, -0.04051793, -0.09828186, 0.08106995, 0.9918365, 0.03132629, 0.01824951, 0.9993286, 0, 0, 0, -2.473053, 7.734273, -10.36924, -0.8322311, 13.22305, -14.8234, -2.774904, 14.05035, -17.0891, 0.7556864, 13.47673, -17.4964, -3.034835, 11.05, -15.11671, 0.4957551, 10.47638, -15.52401, -2.121167, 15.95531, -14.10518, 1.409423, 15.38169, -14.51248, -2.381098, 12.95496, -12.13279, 1.149492, 12.38134, -12.54009
0.2063547, 452, 0.00394342, 0.00394342, 0.4933168, 0.6291758, 0.5075055, 0.6430466, 1, 1, 0.03283147, 0.0001692505, -0.03711676, -0.03114781, 0.0005352173, -0.0404404, -0.08709717, 0.08842468, 0.9922638, 0.03645325, 0.03529358, 0.998703, 0, 0, 0, -2.473119, 7.733887, -10.36218, -0.8554195, 13.23121, -14.83191, -2.803561, 14.04648, -17.09404, 0.7292889, 13.49216, -17.5084, -3.043067, 11.04502, -15.12076, 0.4897824, 10.49069, -15.53512, -2.154245, 15.9554, -14.11169, 1.378605, 15.40107, -14.52605, -2.393751, 12.95393, -12.1384, 1.139099, 12.39961, -12.55276
0.2284642, 453, 0.003800629, 0.003800629, 0.4915296, 0.6323131, 0.5071579, 0.6425776, 1, 1, 0.03283063, 0.0001342163, -0.03703998, -0.03114709, 0.0005567322, -0.04050049, -0.07435608, 0.06959534, 0.9947968, 0.03947449, 0.03712463, 0.9985199, 0, 0, 0, -2.472216, 7.732951, -10.35825, -0.8787179, 13.24372, -14.84553, -2.836892, 14.04964, -17.09552, 0.6953983, 13.50172, -17.52296, -3.063263, 11.04886, -15.11964, 0.4690277, 10.50094, -15.54709, -2.179867, 15.96148, -14.11672, 1.352424, 15.41356, -14.54417, -2.406237, 12.9607, -12.14085, 1.126053, 12.41278, -12.5683
